Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,11.34,11.35,11.24,11.515,0.0,0.0,502770
07/15/2019,11.51,11.31,11.11,11.6,0.0,0.0,649129
07/12/2019,11.03,11.48,11.03,11.665,0.0,0.0,853239
07/11/2019,10.99,11.04,10.78,11.13,0.0,0.0,688951
07/10/2019,11,10.93,10.8,11.09,0.0,0.0,695651
07/09/2019,10.92,10.87,10.73,10.98,0.0,0.0,892023
07/08/2019,10.85,10.97,10.7434,11.1731,0.0,0.0,629216
07/05/2019,10.51,10.94,10.46,10.96,0.0,0.0,664691
07/03/2019,10.7,10.54,10.5,10.75,0.0,0.0,466925
07/02/2019,10.91,10.66,10.475,10.94,0.0,0.0,867692
07/01/2019,11.7,10.95,10.76,11.93,0.0,0.0,1005649
06/28/2019,11.54,11.5,11.22,11.68,0.0,0.0,1434607
06/27/2019,11.32,11.54,11.095,11.54,0.0,0.0,722265
06/26/2019,11.25,11.08,11.035,11.61,0.0,0.0,972700
06/25/2019,11.28,11.11,10.87,11.305,0.0,0.0,983680
06/24/2019,10.97,11.29,10.89,11.704,0.0,0.0,1462731
06/21/2019,10.83,11.02,10.66,11.04,0.0,0.0,1508903
06/20/2019,10.85,10.86,10.68,11.15,0.0,0.0,792376
06/19/2019,10.71,10.57,10.41,10.72,0.0,0.0,597888
06/18/2019,10.47,10.63,10.47,11.08,0.0,0.0,934077
06/17/2019,10.2,10.44,10.05,10.69,0.0,0.0,857836
06/14/2019,10.69,10.2,10.2,10.69,0.0,0.0,698593
06/13/2019,10.68,10.69,10.48,10.87,0.0,0.0,904454
06/12/2019,10.92,10.59,10.51,10.97,0.0,0.0,587230
06/11/2019,11.01,10.97,10.915,11.26,0.0,0.0,646511
06/10/2019,11.2,10.89,10.86,11.41,0.0,0.0,567989
06/07/2019,10.79,11.11,10.57,11.24,0.0,0.0,778870
06/06/2019,11.22,10.7,10.37,11.24,0.0,0.0,1315346
06/05/2019,11.61,11.19,10.9,11.61,0.0,0.0,1219429
06/04/2019,10.7,11.52,10.52,11.6,0.0,0.0,1932896
06/03/2019,9.79,10.25,9.78,10.26,0.0,0.0,1727532
05/31/2019,9.65,9.79,9.46,9.915,0.0,0.0,1791872
05/30/2019,10.12,9.89,9.87,10.555,0.0,0.0,1362198
05/29/2019,10.5,10.16,10.04,10.53,0.0,0.0,1749880
05/28/2019,11.23,10.71,10.695,11.34,0.0,0.0,1234554
05/24/2019,11.2,11.25,11.04,11.46,0.0,0.0,1013023
05/23/2019,11.06,11.1,10.81,11.385,0.0,0.0,1284429
05/22/2019,12.42,11.22,11.15,12.62,0.0,0.0,1843122
05/21/2019,12.47,12.56,12.29,12.59,0.0,0.0,793317
05/20/2019,12.75,12.46,12.41,12.7694,0.0,0.0,1022837
05/17/2019,13.26,12.82,12.8,13.4,0.0,0.0,1151343
05/16/2019,13.62,13.35,13.285,13.71,0.0,0.0,834492
05/15/2019,13.6,13.59,13.41,13.8,0.0,0.0,937237
05/14/2019,13.61,13.7,13.1293,13.795,0.0,0.0,1143062
05/13/2019,14.08,13.53,13.46,14.21,0.0,0.0,1622169
05/10/2019,14.51,14.45,14.07,14.57,0.0,0.0,2327884
05/09/2019,13.5,14.51,13.11,14.9144,0.0,0.0,5129014
05/08/2019,12.28,12.82,12.24,13.03,0.0,0.0,3707522
05/07/2019,13.45,12.4,12.34,13.55,0.0,0.0,2920690
05/06/2019,13.16,13.56,13.09,13.75,0.0,0.0,2233108
05/03/2019,13.07,13.49,13.07,13.6,0.0,0.0,1394758
05/02/2019,12.93,12.995,12.78,13.02,0.0,0.0,902210
05/01/2019,13.1,12.87,12.82,13.22,0.0,0.0,1404942
04/30/2019,13.63,13.07,13.05,13.63,0.0,0.0,1148293
04/29/2019,13.13,13.58,13.09,13.835,0.0,0.0,1364584
04/26/2019,13.36,13.15,13.03,13.49,0.0,0.0,802289
04/25/2019,13.41,13.38,13.21,13.685,0.0,0.0,1656841
04/24/2019,12.99,13.49,12.87,13.66,0.0,0.0,1612813
04/23/2019,12.9,12.98,12.6,13.22,0.0,0.0,1682660
04/22/2019,13,12.88,12.8336,13.41,0.0,0.0,1978461
04/18/2019,13.04,13.07,12.7,13.21,0.0,0.0,1355726
04/17/2019,13.19,13.07,12.925,13.39,0.0,0.0,992056
04/16/2019,13.11,13.11,12.92,13.28,0.0,0.0,817417
