Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,11.66,11.53,11.49,11.66,0.0,0.0,4980
07/15/2019,11.65,11.55,11.52,11.76,0.0,0.0,11446
07/12/2019,11.65,11.62,11.6,11.76,0.0,0.0,19013
07/11/2019,11.605,11.63,11.56,11.655,0.0,0.0,18720
07/10/2019,11.74,11.61,11.51,11.74,0.0,0.0,20953
07/09/2019,11.69,11.68,11.58,11.7,0.0,0.0,19439
07/08/2019,11.63,11.64,11.6,11.72,0.0,0.0,6722
07/05/2019,11.67,11.72,11.67,11.75,0.0,0.0,9149
07/03/2019,11.6348,11.73,11.6348,11.74,0.0,0.0,8521
07/02/2019,11.61,11.68,11.61,11.73,0.0,0.0,19523
07/01/2019,11.74,11.63,11.51,11.74,0.0,0.0,16411
06/28/2019,11.45,11.74,11.45,11.82,0.0,0.0,134176
06/27/2019,11.3,11.45,11.02,11.53,0.0,0.0,45368
06/26/2019,11.47,11.34,11.29,11.55,0.0,0.0,6546
06/25/2019,11.22,11.5,11.22,11.55,0.0,0.0,9872
06/24/2019,11.47,11.44,11.37,11.64,0.0,0.0,12218
06/21/2019,11.36,11.44,11.28,11.56,0.0,0.0,243177
06/20/2019,11.69,11.46,11.455,11.69,0.0,0.0,13359
06/19/2019,11.67,11.63,11.5713,11.7,0.0,0.0,4118
06/18/2019,11.68,11.64,11.48,11.68,0.0,0.0,8243
06/17/2019,11.68,11.49,11.45,11.7,0.0,0.0,13136
06/14/2019,11.615,11.74,11.43,11.78,0.0,0.0,27167
06/13/2019,11.75,11.57,11.54,11.75,0.0,0.0,14233
06/12/2019,11.39,11.66,11.3382,11.66,0.0,0.0,12188
06/11/2019,11.42,11.37,11.29,11.42,0.0,0.0,11617
06/10/2019,11.27,11.31,11.17,11.34,0.0,0.0,18718
06/07/2019,11.13,11.19,11.13,11.2,0.0,0.0,9837
06/06/2019,11.11,11.15,11.11,11.3,0.0,0.0,106183
06/05/2019,11.2,11.12,11.08,11.3,0.0,0.0,14249
06/04/2019,11.25,11.24,11.11,11.25,0.0,0.0,22501
06/03/2019,11.28,11.14,11.06,11.28,0.0,0.0,31305
05/31/2019,11.16,11.2,11.16,11.3,0.0,0.0,24160
05/30/2019,11.3,11.26,11.18,11.32,0.0,0.0,25080
05/29/2019,11.19,11.23,11.19,11.34,0.0,0.0,22611
05/28/2019,11.33,11.26,11.1753,11.404,0.0,0.0,56495
05/24/2019,11.29,11.28,11.175,11.41,0.0,0.0,25883
05/23/2019,11.18,11.21,11.16,11.26,0.0,0.0,23378
05/22/2019,11.31,11.27,11.27,11.33,0.0,0.0,8461
05/21/2019,11.23,11.33,11.18,11.37,0.0,0.0,43674
05/20/2019,11.3,11.29,11.22,11.39,0.0,0.0,26305
05/17/2019,11.21,11.27,11.21,11.42,0.0,0.0,35363
05/16/2019,11.27,11.3,11.27,11.44,0.0,0.0,34537
05/15/2019,11.25,11.25,11.13,11.45,0.0,0.0,40053
05/14/2019,11.29,11.32,11.23,11.35,0.0,0.0,20410
05/13/2019,11.17,11.15,11.15,11.39,0.0,0.0,17235
05/10/2019,11.13,11.3,11.13,11.375,0.0,0.0,47298
05/09/2019,11.25,11.27,11.23,11.38,0.0,0.0,33870
05/08/2019,11.26,11.28,11.26,11.38,0.0,0.0,5192
05/07/2019,11.38,11.25,11.25,11.38,0.0,0.0,13528
05/06/2019,11.3,11.38,11.12,11.47,0.0,0.0,7441
05/03/2019,11.185,11.37,11.185,11.37,0.0,0.0,19978
05/02/2019,11.402,11.12,11.12,11.44,0.0,0.0,23167
05/01/2019,11.22,11.3,11.2,11.49,0.0,0.0,22503
04/30/2019,11.43,11.41,11.2661,11.6,0.0,0.0,51388
04/29/2019,11.28,11.48,11.28,11.6457,0.0,0.0,25531
04/26/2019,11.335,11.43,11.2001,11.46,0.0,0.0,12312
04/25/2019,11.29,11.265,11.16,11.3003,0.0,0.0,21309
04/24/2019,11.25,11.31,11.24,11.41,0.0,0.0,7372
04/23/2019,11.43,11.33,11.3,11.43,0.0,0.0,16068
04/22/2019,11.38,11.25,11.171,11.38,0.0,0.0,11676
04/18/2019,11.36,11.34,11.29,11.51,0.0,0.0,9576
04/17/2019,11.539,11.41,11.2679,11.539,0.0,0.0,15673
04/16/2019,11.48,11.43,11.36,11.52,0.0,0.0,36481
