Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,49.96,49.88,49.88,49.96,0.0,0.0,669
07/15/2019,50.03,49.8691,49.8691,50.03,0.0,0.0,2484
07/12/2019,49.75,49.905,49.46,49.9199,0.0,0.0,17364
07/11/2019,49.74,49.74,49.74,49.74,0.0,0.0,00
07/10/2019,49.91,49.74,49.74,49.91,0.0,0.0,2281
07/09/2019,49.84,49.77,49.75,49.94,0.0,0.0,8592
07/08/2019,50.23,50.24,50.23,50.327,0.0,0.0,993
07/05/2019,50.5516,50.47,50.47,50.5516,0.0,0.0,446
07/03/2019,51.52,51.43,51.4,51.52,0.0,0.0,1722
07/02/2019,51.13,51.12,51.11,51.13,0.0,0.0,4108
07/01/2019,51.0103,51.04,51.0103,51.04,0.0,0.0,24675
06/28/2019,51.155,51.29,51.155,51.3299,0.0,0.0,2573
06/27/2019,50.82,50.8623,50.82,50.8623,0.0,0.0,1184
06/26/2019,50.86,50.682,50.682,50.86,0.0,0.0,1394
06/25/2019,51.09,50.8496,50.845,51.09,0.0,0.0,1200
06/24/2019,51.12,51.29,51.12,51.29,0.0,0.0,1671
06/21/2019,50.87,50.9799,50.7715,50.98,0.0,0.0,3251
06/20/2019,50.93,50.9599,50.93,51.01,0.0,0.0,8966
06/19/2019,50.11,50.195,50,50.195,0.0,0.0,2599
06/18/2019,49.9539,49.89,49.73,49.9539,0.0,0.0,2547
06/17/2019,49.4,49.3735,49.36,49.405,0.0,0.0,1819
06/14/2019,49.54,49.5475,49.43,49.56,0.0,0.0,7314
06/13/2019,50.93,50.91,50.85,50.98,0.0,0.0,1790
06/12/2019,50.9,50.76,50.76,50.97,0.0,0.0,7228
06/11/2019,50.825,50.77,50.77,50.825,0.0,0.0,710
06/10/2019,50.56,50.56,50.56,50.56,0.0,0.0,905
06/07/2019,50.51,50.5757,50.51,50.62,0.0,0.0,7325
06/06/2019,50.07,49.896,49.89,50.07,0.0,0.0,1443
06/05/2019,49.88,49.745,49.745,49.88,0.0,0.0,8650
06/04/2019,49.37,49.4651,48.95,49.4651,0.0,0.0,18559
06/03/2019,48.74,48.95,48.66,48.99,0.0,0.0,14269
05/31/2019,48.4812,48.422,48.422,48.4812,0.0,0.0,361
05/30/2019,48.58,48.83,48.5638,48.84,0.0,0.0,9067
05/29/2019,48.5,48.43,48.2065,48.5,0.0,0.0,4896
05/28/2019,49.19,48.767,48.767,49.19,0.0,0.0,1410
05/24/2019,49.13,49.21,49.13,49.36,0.0,0.0,2874
05/23/2019,48.56,48.5731,48.5201,48.6499,0.0,0.0,1379
05/22/2019,48.87,48.97,48.87,49.0899,0.0,0.0,1358
05/21/2019,48.78,48.88,48.78,48.8852,0.0,0.0,3208
05/20/2019,48.6,48.47,48.446,48.6,0.0,0.0,6370
05/17/2019,48.75,48.7761,48.75,48.7885,0.0,0.0,819
05/16/2019,48.87,48.9999,48.87,48.9999,0.0,0.0,592
05/15/2019,47.947,48.4271,47.925,48.4271,0.0,0.0,3346
05/14/2019,48.23,48.2901,48.23,48.2901,0.0,0.0,475
05/13/2019,48.082,48.24,48.03,48.24,0.0,0.0,8921
05/10/2019,48.79,49.07,48.6986,49.07,0.0,0.0,1514
05/09/2019,48.46,48.66,48.35,48.74,0.0,0.0,12792
05/08/2019,49.02,49.09,49.02,49.13,0.0,0.0,2648
05/07/2019,49.05,48.8456,48.83,49.05,0.0,0.0,2941
05/06/2019,49.08,49.4114,49.08,49.4114,0.0,0.0,1319
05/03/2019,49.89,50.08,49.89,50.08,0.0,0.0,5561
05/02/2019,49.84,49.8641,49.84,49.9199,0.0,0.0,3732
05/01/2019,50.1596,50.0702,50.07,50.425,0.0,0.0,5783
04/30/2019,50.18,50.15,50.07,50.2407,0.0,0.0,2399
04/29/2019,50.1099,50.11,50.1099,50.11,0.0,0.0,837
04/26/2019,49.87,50.0699,49.87,50.0699,0.0,0.0,1634
04/25/2019,50.0046,49.9214,49.9214,50.06,0.0,0.0,1604
04/24/2019,50.1579,50.13,50.05,50.2074,0.0,0.0,1336
04/23/2019,50.13,50.15,50.12,50.18,0.0,0.0,3674
04/22/2019,50.08,50.08,50.08,50.08,0.0,0.0,714
04/18/2019,50.17,50.27,50.17,50.278,0.0,0.0,3722
04/17/2019,50.261,50.1583,50.1535,50.261,0.0,0.0,945
04/16/2019,50.29,50.2376,50.215,50.29,0.0,0.0,1510
