Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,85.02,84.77,83.95,85.64,0.0,0.0,1215480
07/15/2019,84.94,85.02,83.64,85.23,0.0,0.0,1819686
07/12/2019,84.3,84.71,83.03,84.76,0.0,0.0,1751213
07/11/2019,81.59,84.06,81.175,84.2,0.0,0.0,2341756
07/10/2019,80.98,81.05,80.41,81.46,0.0,0.0,1710235
07/09/2019,78.45,80.55,78.01,80.7,0.0,0.0,1718404
07/08/2019,77.97,78.55,77.87,79.48,0.0,0.0,950740
07/05/2019,78.39,78.89,77.19,78.94,0.0,0.0,635192
07/03/2019,78.48,78.84,78.04,79.45,0.0,0.0,1089114
07/02/2019,77.44,78.11,77.2,78.45,0.0,0.0,1169020
07/01/2019,78.11,77.19,76.88,78.63,0.0,0.0,1264120
06/28/2019,77.09,76.83,76.01,77.62,0.0,0.0,2056411
06/27/2019,75.79,76.75,74.87,77.11,0.0,0.0,926928
06/26/2019,75.18,75.25,74.82,76.28,0.0,0.0,1411640
06/25/2019,76.1,74.87,74.67,76.48,0.0,0.0,1525325
06/24/2019,79.04,75.84,75.69,79.19,0.0,0.0,1685504
06/21/2019,76.93,76.13,74.98,77.39,0.0,0.0,2731056
06/20/2019,77.87,76.94,76.4,79.315,0.0,0.0,1589351
06/19/2019,75.32,76.96,74.5,77.13,0.0,0.0,1168198
06/18/2019,75.74,74.95,74.65,75.77,0.0,0.0,1168092
06/17/2019,75.54,74.53,74.44,76.69,0.0,0.0,1145924
06/14/2019,76.53,75.71,75.69,77.13,0.0,0.0,1221455
06/13/2019,77.25,76.61,76.1057,77.315,0.0,0.0,1233576
06/12/2019,75.52,76.99,75.22,77.07,0.0,0.0,1407374
06/11/2019,75.18,75.98,74.7,76.16,0.0,0.0,2122155
06/10/2019,74.41,74.68,74.35,75.64,0.0,0.0,1348834
06/07/2019,73.75,73.82,73.49,74.61,0.0,0.0,1192999
06/06/2019,73.47,73.59,72.43,73.91,0.0,0.0,1192727
06/05/2019,73.48,73.15,71.6,73.75,0.0,0.0,1356042
06/04/2019,70.71,72.47,70.385,72.5,0.0,0.0,1695435
06/03/2019,72.32,69.65,68.87,72.85,0.0,0.0,2633485
05/31/2019,75,72.48,72.24,75.25,0.0,0.0,2543910
05/30/2019,75.8,76.05,75.11,76.43,0.0,0.0,1418588
05/29/2019,76.61,75.82,75.05,77.38,0.0,0.0,1729699
05/28/2019,77.87,77.24,77.04,79.3,0.0,0.0,1760339
05/24/2019,78.2,77.74,77.26,78.9,0.0,0.0,1522663
05/23/2019,80.65,77.49,76.72,80.725,0.0,0.0,2720591
05/22/2019,81.97,81.96,81.53,82.62,0.0,0.0,737925
05/21/2019,82.44,82.56,81.9501,82.97,0.0,0.0,915345
05/20/2019,81.62,81.35,80.6864,82.055,0.0,0.0,882556
05/17/2019,82.36,82.62,81.78,84.065,0.0,0.0,1273911
05/16/2019,81.11,83.24,81.11,83.58,0.0,0.0,1271121
05/15/2019,80.77,81.05,80.5,82.25,0.0,0.0,1113932
05/14/2019,80.02,81.2,80,81.66,0.0,0.0,1388454
05/13/2019,80.75,79.49,79.42,81.76,0.0,0.0,1921873
05/10/2019,81.26,82.9,80.34,83.22,0.0,0.0,1738500
05/09/2019,80.25,81.81,79.75,82.26,0.0,0.0,1448817
05/08/2019,81.59,81.65,80.89,82.22,0.0,0.0,1492165
05/07/2019,84,81.78,80.73,84.15,0.0,0.0,3097005
05/06/2019,83.65,85.01,82.85,85.2,0.0,0.0,2356183
05/03/2019,86.05,85.96,82.8,86.6835,0.0,0.0,4383233
05/02/2019,91.82,91.51,90.485,92.615,0.0,0.0,2159409
05/01/2019,93.64,91.89,91.79,93.64,0.0,0.0,1517909
04/30/2019,93.02,93.42,92.5986,93.755,0.0,0.0,1266049
04/29/2019,93.5,93.03,92.75,94.19,0.0,0.0,1312237
04/26/2019,93,93.02,91.4,93.39,0.0,0.0,1191058
04/25/2019,92.82,92.9,91.35,93.38,0.0,0.0,1410501
04/24/2019,92.45,92.26,92.0424,93.21,0.0,0.0,1384783
04/23/2019,91.8,91.99,90.28,92.13,0.0,0.0,1779263
04/22/2019,90.84,91.57,90.61,91.94,0.0,0.0,1219566
04/18/2019,89.86,91.08,88.2127,91.12,0.0,0.0,2208718
04/17/2019,94.37,92.37,91.56,94.956,0.0,0.0,1776928
04/16/2019,95.95,94.05,93.44,96.96,0.0,0.0,2184399
