Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,33.99,34.17,33.99,34.3797,0.0,0.0,4754
07/15/2019,33.972,33.9276,33.76,33.972,0.0,0.0,4043
07/12/2019,33.92,34.3513,33.92,34.3513,0.0,0.0,2177
07/11/2019,33.663,33.69,33.62,33.87,0.0,0.0,17488
07/10/2019,34.18,34.12,33.87,34.19,0.0,0.0,10121
07/09/2019,33.9929,33.915,33.87,33.9999,0.0,0.0,1868
07/08/2019,34.4,34.25,34.223,34.5,0.0,0.0,6160
07/05/2019,34.14,34.4714,34.14,34.4714,0.0,0.0,2077
07/03/2019,34.14,34.3676,34.14,34.3676,0.0,0.0,1714
07/02/2019,34.34,34.005,33.9,34.34,0.0,0.0,10758
07/01/2019,35.11,34.4475,34.4475,35.11,0.0,0.0,3526
06/28/2019,34.32,34.545,34.32,34.6699,0.0,0.0,12363
06/27/2019,33.48,34.14,33.48,34.14,0.0,0.0,2657
06/26/2019,33.484,33.57,33.43,33.63,0.0,0.0,2574
06/25/2019,33.2419,33.31,33.18,33.3499,0.0,0.0,4705
06/24/2019,33.76,33.44,33.44,33.76,0.0,0.0,1829
06/21/2019,34.06,33.65,33.65,34.06,0.0,0.0,4093
06/20/2019,34.18,34.0092,33.95,34.18,0.0,0.0,23877
06/19/2019,33.8663,33.8539,33.67,33.8663,0.0,0.0,2507
06/18/2019,34.05,33.8496,33.7018,34.06,0.0,0.0,4877
06/17/2019,33.38,33.4519,33.38,33.567,0.0,0.0,3409
06/14/2019,33.84,33.37,33.35,33.84,0.0,0.0,5061
06/13/2019,33.5,33.74,33.45,33.7808,0.0,0.0,7719
06/12/2019,33.28,33.27,33.24,33.39,0.0,0.0,9077
06/11/2019,33.8594,33.56,33.4581,33.8594,0.0,0.0,7014
06/10/2019,33.74,33.41,33.33,33.76,0.0,0.0,18482
06/07/2019,33.1492,33.373,33.08,33.373,0.0,0.0,3487
06/06/2019,33.36,33.0083,32.694,33.36,0.0,0.0,6456
06/05/2019,33.2897,33.2761,33.2215,33.52,0.0,0.0,8782
06/04/2019,33.22,33.6356,33.22,33.6356,0.0,0.0,3072
06/03/2019,32.1362,32.55,32.1362,32.6289,0.0,0.0,15965
05/31/2019,32.11,32.09,32.09,32.39,0.0,0.0,26919
05/30/2019,33.13,32.71,32.7,33.25,0.0,0.0,5382
05/29/2019,32.877,32.93,32.84,32.93,0.0,0.0,1663
05/28/2019,33.5,33.428,33.428,33.61,0.0,0.0,2727
05/24/2019,33.7019,33.6023,33.5612,33.7019,0.0,0.0,4526
05/23/2019,33.54,33.36,33.3306,33.63,0.0,0.0,7561
05/22/2019,34.46,34.3,34.1944,34.46,0.0,0.0,2926
05/21/2019,34.47,34.81,34.47,34.8699,0.0,0.0,2821
05/20/2019,34.38,34.3658,34.2968,34.6,0.0,0.0,3063
05/17/2019,35.0901,34.9591,34.9591,35.31,0.0,0.0,6092
05/16/2019,35.5632,35.23,35.22,35.5632,0.0,0.0,22281
05/15/2019,34.78,35.276,34.78,35.276,0.0,0.0,2635
05/14/2019,34.879,35.1643,34.879,35.26,0.0,0.0,3267
05/13/2019,35.11,34.62,34.5176,35.184,0.0,0.0,7530
05/10/2019,35.694,35.75,35.32,35.75,0.0,0.0,2979
05/09/2019,35.5,35.78,35.33,35.8384,0.0,0.0,2917
05/08/2019,36.13,36.0202,35.9465,36.14,0.0,0.0,6616
05/07/2019,36.355,36.03,35.8499,36.355,0.0,0.0,2081
05/06/2019,36.11,36.8,36.11,36.88,0.0,0.0,6388
05/03/2019,36.23,36.6111,36.23,36.62,0.0,0.0,2041
05/02/2019,35.93,35.95,35.83,36.12,0.0,0.0,6244
05/01/2019,36.5359,36.36,36.24,36.551,0.0,0.0,1634
04/30/2019,36.22,36.4753,36.22,36.519,0.0,0.0,2868
04/29/2019,36.5374,36.7193,36.5374,36.86,0.0,0.0,4184
04/26/2019,36.24,36.67,36.24,36.67,0.0,0.0,23891
04/25/2019,36.48,36.229,36.13,36.48,0.0,0.0,5967
04/24/2019,36.9396,36.87,36.87,37.0726,0.0,0.0,9870
04/23/2019,36.73,36.87,36.73,37.018,0.0,0.0,6611
04/22/2019,36.465,36.45,36.3034,36.5799,0.0,0.0,7411
04/18/2019,36.64,36.64,36.64,36.7861,0.0,0.0,5266
04/17/2019,36.9,36.74,36.6872,36.9,0.0,0.0,3137
04/16/2019,36.43,36.7,36.43,36.75,0.0,0.0,9552
