Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,16.17,15.99,15.86,16.38,0.0,0.0,140288
07/15/2019,15.97,16.26,15.82,16.35,0.0,0.0,128599
07/12/2019,16.37,15.91,15.82,16.37,0.0,0.0,96120
07/11/2019,16.18,16.42,16.09,16.51,0.0,0.0,48282
07/10/2019,15.97,16.22,15.7,16.38,0.0,0.0,88110
07/09/2019,15.41,15.82,15.41,15.91,0.0,0.0,109418
07/08/2019,15.16,15.41,15.16,16.52,0.0,0.0,113182
07/05/2019,15.53,15.46,15.16,15.53,0.0,0.0,50393
07/03/2019,15.28,15.63,14.88,15.76,0.0,0.0,79738
07/02/2019,15.33,15.15,14.83,15.4399,0.0,0.0,94468
07/01/2019,15.22,15.31,14.84,15.76,0.0,0.0,161402
06/28/2019,13.5,15.11,13.5,15.83,0.0,0.0,1566668
06/27/2019,13.25,13.4,13.14,14.05,0.0,0.0,74227
06/26/2019,13.15,13.14,13.08,13.84,0.0,0.0,75621
06/25/2019,13.55,12.94,12.8,13.67,0.0,0.0,56051
06/24/2019,13.73,13.53,13.48,13.84,0.0,0.0,44441
06/21/2019,13.78,13.62,13.56,14.05,0.0,0.0,96546
06/20/2019,13.74,13.78,13.51,14.08,0.0,0.0,35787
06/19/2019,13.12,13.46,12.945,13.79,0.0,0.0,43763
06/18/2019,12.37,13.08,12.33,13.18,0.0,0.0,77427
06/17/2019,12.9,12.28,11.97,12.9,0.0,0.0,62671
06/14/2019,13.08,12.84,12.47,13.2,0.0,0.0,66027
06/13/2019,12.74,12.88,12.74,13.35,0.0,0.0,54399
06/12/2019,12.43,12.98,12.43,13.15,0.0,0.0,63774
06/11/2019,12.71,12.65,12.36,12.89,0.0,0.0,64838
06/10/2019,13.25,12.58,12.49,13.644,0.0,0.0,59761
06/07/2019,12.91,13.07,12.8,13.5,0.0,0.0,69811
06/06/2019,12.44,13.02,12.11,13.02,0.0,0.0,64930
06/05/2019,12.79,12.37,12,13.06,0.0,0.0,85423
06/04/2019,12.06,12.37,11.95,12.7,0.0,0.0,71449
06/03/2019,12.77,11.87,11.85,12.77,0.0,0.0,66250
05/31/2019,13.36,12.51,12.3321,13.46,0.0,0.0,35301
05/30/2019,13.58,13.52,13.33,13.99,0.0,0.0,56601
05/29/2019,13.5,13.54,13.27,13.82,0.0,0.0,38444
05/28/2019,14.09,13.81,13.7,14.36,0.0,0.0,38791
05/24/2019,14.17,14.16,13.89,14.62,0.0,0.0,63915
05/23/2019,14.42,14.09,13.75,14.53,0.0,0.0,65068
05/22/2019,14.58,14.73,14.52,14.9899,0.0,0.0,26170
05/21/2019,14.49,14.57,14.23,14.86,0.0,0.0,98892
05/20/2019,14.39,14.47,13.88,14.755,0.0,0.0,110775
05/17/2019,15.11,14.42,14.2,15.6174,0.0,0.0,44660
05/16/2019,15.06,15.18,14.86,15.6,0.0,0.0,50499
05/15/2019,14.68,15.02,14.64,15.16,0.0,0.0,28201
05/14/2019,14.43,14.8,14.38,15.07,0.0,0.0,77398
05/13/2019,14.99,14.44,13.97,15.1,0.0,0.0,66863
05/10/2019,15.155,15.01,14.51,15.17,0.0,0.0,103211
05/09/2019,15.24,14.85,14.76,15.65,0.0,0.0,57788
05/08/2019,15.88,15.35,15.115,15.89,0.0,0.0,38046
05/07/2019,13.99,15.89,13.99,15.89,0.0,0.0,48887
05/06/2019,15.17,15.31,14.93,15.62,0.0,0.0,75770
05/03/2019,12.61,15.33,12.61,15.53,0.0,0.0,136064
05/02/2019,13.1,12.44,12.36,13.47,0.0,0.0,62776
05/01/2019,13.58,13.33,13.1,13.86,0.0,0.0,99082
04/30/2019,14.5,13.45,13.45,14.5,0.0,0.0,104815
04/29/2019,14.138,14.39,14.05,14.62,0.0,0.0,27085
04/26/2019,14.05,14.14,13.88,14.19,0.0,0.0,18946
04/25/2019,14.071,14,13.89,14.24,0.0,0.0,33055
04/24/2019,14.66,14.17,14.14,14.66,0.0,0.0,20212
04/23/2019,13.94,14.05,13.94,14.26,0.0,0.0,13851
04/22/2019,13.95,14.1,13.92,14.26,0.0,0.0,19012
04/18/2019,13.81,13.85,13.67,13.91,0.0,0.0,15783
04/17/2019,13.76,13.8,13.65,13.92,0.0,0.0,33184
04/16/2019,13.545,13.77,13.52,13.85,0.0,0.0,42943
