Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,1.22,1.21,1.08,1.25,0.0,0.0,3216347
07/15/2019,1.33,1.23,1.21,1.36,0.0,0.0,2942571
07/12/2019,1.31,1.34,1.29,1.35,0.0,0.0,1533381
07/11/2019,1.36,1.31,1.29,1.3773,0.0,0.0,2391871
07/10/2019,1.39,1.36,1.35,1.41,0.0,0.0,2099508
07/09/2019,1.38,1.38,1.37,1.41,0.0,0.0,1066339
07/08/2019,1.4,1.39,1.35,1.42,0.0,0.0,1499028
07/05/2019,1.4,1.4,1.38,1.42,0.0,0.0,1832433
07/03/2019,1.39,1.41,1.35,1.43,0.0,0.0,1598009
07/02/2019,1.42,1.39,1.35,1.43,0.0,0.0,2146115
07/01/2019,1.43,1.41,1.39,1.46,0.0,0.0,3370343
06/28/2019,1.55,1.41,1.4,1.555,0.0,0.0,8958682
06/27/2019,1.48,1.52,1.46,1.53,0.0,0.0,990667
06/26/2019,1.48,1.46,1.45,1.5,0.0,0.0,755983
06/25/2019,1.54,1.46,1.46,1.55,0.0,0.0,1245117
06/24/2019,1.5,1.52,1.45,1.55,0.0,0.0,1172072
06/21/2019,1.52,1.48,1.48,1.55,0.0,0.0,1752012
06/20/2019,1.63,1.53,1.53,1.63,0.0,0.0,1110131
06/19/2019,1.65,1.59,1.55,1.65,0.0,0.0,1276279
06/18/2019,1.49,1.61,1.47,1.63,0.0,0.0,2012129
06/17/2019,1.53,1.47,1.46,1.56,0.0,0.0,1475596
06/14/2019,1.44,1.49,1.43,1.52,0.0,0.0,1472612
06/13/2019,1.4,1.47,1.37,1.47,0.0,0.0,1110354
06/12/2019,1.38,1.37,1.34,1.4,0.0,0.0,918016
06/11/2019,1.42,1.37,1.33,1.43,0.0,0.0,1283816
06/10/2019,1.42,1.4,1.37,1.44,0.0,0.0,1060794
06/07/2019,1.38,1.41,1.29,1.425,0.0,0.0,2558011
06/06/2019,1.45,1.38,1.37,1.48,0.0,0.0,2067855
06/05/2019,1.5,1.44,1.41,1.5,0.0,0.0,897056
06/04/2019,1.45,1.49,1.42,1.49,0.0,0.0,1412526
06/03/2019,1.46,1.42,1.4,1.46,0.0,0.0,1033715
05/31/2019,1.41,1.45,1.38,1.45,0.0,0.0,1024606
05/30/2019,1.42,1.42,1.4,1.46,0.0,0.0,1117924
05/29/2019,1.5,1.43,1.39,1.51,0.0,0.0,2768482
05/28/2019,1.55,1.52,1.5,1.6,0.0,0.0,1709061
05/24/2019,1.52,1.55,1.52,1.58,0.0,0.0,1083521
05/23/2019,1.52,1.52,1.4905,1.56,0.0,0.0,1205082
05/22/2019,1.59,1.53,1.52,1.61,0.0,0.0,1160563
05/21/2019,1.55,1.6,1.53,1.61,0.0,0.0,1437379
05/20/2019,1.52,1.54,1.52,1.5599,0.0,0.0,1138904
05/17/2019,1.65,1.52,1.48,1.66,0.0,0.0,4244183
05/16/2019,1.76,1.65,1.65,1.78,0.0,0.0,2780413
05/15/2019,1.69,1.79,1.68,1.81,0.0,0.0,2493188
05/14/2019,1.65,1.7,1.61,1.76,0.0,0.0,1586344
05/13/2019,1.7,1.66,1.65,1.72,0.0,0.0,1554229
05/10/2019,1.71,1.74,1.7,1.76,0.0,0.0,1358898
05/09/2019,1.73,1.74,1.67,1.76,0.0,0.0,1566123
05/08/2019,1.76,1.75,1.7,1.78,0.0,0.0,1425727
05/07/2019,1.8,1.75,1.75,1.82,0.0,0.0,1473158
05/06/2019,1.75,1.8,1.75,1.82,0.0,0.0,1421048
05/03/2019,1.85,1.8,1.765,1.89,0.0,0.0,2372624
05/02/2019,1.79,1.82,1.74,1.835,0.0,0.0,2154607
05/01/2019,1.82,1.81,1.74,1.84,0.0,0.0,1991143
04/30/2019,1.88,1.82,1.81,1.895,0.0,0.0,1634074
04/29/2019,1.91,1.88,1.855,1.94,0.0,0.0,1907801
04/26/2019,1.89,1.91,1.85,1.92,0.0,0.0,1510839
04/25/2019,1.86,1.88,1.81,1.92,0.0,0.0,1718008
04/24/2019,1.94,1.87,1.85,1.94,0.0,0.0,2014481
04/23/2019,1.93,1.92,1.86,1.96,0.0,0.0,2344083
04/22/2019,1.79,1.92,1.78,1.92,0.0,0.0,2764414
04/18/2019,1.74,1.77,1.71,1.8,0.0,0.0,2043764
04/17/2019,1.83,1.74,1.68,1.84,0.0,0.0,3044738
04/16/2019,1.89,1.79,1.77,1.91,0.0,0.0,3406354
