Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,10.77,10.77,10.77,10.77,0.0,0.0,00
07/15/2019,10.77,10.77,10.77,10.77,0.0,0.0,00
07/12/2019,10.77,10.77,10.77,10.77,0.0,0.0,200
07/11/2019,10.72,10.72,10.72,10.72,0.0,0.0,00
07/10/2019,10.72,10.72,10.72,10.72,0.0,0.0,00
07/09/2019,10.72,10.72,10.72,10.72,0.0,0.0,00
07/08/2019,10.72,10.72,10.72,10.72,0.0,0.0,00
07/05/2019,10.72,10.72,10.72,10.72,0.0,0.0,00
07/03/2019,10.77,10.72,10.72,10.77,0.0,0.0,500
07/02/2019,10.71,10.71,10.71,10.71,0.0,0.0,200
07/01/2019,10.57,10.57,10.57,10.57,0.0,0.0,00
06/28/2019,10.57,10.57,10.57,10.57,0.0,0.0,00
06/27/2019,10.6,10.57,10.57,10.6,0.0,0.0,5000
06/26/2019,10.6,10.6,10.6,10.6,0.0,0.0,200
06/25/2019,10.59,10.59,10.59,10.59,0.0,0.0,00
06/24/2019,10.59,10.59,10.59,10.59,0.0,0.0,00
06/21/2019,10.59,10.59,10.59,10.59,0.0,0.0,00
06/20/2019,10.6,10.59,10.4,10.6,0.0,0.0,700
06/19/2019,10.61,10.6,10.6,10.61,0.0,0.0,600
06/18/2019,10.62,10.62,10.62,10.62,0.0,0.0,200
06/17/2019,10.62,10.62,10.62,10.62,0.0,0.0,200
06/14/2019,10.64,10.64,10.64,10.64,0.0,0.0,00
06/13/2019,10.64,10.64,10.64,10.64,0.0,0.0,00
06/12/2019,10.64,10.64,10.64,10.64,0.0,0.0,00
06/11/2019,10.64,10.64,10.64,10.64,0.0,0.0,00
06/10/2019,10.64,10.64,10.64,10.64,0.0,0.0,00
06/07/2019,10.55,10.64,10.55,10.64,0.0,0.0,5065
06/06/2019,10.51,10.51,10.51,10.5228,0.0,0.0,1500
06/05/2019,10.55,10.55,10.55,10.55,0.0,0.0,00
06/04/2019,10.55,10.55,10.55,10.55,0.0,0.0,00
06/03/2019,10.55,10.55,10.55,10.55,0.0,0.0,00
05/31/2019,10.55,10.55,10.55,10.55,0.0,0.0,00
05/30/2019,10.55,10.55,10.55,10.55,0.0,0.0,00
05/29/2019,10.55,10.55,10.55,10.55,0.0,0.0,00
05/28/2019,10.55,10.55,10.55,10.55,0.0,0.0,00
05/24/2019,10.55,10.55,10.55,10.55,0.0,0.0,200
05/23/2019,10.55,10.55,10.55,10.55,0.0,0.0,00
05/22/2019,10.55,10.55,10.55,10.55,0.0,0.0,2000
05/21/2019,10.5,10.54,10.5,10.54,0.0,0.0,6200
05/20/2019,10.49,10.49,10.49,10.49,0.0,0.0,00
05/17/2019,10.49,10.49,10.49,10.49,0.0,0.0,00
05/16/2019,10.49,10.49,10.49,10.49,0.0,0.0,00
05/15/2019,10.49,10.49,10.49,10.49,0.0,0.0,00
05/14/2019,10.49,10.49,10.49,10.49,0.0,0.0,00
05/13/2019,10.49,10.49,10.49,10.49,0.0,0.0,200
05/10/2019,10.4918,10.4918,10.4918,10.4918,0.0,0.0,00
05/09/2019,10.47,10.4918,10.47,10.4918,0.0,0.0,1000
05/08/2019,10.45,10.45,10.45,10.45,0.0,0.0,00
05/07/2019,10.45,10.45,10.45,10.45,0.0,0.0,00
05/06/2019,10.45,10.45,10.45,10.45,0.0,0.0,00
05/03/2019,10.45,10.45,10.45,10.45,0.0,0.0,00
05/02/2019,10.45,10.45,10.45,10.45,0.0,0.0,00
05/01/2019,10.45,10.45,10.45,10.45,0.0,0.0,00
04/30/2019,10.45,10.45,10.45,10.45,0.0,0.0,100
04/29/2019,10.5,10.5,10.5,10.5,0.0,0.0,700
04/26/2019,10.5,10.5,10.5,10.5,0.0,0.0,6300
04/25/2019,10.5,10.5921,10.5,10.5921,0.0,0.0,439
04/24/2019,10.54,10.54,10.54,10.54,0.0,0.0,00
04/23/2019,10.54,10.54,10.54,10.54,0.0,0.0,00
04/22/2019,10.54,10.54,10.54,10.54,0.0,0.0,00
04/18/2019,10.5797,10.54,10.54,10.5797,0.0,0.0,625
04/17/2019,10.7268,10.5821,10.5821,10.7268,0.0,0.0,9625
04/16/2019,10.63,10.5774,10.5774,10.63,0.0,0.0,3100
