Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,6.34,6.24,6.135,6.34,0.0,0.0,1042885
07/15/2019,6.45,6.33,6.26,6.45,0.0,0.0,249529
07/12/2019,6.66,6.44,6.32,6.66,0.0,0.0,228815
07/11/2019,6.64,6.66,6.61,6.77,0.0,0.0,144590
07/10/2019,6.48,6.64,6.45,6.65,0.0,0.0,578530
07/09/2019,6.39,6.45,6.3877,6.47,0.0,0.0,672269
07/08/2019,6.46,6.41,6.33,6.47,0.0,0.0,665705
07/05/2019,6.45,6.49,6.39,6.52,0.0,0.0,62431
07/03/2019,6.45,6.53,6.43,6.53,0.0,0.0,105080
07/02/2019,6.41,6.43,6.33,6.47,0.0,0.0,182309
07/01/2019,6.55,6.46,6.28,6.65,0.0,0.0,314060
06/28/2019,6.39,6.49,6.1246,6.67,0.0,0.0,987172
06/27/2019,6.25,6.36,6.225,6.4,0.0,0.0,462791
06/26/2019,6.27,6.22,6.15,6.33,0.0,0.0,300996
06/25/2019,6.43,6.28,6.21,6.51,0.0,0.0,388490
06/24/2019,6.67,6.43,6.32,6.79,0.0,0.0,342034
06/21/2019,6.67,6.68,6.43,6.75,0.0,0.0,533707
06/20/2019,6.96,6.71,6.7,7.02,0.0,0.0,300746
06/19/2019,6.9,6.87,6.81,6.95,0.0,0.0,120748
06/18/2019,6.83,6.88,6.83,6.94,0.0,0.0,135785
06/17/2019,6.75,6.82,6.75,6.91,0.0,0.0,155863
06/14/2019,6.92,6.76,6.74,7,0.0,0.0,160229
06/13/2019,7.03,6.9,6.89,7.05,0.0,0.0,237869
06/12/2019,6.93,6.99,6.88,7.07,0.0,0.0,278648
06/11/2019,6.96,6.92,6.66,6.97,0.0,0.0,375549
06/10/2019,6.74,6.87,6.74,6.95,0.0,0.0,133124
06/07/2019,6.84,6.72,6.69,7,0.0,0.0,151832
06/06/2019,6.74,6.81,6.6,6.83,0.0,0.0,202005
06/05/2019,6.85,6.75,6.61,6.94,0.0,0.0,218651
06/04/2019,6.73,6.81,6.62,6.845,0.0,0.0,208506
06/03/2019,6.71,6.65,6.62,6.78,0.0,0.0,235330
05/31/2019,6.62,6.69,6.6,6.77,0.0,0.0,210154
05/30/2019,6.6,6.7,6.6,6.79,0.0,0.0,295997
05/29/2019,6.62,6.64,6.6,6.75,0.0,0.0,194767
05/28/2019,6.66,6.7,6.61,6.78,0.0,0.0,132473
05/24/2019,6.62,6.67,6.62,6.83,0.0,0.0,109105
05/23/2019,6.85,6.67,6.5422,6.85,0.0,0.0,183656
05/22/2019,6.96,6.96,6.78,7.07,0.0,0.0,201159
05/21/2019,6.83,6.99,6.83,7.08,0.0,0.0,142453
05/20/2019,6.84,6.87,6.7,6.9,0.0,0.0,128365
05/17/2019,7.01,6.88,6.78,7.23,0.0,0.0,198911
05/16/2019,7.18,7.09,7.05,7.41,0.0,0.0,186486
05/15/2019,7.15,7.19,7.11,7.3,0.0,0.0,117796
05/14/2019,7.12,7.25,7.11,7.28,0.0,0.0,120282
05/13/2019,7.41,7.09,7,7.53,0.0,0.0,285254
05/10/2019,7.49,7.55,7.21,7.56,0.0,0.0,321532
05/09/2019,7.52,7.51,7.36,7.595,0.0,0.0,239997
05/08/2019,7.67,7.56,7.47,7.78,0.0,0.0,233325
05/07/2019,7.91,7.7,7.63,8.14,0.0,0.0,296864
05/06/2019,7.84,8.01,7.81,8.17,0.0,0.0,649393
05/03/2019,7.79,7.96,7.69,8,0.0,0.0,363551
05/02/2019,7.71,7.79,7.5478,7.93,0.0,0.0,393022
05/01/2019,7.51,7.76,7.18,7.77,0.0,0.0,650234
04/30/2019,7.44,7.24,7.2,7.45,0.0,0.0,559319
04/29/2019,7.37,7.39,7.1,7.505,0.0,0.0,201311
04/26/2019,7.2,7.33,7.18,7.43,0.0,0.0,284966
04/25/2019,7.1,7.18,6.99,7.285,0.0,0.0,275371
04/24/2019,7.25,7.1,7.04,7.26,0.0,0.0,124127
04/23/2019,7,7.22,6.95,7.28,0.0,0.0,244476
04/22/2019,6.97,7,6.92,7.2,0.0,0.0,235391
04/18/2019,6.89,7,6.71,7.02,0.0,0.0,311732
04/17/2019,7.32,6.92,6.6168,7.39,0.0,0.0,549910
04/16/2019,7.44,7.32,7.29,7.58,0.0,0.0,220473
