Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,10.42,10.41,10.27,10.51,0.0,0.0,391843
07/15/2019,10.73,10.46,10.44,10.73,0.0,0.0,405464
07/12/2019,10.75,10.73,10.57,10.82,0.0,0.0,372910
07/11/2019,10.79,10.72,10.48,10.79,0.0,0.0,378073
07/10/2019,10.93,10.83,10.7,11.2,0.0,0.0,941041
07/09/2019,10.56,10.84,10.43,10.86,0.0,0.0,722116
07/08/2019,10.44,10.6,10.26,10.66,0.0,0.0,345670
07/05/2019,10.31,10.51,10.28,10.56,0.0,0.0,221494
07/03/2019,10.5,10.3,10.21,10.5,0.0,0.0,341870
07/02/2019,10.56,10.43,10.17,10.56,0.0,0.0,676646
07/01/2019,10.92,10.61,10.47,11.075,0.0,0.0,824905
06/28/2019,10.3,10.78,10.3,10.875,0.0,0.0,925165
06/27/2019,10.68,10.3,10.18,10.82,0.0,0.0,1071765
06/26/2019,10.75,10.64,10.57,10.83,0.0,0.0,2135481
06/25/2019,11.02,10.62,10.61,11.15,0.0,0.0,1305371
06/24/2019,11.11,11.22,11.02,11.33,0.0,0.0,1288899
06/21/2019,11.73,11.18,11.12,11.9,0.0,0.0,1208016
06/20/2019,11.59,11.73,11.545,11.91,0.0,0.0,1701514
06/19/2019,11.44,11.38,10.91,11.6,0.0,0.0,6284514
06/18/2019,12.33,12.47,12.33,12.66,0.0,0.0,426603
06/17/2019,11.98,12.2,11.82,12.23,0.0,0.0,546653
06/14/2019,12.12,12.02,11.9,12.21,0.0,0.0,486138
06/13/2019,11.52,12.17,11.49,12.18,0.0,0.0,499618
06/12/2019,12.01,11.36,11.35,12.13,0.0,0.0,736901
06/11/2019,12.26,12.09,12.045,12.42,0.0,0.0,520437
06/10/2019,12.5,12.16,12.11,12.7,0.0,0.0,573467
06/07/2019,12.89,12.46,12.44,12.89,0.0,0.0,501234
06/06/2019,13.05,12.9,12.66,13.125,0.0,0.0,410560
06/05/2019,13.32,13.02,12.8,13.41,0.0,0.0,787288
06/04/2019,13.09,13.32,12.96,13.33,0.0,0.0,385334
06/03/2019,13.11,12.98,12.93,13.38,0.0,0.0,566339
05/31/2019,12.96,13.05,12.83,13.12,0.0,0.0,684205
05/30/2019,13.77,13.18,13.17,13.85,0.0,0.0,433103
05/29/2019,13.77,13.76,13.54,13.835,0.0,0.0,800791
05/28/2019,14.32,13.89,13.78,14.33,0.0,0.0,973680
05/24/2019,14.48,14.3,14.21,14.6,0.0,0.0,457106
05/23/2019,14.79,14.36,14.31,14.8,0.0,0.0,512911
05/22/2019,15.49,15.15,15.07,15.53,0.0,0.0,411000
05/21/2019,15.52,15.59,15.28,15.79,0.0,0.0,617075
05/20/2019,15.61,15.47,15.44,15.69,0.0,0.0,422192
05/17/2019,15.66,15.69,15.53,15.94,0.0,0.0,414754
05/16/2019,15.86,15.79,15.64,16.14,0.0,0.0,609102
05/15/2019,15.77,15.86,15.675,15.93,0.0,0.0,339381
05/14/2019,15.67,15.95,15.57,16.01,0.0,0.0,387399
05/13/2019,16.02,15.55,15.5,16.02,0.0,0.0,609490
05/10/2019,15.67,16.17,15.49,16.2899,0.0,0.0,664928
05/09/2019,14.8,15.65,14.27,16.225,0.0,0.0,1090889
05/08/2019,16.02,15.36,15.31,16.23,0.0,0.0,1000597
05/07/2019,16.65,16.03,15.97,16.685,0.0,0.0,665812
05/06/2019,16.97,16.67,16.53,16.97,0.0,0.0,505070
05/03/2019,16.82,17.03,16.54,17.04,0.0,0.0,872767
05/02/2019,17.06,16.7,16.66,17.28,0.0,0.0,351230
05/01/2019,17.38,17.16,17.15,17.55,0.0,0.0,605450
04/30/2019,17.52,17.37,17.01,17.62,0.0,0.0,580329
04/29/2019,17.13,17.49,17.01,17.53,0.0,0.0,483096
04/26/2019,16.71,17.11,16.53,17.13,0.0,0.0,368567
04/25/2019,17.11,16.75,16.74,17.11,0.0,0.0,254776
04/24/2019,17.13,17.1,16.91,17.27,0.0,0.0,425087
04/23/2019,17.29,17.21,17.2,17.52,0.0,0.0,376749
04/22/2019,17.01,17.24,16.83,17.36,0.0,0.0,535954
04/18/2019,17.42,16.89,16.83,17.55,0.0,0.0,563562
04/17/2019,17.53,17.43,17.315,17.64,0.0,0.0,281913
04/16/2019,16.96,17.42,16.86,17.47,0.0,0.0,366391
