Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,5.52,5.46,5.42,5.54,0.0,0.0,2381297
07/15/2019,5.49,5.51,5.38,5.54,0.0,0.0,2555454
07/12/2019,5.57,5.48,5.46,5.59,0.0,0.0,3238820
07/11/2019,5.6,5.57,5.48,5.645,0.0,0.0,3848053
07/10/2019,5.81,5.62,5.54,5.95,0.0,0.0,4534593
07/09/2019,5.6,5.64,5.6,5.77,0.0,0.0,3630668
07/08/2019,5.52,5.59,5.47,5.64,0.0,0.0,3320493
07/05/2019,5.42,5.55,5.42,5.635,0.0,0.0,2934052
07/03/2019,5.39,5.44,5.38,5.58,0.0,0.0,1999600
07/02/2019,5.36,5.38,5.3,5.44,0.0,0.0,2614436
07/01/2019,5.51,5.38,5.22,5.53,0.0,0.0,5529041
06/28/2019,5.52,5.46,5.43,5.595,0.0,0.0,5647807
06/27/2019,5.67,5.52,5.5,5.67,0.0,0.0,3596662
06/26/2019,5.72,5.62,5.61,5.8,0.0,0.0,2538509
06/25/2019,5.75,5.67,5.64,5.865,0.0,0.0,2577361
06/24/2019,5.85,5.72,5.62,5.9,0.0,0.0,3129150
06/21/2019,5.83,5.85,5.75,5.9,0.0,0.0,1993837
06/20/2019,6.02,5.85,5.79,6.05,0.0,0.0,3146483
06/19/2019,5.92,5.97,5.87,6.065,0.0,0.0,1995454
06/18/2019,5.81,5.94,5.77,5.99,0.0,0.0,2304471
06/17/2019,5.77,5.77,5.6922,5.92,0.0,0.0,2971095
06/14/2019,5.85,5.77,5.77,5.95,0.0,0.0,2292035
06/13/2019,6.03,5.88,5.87,6.15,0.0,0.0,2951526
06/12/2019,6,6,5.91,6.03,0.0,0.0,1869506
06/11/2019,5.93,6.02,5.86,6.06,0.0,0.0,2796674
06/10/2019,5.96,5.92,5.86,6.08,0.0,0.0,4366714
06/07/2019,5.91,5.84,5.78,5.98,0.0,0.0,3475281
06/06/2019,6.06,5.93,5.82,6.11,0.0,0.0,4272467
06/05/2019,6.22,6.08,5.965,6.285,0.0,0.0,4234505
06/04/2019,6.2,6.14,6.1,6.31,0.0,0.0,4756862
06/03/2019,6.28,6.12,6.07,6.38,0.0,0.0,4549035
05/31/2019,6.3,6.3,6.22,6.44,0.0,0.0,2973660
05/30/2019,6.67,6.44,6.44,6.7132,0.0,0.0,2589191
05/29/2019,6.77,6.68,6.53,6.81,0.0,0.0,5399157
05/28/2019,7.18,6.78,6.73,7.19,0.0,0.0,4448085
05/24/2019,7.2,7.2,7.12,7.265,0.0,0.0,1835967
05/23/2019,7.12,7.15,7.06,7.21,0.0,0.0,2941193
05/22/2019,7.23,7.25,7.16,7.3,0.0,0.0,2175477
05/21/2019,7.15,7.27,7.14,7.33,0.0,0.0,2296179
05/20/2019,6.92,7.08,6.92,7.185,0.0,0.0,4288774
05/17/2019,7.18,7.06,7.04,7.35,0.0,0.0,6382510
05/16/2019,7.48,7.24,7.13,7.53,0.0,0.0,8652936
05/15/2019,7.16,7.55,7.07,7.645,0.0,0.0,12956500
05/14/2019,6.62,7.38,6.57,7.43,0.0,0.0,12972110
05/13/2019,6.25,6.63,6.2,6.67,0.0,0.0,9509381
05/10/2019,7.03,6.41,6.325,7.15,0.0,0.0,15133040
05/09/2019,6.46,6.67,6.115,6.88,0.0,0.0,18090570
05/08/2019,6.16,6.34,6.13,6.38,0.0,0.0,5783058
05/07/2019,6.15,6.2,6.09,6.32,0.0,0.0,4749746
05/06/2019,5.89,6.14,5.86,6.17,0.0,0.0,3389364
05/03/2019,5.92,6.03,5.775,6.03,0.0,0.0,4672306
05/02/2019,5.83,5.87,5.6,5.92,0.0,0.0,8016025
05/01/2019,5.91,5.86,5.86,5.985,0.0,0.0,10380540
04/30/2019,5.94,5.91,5.88,6.03,0.0,0.0,3558446
04/29/2019,6.04,5.98,5.93,6.145,0.0,0.0,2874106
04/26/2019,6.04,6.07,6.02,6.14,0.0,0.0,1597813
04/25/2019,6.25,6.05,6.025,6.29,0.0,0.0,2099844
04/24/2019,6.34,6.33,6.29,6.415,0.0,0.0,1250462
04/23/2019,6.37,6.36,6.24,6.4,0.0,0.0,2369798
04/22/2019,6.37,6.28,6.25,6.45,0.0,0.0,2303709
04/18/2019,6.4,6.38,6.305,6.47,0.0,0.0,2578996
04/17/2019,6.73,6.43,6.4,6.73,0.0,0.0,3109819
04/16/2019,6.71,6.71,6.62,6.75,0.0,0.0,1867840
