Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,7.88,8.18,7.85,8.2,0.0,0.0,10957
07/15/2019,7.5,7.95,7.5,8.0419,0.0,0.0,25806
07/12/2019,7.41,7.65,7.205,7.76,0.0,0.0,22082
07/11/2019,7.35,7.13,7.02,7.49,0.0,0.0,29714
07/10/2019,6.5,7.39,6.5,7.43,0.0,0.0,61757
07/09/2019,6.9299,6.56,6.46,6.9299,0.0,0.0,32578
07/08/2019,7.57,6.55,6.38,7.57,0.0,0.0,69074
07/05/2019,8,7.47,7.23,8.5,0.0,0.0,30956
07/03/2019,7.8,8,7.8,8.33,0.0,0.0,3895
07/02/2019,7.58,7.65,7.5,8.1817,0.0,0.0,12889
07/01/2019,7.03,7.63,7.03,8.1099,0.0,0.0,38840
06/28/2019,6.57,7.14,6.1,7.43,0.0,0.0,253711
06/27/2019,7,6.49,6.3,7.195,0.0,0.0,43114
06/26/2019,7.55,6.78,6.55,7.79,0.0,0.0,47391
06/25/2019,7.98,7.79,7.71,8.226,0.0,0.0,38545
06/24/2019,7.4309,7.84,7,7.8661,0.0,0.0,30703
06/21/2019,8.25,7.79,7.65,8.25,0.0,0.0,15996
06/20/2019,8.614,7.8,7.15,8.614,0.0,0.0,102082
06/19/2019,9,8.24,7.865,9.2511,0.0,0.0,118035
06/18/2019,9.8277,9.11,8.95,9.8277,0.0,0.0,33541
06/17/2019,9.59,9.18,8.965,9.7426,0.0,0.0,79326
06/14/2019,9.99,9.61,9.57,10.195,0.0,0.0,23902
06/13/2019,10.99,9.95,9.85,11.1,0.0,0.0,21037
06/12/2019,11.02,11.07,10.11,12.16,0.0,0.0,22916
06/11/2019,11.19,11.15,10.085,11.79,0.0,0.0,39879
06/10/2019,11.65,10.21,9.78,11.65,0.0,0.0,22565
06/07/2019,10.25,9.63,9.55,10.68,0.0,0.0,15477
06/06/2019,10.45,10.29,10.01,10.6737,0.0,0.0,10528
06/05/2019,9.98,10,9.71,10.75,0.0,0.0,23030
06/04/2019,9.64,9.99,8.7698,10.576,0.0,0.0,50287
06/03/2019,9.01,9.65,9.01,11.11,0.0,0.0,10185
05/31/2019,9.95,9.6,8.49,10.59,0.0,0.0,10500
05/30/2019,10.38,10.6,10.15,12.85,0.0,0.0,47729
05/29/2019,11.3,10.09,9.79,11.3,0.0,0.0,66659
05/28/2019,14.02,11,10.64,14.02,0.0,0.0,42238
05/24/2019,15,13.98,13.25,15.21,0.0,0.0,7315
05/23/2019,14.88,15.01,14.88,15.25,0.0,0.0,7275
05/22/2019,15.04,15.11,15.04,15.49,0.0,0.0,3092
05/21/2019,15.07,15.48,14.89,15.5,0.0,0.0,6146
05/20/2019,15.8,15,14.34,15.8,0.0,0.0,10400
05/17/2019,15.7,16.24,14.27,16.24,0.0,0.0,12131
05/16/2019,15.616,15.85,15.4,15.98,0.0,0.0,7240
05/15/2019,16.5,15.795,15.52,16.5,0.0,0.0,12981
05/14/2019,16.02,16.7,15.525,16.7,0.0,0.0,14169
05/13/2019,15.81,16.2,14.62,16.2,0.0,0.0,7022
05/10/2019,14.85,15.8,14.52,15.95,0.0,0.0,17850
05/09/2019,15.51,15.2,15,15.955,0.0,0.0,20265
05/08/2019,14.5,15.87,14.5,16.91,0.0,0.0,26271
05/07/2019,15.53,14.5,14.5,15.53,0.0,0.0,13836
05/06/2019,14.14,15.51,14,17.5,0.0,0.0,72680
05/03/2019,12.24,14.235,12.24,14.9999,0.0,0.0,50560
05/02/2019,11.902,12.33,11.85,12.485,0.0,0.0,34177
05/01/2019,11.69,11.97,11.6442,11.97,0.0,0.0,15690
04/30/2019,11.44,11.66,11.3,11.69,0.0,0.0,10145
04/29/2019,11.25,11.25,11.25,11.595,0.0,0.0,6081
04/26/2019,11.69,11.32,11.25,11.69,0.0,0.0,17397
04/25/2019,11.41,11.52,11.3,11.7,0.0,0.0,11330
04/24/2019,11.45,11.7,11.25,11.7,0.0,0.0,45475
04/23/2019,11.05,11.24,10.56,11.64,0.0,0.0,117980
04/22/2019,11.13,11.05,11.05,11.35,0.0,0.0,11454
04/18/2019,11.07,11.35,11.07,11.42,0.0,0.0,8111
04/17/2019,11.32,11.08,11.08,11.69,0.0,0.0,29853
04/16/2019,11.402,11.5,11.285,11.5,0.0,0.0,9756
