Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,10.56,10.56,10.56,10.56,0.0,0.0,00
07/15/2019,10.56,10.56,10.56,10.56,0.0,0.0,00
07/12/2019,10.56,10.56,10.56,10.56,0.0,0.0,1000
07/11/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
07/10/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
07/09/2019,10.5,10.5,10.5,10.5,0.0,0.0,300
07/08/2019,10.54,10.54,10.54,10.54,0.0,0.0,00
07/05/2019,10.54,10.54,10.54,10.54,0.0,0.0,00
07/03/2019,10.54,10.54,10.54,10.54,0.0,0.0,00
07/02/2019,10.54,10.54,10.54,10.54,0.0,0.0,00
07/01/2019,10.54,10.54,10.54,10.54,0.0,0.0,00
06/28/2019,10.54,10.54,10.54,10.54,0.0,0.0,473
06/27/2019,10.54,10.54,10.54,10.54,0.0,0.0,00
06/26/2019,10.54,10.54,10.54,10.54,0.0,0.0,00
06/25/2019,10.54,10.54,10.54,10.54,0.0,0.0,00
06/24/2019,10.54,10.54,10.54,10.54,0.0,0.0,00
06/21/2019,10.54,10.54,10.54,10.54,0.0,0.0,00
06/20/2019,10.54,10.54,10.54,10.54,0.0,0.0,00
06/19/2019,10.54,10.54,10.54,10.54,0.0,0.0,00
06/18/2019,10.54,10.54,10.54,10.54,0.0,0.0,00
06/17/2019,10.54,10.54,10.54,10.54,0.0,0.0,00
06/14/2019,10.54,10.54,10.54,10.54,0.0,0.0,00
06/13/2019,10.54,10.54,10.54,10.54,0.0,0.0,00
06/12/2019,10.54,10.54,10.54,10.54,0.0,0.0,00
06/11/2019,10.54,10.54,10.54,10.54,0.0,0.0,00
06/10/2019,10.54,10.54,10.54,10.54,0.0,0.0,00
06/07/2019,10.54,10.54,10.54,10.54,0.0,0.0,127
06/06/2019,10.5347,10.5347,10.5347,10.5347,0.0,0.0,00
06/05/2019,10.5347,10.5347,10.5347,10.5347,0.0,0.0,00
06/04/2019,10.5347,10.5347,10.5347,10.5347,0.0,0.0,00
06/03/2019,10.54,10.5347,10.5347,10.54,0.0,0.0,953
05/31/2019,10.55,10.55,10.55,10.55,0.0,0.0,00
05/30/2019,10.53,10.55,10.53,10.55,0.0,0.0,2000
05/29/2019,10.51,10.51,10.51,10.51,0.0,0.0,00
05/28/2019,10.51,10.51,10.51,10.51,0.0,0.0,1000
05/24/2019,10.47,10.47,10.47,10.47,0.0,0.0,00
05/23/2019,10.47,10.47,10.47,10.47,0.0,0.0,00
05/22/2019,10.47,10.47,10.47,10.47,0.0,0.0,00
05/21/2019,10.43,10.47,10.43,10.47,0.0,0.0,1600
05/20/2019,10.48,10.48,10.48,10.48,0.0,0.0,00
05/17/2019,10.48,10.48,10.48,10.48,0.0,0.0,00
05/16/2019,10.48,10.48,10.48,10.48,0.0,0.0,00
05/15/2019,10.48,10.48,10.48,10.48,0.0,0.0,00
05/14/2019,10.48,10.48,10.48,10.48,0.0,0.0,00
05/13/2019,10.48,10.48,10.48,10.48,0.0,0.0,00
05/10/2019,10.48,10.48,10.48,10.48,0.0,0.0,1000
05/09/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
05/08/2019,10.5,10.5,10.5,10.5,0.0,0.0,50000
05/07/2019,10.53,10.53,10.53,10.53,0.0,0.0,00
05/06/2019,10.53,10.53,10.53,10.53,0.0,0.0,00
05/03/2019,10.53,10.53,10.53,10.53,0.0,0.0,00
05/02/2019,10.53,10.53,10.53,10.53,0.0,0.0,00
05/01/2019,10.53,10.53,10.53,10.53,0.0,0.0,00
04/30/2019,10.53,10.53,10.53,10.53,0.0,0.0,3800
04/29/2019,10.49,10.49,10.49,10.49,0.0,0.0,700
04/26/2019,10.487,10.487,10.487,10.487,0.0,0.0,100
04/25/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
04/24/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
04/23/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
04/22/2019,10.5,10.5,10.5,10.5,0.0,0.0,1000
04/18/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
04/17/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
04/16/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
