Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,16.85,16.7,16.65,16.87,0.0,0.0,90559
07/15/2019,16.75,16.87,16.59,16.885,0.0,0.0,61350
07/12/2019,16.51,16.69,16.44,16.78,0.0,0.0,243635
07/11/2019,16.49,16.56,16.3,16.6,0.0,0.0,109600
07/10/2019,16.45,16.5,16.3169,16.54,0.0,0.0,93691
07/09/2019,16.35,16.39,16.23,16.42,0.0,0.0,161821
07/08/2019,16.53,16.47,16.38,16.7,0.0,0.0,61216
07/05/2019,16.53,16.68,16.41,16.71,0.0,0.0,47558
07/03/2019,16.7,16.73,16.63,16.79,0.0,0.0,32879
07/02/2019,16.91,16.63,16.51,16.91,0.0,0.0,58607
07/01/2019,16.87,16.91,16.66,16.92,0.0,0.0,65548
06/28/2019,16.54,16.79,16.52,16.9,0.0,0.0,304698
06/27/2019,16.49,16.51,16.25,16.6,0.0,0.0,101727
06/26/2019,16.41,16.57,16.33,16.67,0.0,0.0,82192
06/25/2019,16.57,16.34,16.2,16.65,0.0,0.0,99399
06/24/2019,16.83,16.5,16.44,16.88,0.0,0.0,115593
06/21/2019,17.09,16.8,16.8,17.09,0.0,0.0,117081
06/20/2019,17.46,17.17,17.14,17.46,0.0,0.0,57642
06/19/2019,17.2,17.3,17.12,17.39,0.0,0.0,102738
06/18/2019,17.27,17.18,17.15,17.47,0.0,0.0,158006
06/17/2019,17.29,17.14,16.99,17.41,0.0,0.0,341538
06/14/2019,17.21,17.29,17.08,17.54,0.0,0.0,305815
06/13/2019,17.33,17.19,17.02,17.4,0.0,0.0,177144
06/12/2019,17.3,17.22,17.05,17.3,0.0,0.0,78667
06/11/2019,17.36,17.25,17.11,17.38,0.0,0.0,144583
06/10/2019,17.17,17.25,16.97,17.26,0.0,0.0,84270
06/07/2019,16.32,16.98,16.2815,17,0.0,0.0,296648
06/06/2019,16.33,16.24,16.11,16.43,0.0,0.0,87096
06/05/2019,16.05,16.29,16.05,16.53,0.0,0.0,182113
06/04/2019,15.91,16.09,15.86,16.18,0.0,0.0,104259
06/03/2019,16.14,15.8,15.73,16.14,0.0,0.0,180543
05/31/2019,15.89,16.09,15.84,16.16,0.0,0.0,146790
05/30/2019,15.93,16.03,15.93,16.15,0.0,0.0,88468
05/29/2019,16.03,15.98,15.93,16.11,0.0,0.0,157074
05/28/2019,16.26,16.05,16.05,16.31,0.0,0.0,140699
05/24/2019,16.28,16.23,16.16,16.38,0.0,0.0,67207
05/23/2019,16.28,16.19,16.08,16.39,0.0,0.0,104002
05/22/2019,16.35,16.34,16.31,16.4899,0.0,0.0,117892
05/21/2019,16.16,16.35,16.16,16.47,0.0,0.0,163700
05/20/2019,16.13,16.15,16.1,16.38,0.0,0.0,165962
05/17/2019,16.28,16.18,16.18,16.64,0.0,0.0,145104
05/16/2019,16.4,16.49,16.34,16.565,0.0,0.0,253155
05/15/2019,16.11,16.3,16.07,16.41,0.0,0.0,84099
05/14/2019,16.14,16.18,16.075,16.3,0.0,0.0,132034
05/13/2019,16.1,16.12,15.96,16.27,0.0,0.0,92699
05/10/2019,16.16,16.26,15.93,16.37,0.0,0.0,97992
05/09/2019,16.48,16.15,15.95,16.5,0.0,0.0,195253
05/08/2019,15.56,16.6,15.56,17.26,0.0,0.0,445697
05/07/2019,15.71,15.55,15.515,15.85,0.0,0.0,110096
05/06/2019,15.5,15.84,15.375,15.94,0.0,0.0,97566
05/03/2019,15.58,15.6,15.54,15.77,0.0,0.0,122730
05/02/2019,15.48,15.54,15.35,15.73,0.0,0.0,62733
05/01/2019,15.39,15.5,15.32,15.645,0.0,0.0,102201
04/30/2019,15.42,15.35,15.32,15.53,0.0,0.0,156562
04/29/2019,15.47,15.43,15.39,15.63,0.0,0.0,82013
04/26/2019,15.4,15.47,15.37,15.49,0.0,0.0,87932
04/25/2019,15.47,15.34,15.16,15.72,0.0,0.0,75671
04/24/2019,15.49,15.46,15.43,15.67,0.0,0.0,167286
04/23/2019,15.3,15.5,15.3,15.7,0.0,0.0,71660
04/22/2019,15.23,15.29,15.19,15.38,0.0,0.0,89086
04/18/2019,15.24,15.29,15.2048,15.53,0.0,0.0,90432
04/17/2019,15.45,15.27,15.21,15.58,0.0,0.0,172734
04/16/2019,15.71,15.47,15.47,15.75,0.0,0.0,145114
