Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,1.56,1.605,1.5201,1.66,0.0,0.0,133778
07/15/2019,1.47,1.56,1.47,1.57,0.0,0.0,42092
07/12/2019,1.81,1.44,1.44,1.81,0.0,0.0,350430
07/11/2019,1.58,1.8101,1.58,1.85,0.0,0.0,48491
07/10/2019,1.57,1.58,1.57,1.61,0.0,0.0,145086
07/09/2019,1.63,1.57,1.48,1.69,0.0,0.0,87735
07/08/2019,1.64,1.63,1.5678,1.6922,0.0,0.0,12934
07/05/2019,1.71,1.63,1.5705,1.7201,0.0,0.0,229235
07/03/2019,1.62,1.71,1.6175,1.7215,0.0,0.0,74131
07/02/2019,1.64,1.62,1.55,1.66,0.0,0.0,119863
07/01/2019,1.64,1.65,1.58,1.65,0.0,0.0,35084
06/28/2019,1.597,1.7,1.53,1.85,0.0,0.0,380165
06/27/2019,1.44,1.5,1.43,1.57,0.0,0.0,162028
06/26/2019,1.4016,1.41,1.4016,1.4844,0.0,0.0,40916
06/25/2019,1.49,1.48,1.4305,1.5392,0.0,0.0,40621
06/24/2019,1.49,1.45,1.4,1.5,0.0,0.0,58788
06/21/2019,1.58,1.6,1.51,1.6255,0.0,0.0,18304
06/20/2019,1.35,1.6523,1.3314,1.77,0.0,0.0,233281
06/19/2019,1.2,1.35,1.2,1.48,0.0,0.0,382383
06/18/2019,1.1558,1.02,1.01,1.1558,0.0,0.0,26336
06/17/2019,1.005,1.125,0.995,1.1818,0.0,0.0,75544
06/14/2019,0.9,1.05,0.9,1.21,0.0,0.0,231344
06/13/2019,1.13,0.921,0.9156,1.13,0.0,0.0,3005
06/12/2019,1.03,0.9988,0.9,1.06,0.0,0.0,14103
06/11/2019,0.9,1.06,0.9,1.1745,0.0,0.0,105163
06/10/2019,0.82,0.8342,0.82,0.84,0.0,0.0,15331
06/07/2019,0.82,0.8204,0.82,0.8317,0.0,0.0,39781
06/06/2019,0.83,0.83,0.83,0.8301,0.0,0.0,33925
06/05/2019,0.85,0.85,0.85,0.85,0.0,0.0,5006
06/04/2019,0.8001,0.8715,0.8001,0.9101,0.0,0.0,85426
06/03/2019,0.8,0.8001,0.8,0.8001,0.0,0.0,600
05/31/2019,0.804,0.804,0.804,0.804,0.0,0.0,100
05/30/2019,0.845,0.82,0.82,0.9,0.0,0.0,4700
05/29/2019,0.85,0.88,0.79,0.88,0.0,0.0,5100
05/28/2019,0.8401,0.84,0.84,0.8401,0.0,0.0,20216
05/24/2019,0.81,0.84,0.8,0.84,0.0,0.0,21482
05/23/2019,0.8419,0.8758,0.84,0.8758,0.0,0.0,22120
05/22/2019,0.84,0.8401,0.839,0.87,0.0,0.0,52228
05/21/2019,0.84,0.84,0.77,0.84,0.0,0.0,16100
05/20/2019,0.86,0.8401,0.84,0.86,0.0,0.0,7700
05/17/2019,0.853,0.869,0.81,0.869,0.0,0.0,5904
05/16/2019,0.73,0.89,0.6,0.895,0.0,0.0,155767
05/15/2019,0.88,0.9,0.86,0.905,0.0,0.0,20324
05/14/2019,0.76,0.76,0.76,0.76,0.0,0.0,110
05/13/2019,0.796,0.796,0.796,0.796,0.0,0.0,3173
05/10/2019,0.89,0.88,0.8455,0.93,0.0,0.0,33156
05/09/2019,0.77,0.89,0.77,0.9,0.0,0.0,8030
05/08/2019,0.8262,0.75,0.75,0.9018,0.0,0.0,12722
05/07/2019,0.7538,0.7935,0.7538,0.7935,0.0,0.0,285
05/06/2019,0.87,0.87,0.87,0.87,0.0,0.0,00
05/03/2019,0.87,0.87,0.87,0.87,0.0,0.0,146
05/02/2019,0.96,0.96,0.87,0.96,0.0,0.0,2381
05/01/2019,0.9635,0.9635,0.9635,0.9635,0.0,0.0,00
04/30/2019,0.9635,0.9635,0.9635,0.9635,0.0,0.0,219
04/29/2019,1.12,0.9683,0.821,1.12,0.0,0.0,41407
04/26/2019,0.85,0.85,0.85,0.85,0.0,0.0,2001
04/25/2019,0.864,0.85,0.83,0.864,0.0,0.0,6266
04/24/2019,0.7964,0.8651,0.7502,0.92,0.0,0.0,7655
04/23/2019,0.8483,0.8,0.6967,0.85,0.0,0.0,15645
04/22/2019,0.893,0.893,0.893,0.893,0.0,0.0,00
04/18/2019,0.893,0.893,0.893,0.893,0.0,0.0,00
04/17/2019,0.893,0.893,0.893,0.893,0.0,0.0,00
04/16/2019,0.8901,0.893,0.8901,0.9,0.0,0.0,11372
