Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,192,194.9,192,195.8761,0.0,0.0,4058
07/15/2019,201.69,192.55,192,201.69,0.0,0.0,5979
07/12/2019,199.82,201.03,199.82,202.59,0.0,0.0,6040
07/11/2019,198.34,197,196.8,199.38,0.0,0.0,6502
07/10/2019,202.47,195.73,195.25,202.47,0.0,0.0,5933
07/09/2019,200.87,200.87,200.87,200.87,0.0,0.0,482
07/08/2019,204,201.36,201.36,205.48,0.0,0.0,6217
07/05/2019,202.87,202.3,201.25,206.27,0.0,0.0,11134
07/03/2019,194.55,200.8,194,201.55,0.0,0.0,15737
07/02/2019,198.5,193.84,193,198.5,0.0,0.0,7138
07/01/2019,202.51,199.11,197.15,202.51,0.0,0.0,2131
06/28/2019,197.95,198.01,197.05,203.63,0.0,0.0,24314
06/27/2019,194.767,197.36,193.31,197.36,0.0,0.0,6355
06/26/2019,191.39,194.44,191.39,194.5,0.0,0.0,7436
06/25/2019,188,190.78,186.9702,190.78,0.0,0.0,8403
06/24/2019,189,186.89,186.89,189.01,0.0,0.0,6087
06/21/2019,186.01,187.69,186.01,187.99,0.0,0.0,6598
06/20/2019,188.6,186.05,186.05,188.6,0.0,0.0,2190
06/19/2019,187.09,188,186.545,188,0.0,0.0,2847
06/18/2019,187.95,188.8,187.95,188.8,0.0,0.0,1342
06/17/2019,186,187.44,186,187.44,0.0,0.0,1777
06/14/2019,185.5,185.75,185.35,185.75,0.0,0.0,1810
06/13/2019,188,187,185.9081,188,0.0,0.0,1283
06/12/2019,189.35,187.1395,186.26,189.35,0.0,0.0,2108
06/11/2019,189.5,189,188.51,189.885,0.0,0.0,3129
06/10/2019,189.395,188.46,188.025,191,0.0,0.0,4037
06/07/2019,188.475,186.49,183.675,188.475,0.0,0.0,2258
06/06/2019,185.02,185.18,182.9919,187,0.0,0.0,7427
06/05/2019,184.58,187.69,182.91,187.69,0.0,0.0,1848
06/04/2019,185.7,183.7,183.7,186.17,0.0,0.0,2517
06/03/2019,180.6,182.85,180.6,186.87,0.0,0.0,3033
05/31/2019,180.5035,180.56,180.5035,183.2119,0.0,0.0,3658
05/30/2019,184.5,183.28,182.65,185.5,0.0,0.0,2705
05/29/2019,183.67,183.2,183.2,183.9,0.0,0.0,5413
05/28/2019,188.64,186.11,183.78,189.4,0.0,0.0,6182
05/24/2019,189.8,190,187.3,190.7,0.0,0.0,3792
05/23/2019,189.5,187.4,187,189.5,0.0,0.0,5507
05/22/2019,190.61,187.33,186.27,192.65,0.0,0.0,8986
05/21/2019,192.7,191.99,190.31,194.8,0.0,0.0,10295
05/20/2019,191.35,192.35,189.1,194.99,0.0,0.0,9171
05/17/2019,192.58,193.45,191,193.8,0.0,0.0,3674
05/16/2019,194.15,193.39,190.7859,196.5,0.0,0.0,9213
05/15/2019,194.6,193.95,192.51,194.6,0.0,0.0,6051
05/14/2019,191.5,194.23,191.49,197,0.0,0.0,13565
05/13/2019,192.5,190.43,190.29,192.5,0.0,0.0,7668
05/10/2019,190.0415,192.19,189.5045,192.49,0.0,0.0,5154
05/09/2019,188.34,188.5,185.8561,193,0.0,0.0,6973
05/08/2019,187.37,188.98,187.37,191.5,0.0,0.0,19427
05/07/2019,186.35,186.81,186.35,190.28,0.0,0.0,1276
05/06/2019,185.47,190.47,183.1,190.47,0.0,0.0,3224
05/03/2019,187.17,186.8,186.41,189.3,0.0,0.0,10577
05/02/2019,188,186.7,183.51,188.5,0.0,0.0,7408
05/01/2019,185.9,186.2,184.3,189.99,0.0,0.0,15369
04/30/2019,184.02,185.01,183.4,187,0.0,0.0,9419
04/29/2019,183,184.99,182.94,184.99,0.0,0.0,6085
04/26/2019,181.045,183,181.045,183,0.0,0.0,6575
04/25/2019,181.49,182.95,180,183.5,0.0,0.0,11538
04/24/2019,182.18,183.1,180.47,185.495,0.0,0.0,16814
04/23/2019,183.195,182.95,182.01,185.7,0.0,0.0,6305
04/22/2019,187,183.79,183.79,187,0.0,0.0,4660
04/18/2019,178.1,186.8,178.1,188.1,0.0,0.0,11690
04/17/2019,176.7,177.6,176.01,178.9,0.0,0.0,6366
04/16/2019,171.96,175.65,170.51,175.65,0.0,0.0,9345
