Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,18.39,18.1,18.06,18.4,0.0,0.0,127879
07/15/2019,18.6,18.4,18.34,18.67,0.0,0.0,150635
07/12/2019,18.27,18.5,18.27,18.79,0.0,0.0,123401
07/11/2019,18.23,18.2,18.0301,18.23,0.0,0.0,145175
07/10/2019,18.22,18.17,18.11,18.32,0.0,0.0,191932
07/09/2019,18.44,18.14,18.13,18.4786,0.0,0.0,111264
07/08/2019,18.85,18.46,18.41,19.07,0.0,0.0,163052
07/05/2019,19.14,18.95,18.63,19.18,0.0,0.0,370932
07/03/2019,19.48,19.21,19.125,19.48,0.0,0.0,72801
07/02/2019,19.49,19.42,19.23,19.67,0.0,0.0,252250
07/01/2019,19.5,19.45,19.2,19.63,0.0,0.0,172230
06/28/2019,18.93,19,18.77,19.19,0.0,0.0,151452
06/27/2019,19.05,18.8,18.72,19.05,0.0,0.0,151612
06/26/2019,18.62,18.95,18.56,19.03,0.0,0.0,155161
06/25/2019,18.67,18.43,18.41,18.975,0.0,0.0,121438
06/24/2019,19,18.73,18.56,19.03,0.0,0.0,83398
06/21/2019,18.81,18.86,18.785,19.11,0.0,0.0,523976
06/20/2019,18.74,18.9,18.68,18.97,0.0,0.0,107988
06/19/2019,18.96,18.47,18.44,19.03,0.0,0.0,236925
06/18/2019,18.41,18.84,18.37,19.1,0.0,0.0,204175
06/17/2019,17.95,18.33,17.95,18.47,0.0,0.0,131494
06/14/2019,18.09,17.95,17.91,18.23,0.0,0.0,274781
06/13/2019,18.35,18.45,17.92,18.46,0.0,0.0,177269
06/12/2019,18.33,18.22,18.03,18.33,0.0,0.0,257127
06/11/2019,19.05,18.45,18.4,19.17,0.0,0.0,328106
06/10/2019,19.16,18.69,18.6638,19.29,0.0,0.0,233843
06/07/2019,18.73,19.14,18.73,19.54,0.0,0.0,353402
06/06/2019,18.26,18.69,18.26,18.81,0.0,0.0,188749
06/05/2019,18.34,18.41,18.08,18.69,0.0,0.0,448860
06/04/2019,17.62,18.13,17.34,18.13,0.0,0.0,199245
06/03/2019,17.78,17.58,17.46,17.87,0.0,0.0,277801
05/31/2019,17.55,17.82,17.55,17.92,0.0,0.0,180542
05/30/2019,17.49,17.85,17.49,17.99,0.0,0.0,168326
05/29/2019,17.7,17.51,17.31,17.7,0.0,0.0,202623
05/28/2019,18.21,17.75,17.72,18.28,0.0,0.0,208386
05/24/2019,18.44,18.25,18.15,18.44,0.0,0.0,102837
05/23/2019,18.34,18.17,18.02,18.62,0.0,0.0,188526
05/22/2019,19,18.77,18.59,19,0.0,0.0,98898
05/21/2019,18.42,18.94,18.4,19.07,0.0,0.0,200411
05/20/2019,18.41,18.25,18.15,18.41,0.0,0.0,100124
05/17/2019,18.87,18.45,18.44,19,0.0,0.0,141541
05/16/2019,19.37,19.22,19.17,19.51,0.0,0.0,150109
05/15/2019,18.7,19.36,18.7,19.5,0.0,0.0,204481
05/14/2019,18.7,18.83,18.29,19.29,0.0,0.0,253476
05/13/2019,18.79,18.56,18.44,19.05,0.0,0.0,205246
05/10/2019,18.93,19.41,18.795,19.41,0.0,0.0,132009
05/09/2019,18.65,18.92,18.22,19,0.0,0.0,252581
05/08/2019,19.89,19,19,19.96,0.0,0.0,347608
05/07/2019,20.1,19.92,19.74,20.19,0.0,0.0,558073
05/06/2019,20.1,20.2,19.6,20.52,0.0,0.0,141448
05/03/2019,20.32,20.38,20.17,20.75,0.0,0.0,140147
05/02/2019,20.53,20.22,20.1,20.63,0.0,0.0,99483
05/01/2019,21.07,20.39,20.38,21.14,0.0,0.0,101133
04/30/2019,20.88,20.93,20.44,20.98,0.0,0.0,94803
04/29/2019,20.74,20.98,20.653,21.1,0.0,0.0,138514
04/26/2019,20.36,20.64,20.28,20.74,0.0,0.0,293060
04/25/2019,20.97,20.44,20.43,21.09,0.0,0.0,210596
04/24/2019,21.14,20.98,20.77,21.18,0.0,0.0,171189
04/23/2019,21.13,21.17,20.52,21.18,0.0,0.0,382955
04/22/2019,20.81,21.11,20.7075,21.11,0.0,0.0,212599
04/18/2019,20.54,20.95,20.17,21.24,0.0,0.0,787925
04/17/2019,21.1,20.43,20.07,21.15,0.0,0.0,1852940
04/16/2019,18.7,18.91,18.32,19.28,0.0,0.0,673570
