Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,0.21,0.2198,0.208,0.228,0.0,0.0,8815100
07/15/2019,0.201,0.2071,0.2,0.21,0.0,0.0,4905038
07/12/2019,0.204,0.2,0.2,0.206,0.0,0.0,3109285
07/11/2019,0.197,0.2028,0.196,0.2175,0.0,0.0,7892656
07/10/2019,0.2,0.198,0.195,0.205,0.0,0.0,4502829
07/09/2019,0.222,0.2064,0.2016,0.224,0.0,0.0,4514909
07/08/2019,0.2025,0.2129,0.1998,0.225,0.0,0.0,9525138
07/05/2019,0.197,0.1997,0.192,0.208,0.0,0.0,4708320
07/03/2019,0.19,0.1932,0.1875,0.1975,0.0,0.0,2757867
07/02/2019,0.2,0.1927,0.19,0.2,0.0,0.0,3182925
07/01/2019,0.1953,0.1975,0.193,0.205,0.0,0.0,3684134
06/28/2019,0.202,0.1912,0.1901,0.2036,0.0,0.0,5424586
06/27/2019,0.185,0.1872,0.183,0.19,0.0,0.0,5092097
06/26/2019,0.1945,0.1872,0.183,0.196,0.0,0.0,4000711
06/25/2019,0.2005,0.196,0.1918,0.22,0.0,0.0,7278530
06/24/2019,0.1837,0.1909,0.1775,0.195,0.0,0.0,8173999
06/21/2019,0.1896,0.1878,0.179,0.192,0.0,0.0,5666984
06/20/2019,0.208,0.196,0.19,0.21,0.0,0.0,8758447
06/19/2019,0.205,0.205,0.1917,0.2201,0.0,0.0,7215404
06/18/2019,0.21,0.2099,0.2032,0.22,0.0,0.0,11648360
06/17/2019,0.2879,0.239,0.2,0.2879,0.0,0.0,22377410
06/14/2019,0.31,0.299,0.285,0.3359,0.0,0.0,15123340
06/13/2019,0.2992,0.31,0.286,0.36,0.0,0.0,41070400
06/12/2019,0.236,0.3001,0.236,0.3159,0.0,0.0,56062220
06/11/2019,0.21,0.22,0.2042,0.2278,0.0,0.0,9657495
06/10/2019,0.195,0.1989,0.185,0.205,0.0,0.0,7594892
06/07/2019,0.18,0.1847,0.179,0.19,0.0,0.0,3766352
06/06/2019,0.179,0.18,0.176,0.1854,0.0,0.0,3076053
06/05/2019,0.179,0.18,0.175,0.186,0.0,0.0,3087545
06/04/2019,0.1857,0.1792,0.1756,0.188,0.0,0.0,3878870
06/03/2019,0.1995,0.1898,0.184,0.2,0.0,0.0,4285213
05/31/2019,0.173,0.1917,0.1725,0.215,0.0,0.0,20954410
05/30/2019,0.172,0.1711,0.168,0.175,0.0,0.0,3964817
05/29/2019,0.179,0.17,0.169,0.1799,0.0,0.0,2743402
05/28/2019,0.176,0.1731,0.1711,0.1809,0.0,0.0,1980768
05/24/2019,0.1724,0.171,0.168,0.175,0.0,0.0,2017225
05/23/2019,0.1725,0.1705,0.1675,0.175,0.0,0.0,2370977
05/22/2019,0.1749,0.176,0.17,0.177,0.0,0.0,2382272
05/21/2019,0.178,0.1771,0.171,0.1804,0.0,0.0,3060194
05/20/2019,0.178,0.1763,0.173,0.18,0.0,0.0,3611690
05/17/2019,0.18,0.1741,0.16,0.18,0.0,0.0,6847477
05/16/2019,0.19,0.184,0.18,0.1924,0.0,0.0,5984251
05/15/2019,0.194,0.1924,0.185,0.1945,0.0,0.0,5196746
05/14/2019,0.2,0.1925,0.1895,0.2,0.0,0.0,3488788
05/13/2019,0.205,0.193,0.187,0.21,0.0,0.0,6126529
05/10/2019,0.21,0.193,0.19,0.218,0.0,0.0,6473995
05/09/2019,0.195,0.207,0.1935,0.23,0.0,0.0,21084090
05/08/2019,0.197,0.195,0.185,0.197,0.0,0.0,4087535
05/07/2019,0.1927,0.1869,0.185,0.195,0.0,0.0,2636259
05/06/2019,0.19,0.1886,0.184,0.1995,0.0,0.0,4823016
05/03/2019,0.1826,0.1842,0.1799,0.19,0.0,0.0,3120710
05/02/2019,0.1879,0.1839,0.18,0.1879,0.0,0.0,4352350
05/01/2019,0.193,0.1875,0.186,0.195,0.0,0.0,3737848
04/30/2019,0.198,0.1893,0.185,0.199,0.0,0.0,6996313
04/29/2019,0.1778,0.19,0.17,0.208,0.0,0.0,17474490
04/26/2019,0.1801,0.1705,0.167,0.1801,0.0,0.0,5323429
04/25/2019,0.1815,0.1777,0.1725,0.1838,0.0,0.0,3803350
04/24/2019,0.1855,0.1834,0.1805,0.19,0.0,0.0,3328896
04/23/2019,0.183,0.186,0.181,0.191,0.0,0.0,4331540
04/22/2019,0.189,0.182,0.1806,0.192,0.0,0.0,4453113
04/18/2019,0.2,0.194,0.1885,0.21,0.0,0.0,5642039
04/17/2019,0.194,0.2001,0.181,0.21,0.0,0.0,7477072
04/16/2019,0.2037,0.192,0.191,0.205,0.0,0.0,9613197
