Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,81.28,79.58,79.49,82.685,0.0,0.0,62613
07/15/2019,80.88,81.15,80.53,84.15,0.0,0.0,99836
07/12/2019,82.86,80.77,79.7,82.86,0.0,0.0,60147
07/11/2019,82.91,82.81,81.79,83.68,0.0,0.0,85355
07/10/2019,81.37,82.8,80.92,82.98,0.0,0.0,64538
07/09/2019,80.45,80.88,79.3,81.44,0.0,0.0,57078
07/08/2019,80.66,80.48,79.44,81.06,0.0,0.0,52225
07/05/2019,82.52,81.18,80.42,83.19,0.0,0.0,99468
07/03/2019,82.72,83.06,82.03,83.49,0.0,0.0,27230
07/02/2019,84.07,82.6,81.38,84.74,0.0,0.0,67030
07/01/2019,85.77,84.08,83.69,85.77,0.0,0.0,63412
06/28/2019,83.5,85.17,81.4,85.715,0.0,0.0,153455
06/27/2019,82,83.82,81.85,84.55,0.0,0.0,78738
06/26/2019,82.05,82.07,80.48,82.6,0.0,0.0,86920
06/25/2019,83.74,82.08,80.81,85.105,0.0,0.0,118255
06/24/2019,83.85,84.06,82.62,84.88,0.0,0.0,90090
06/21/2019,83.11,83.83,76.3837,84.11,0.0,0.0,178773
06/20/2019,83.34,83.69,81.78,85.62,0.0,0.0,104378
06/19/2019,80.53,83.01,80.42,84.1,0.0,0.0,104122
06/18/2019,79,81.2,78.42,82.64,0.0,0.0,77576
06/17/2019,79.42,78.72,77.9,80.1,0.0,0.0,61872
06/14/2019,77.77,79.48,77.7,80.27,0.0,0.0,72728
06/13/2019,77.81,77.9,76.29,78.4,0.0,0.0,59138
06/12/2019,74.86,77.67,74.48,78.76,0.0,0.0,67439
06/11/2019,73.9,75.12,72.93,75.16,0.0,0.0,98156
06/10/2019,73.23,73.36,72.51,74.15,0.0,0.0,106377
06/07/2019,72.34,72.71,71.0334,73.58,0.0,0.0,126062
06/06/2019,72.84,71.87,71.02,72.89,0.0,0.0,63036
06/05/2019,73.04,72.88,72.33,73.84,0.0,0.0,126640
06/04/2019,71.25,72.56,69.86,72.89,0.0,0.0,230910
06/03/2019,70.01,70.76,69.42,71.88,0.0,0.0,83049
05/31/2019,71.91,70.1,68.74,71.91,0.0,0.0,98830
05/30/2019,74.36,72.75,72.21,75.45,0.0,0.0,101123
05/29/2019,75.71,74.6,73.52,76.19,0.0,0.0,64426
05/28/2019,75.47,76.12,74.98,76.55,0.0,0.0,39623
05/24/2019,74.5,74.8,73.92,76.58,0.0,0.0,60646
05/23/2019,77.36,74.1,73.65,78.84,0.0,0.0,99363
05/22/2019,78.49,78.69,77.27,79.58,0.0,0.0,46621
05/21/2019,78.35,78.57,77.62,79.97,0.0,0.0,55298
05/20/2019,77.76,77.84,76.42,78.27,0.0,0.0,51360
05/17/2019,77.48,78.13,77.48,80.34,0.0,0.0,65722
05/16/2019,80.3,78.4,77.09,81.6,0.0,0.0,100159
05/15/2019,78.37,80.02,77.66,80.58,0.0,0.0,58035
05/14/2019,77.26,78.84,76.67,79.02,0.0,0.0,81758
05/13/2019,77.41,77.58,76.3,80.05,0.0,0.0,69222
05/10/2019,80.24,78.89,76.5931,80.24,0.0,0.0,73114
05/09/2019,80.68,79.57,79.21,81.73,0.0,0.0,56572
05/08/2019,81.6,81.62,80.18,82.54,0.0,0.0,96792
05/07/2019,82.43,81.87,79.7,85.22,0.0,0.0,191300
05/06/2019,78.11,81.44,77.055,81.97,0.0,0.0,71885
05/03/2019,76.13,79.28,76.13,79.75,0.0,0.0,71531
05/02/2019,74.66,75.92,74.1703,76.48,0.0,0.0,82000
05/01/2019,77.52,74.06,73.72,78.22,0.0,0.0,137019
04/30/2019,78,77.66,76.77,78.12,0.0,0.0,65602
04/29/2019,76.89,77.83,76.03,78.5,0.0,0.0,112811
04/26/2019,76.62,76.85,75.68,77.44,0.0,0.0,78242
04/25/2019,75.48,77.02,74.85,77.5,0.0,0.0,256267
04/24/2019,76.28,75.59,73.69,78.21,0.0,0.0,129728
04/23/2019,74.64,76.11,73.81,77.26,0.0,0.0,84904
04/22/2019,74.12,74.64,73.69,74.93,0.0,0.0,80220
04/18/2019,73.32,74.44,72.565,76,0.0,0.0,78006
04/17/2019,74.93,73.4,71.5,75.86,0.0,0.0,91084
04/16/2019,76.1,74.66,74,76.46,0.0,0.0,64892
