Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,124.93,124.98,124.845,125.03,0.0,0.0,506440
07/15/2019,125.07,125.17,125.07,125.17,0.0,0.0,482384
07/12/2019,124.92,125.03,124.92,125.1,0.0,0.0,383697
07/11/2019,125.17,124.95,124.9,125.2,0.0,0.0,575509
07/10/2019,125.14,125.25,125.05,125.305,0.0,0.0,981816
07/09/2019,125.1,124.97,124.96,125.1,0.0,0.0,870914
07/08/2019,125.25,125.08,125.0632,125.3162,0.0,0.0,477922
07/05/2019,125.25,125.21,125.0399,125.25,0.0,0.0,501827
07/03/2019,125.73,125.73,125.71,125.81,0.0,0.0,431531
07/02/2019,125.51,125.66,125.46,125.7,0.0,0.0,494982
07/01/2019,125.52,125.44,125.2983,125.57,0.0,0.0,929732
06/28/2019,125.66,125.76,125.62,125.82,0.0,0.0,1500109
06/27/2019,125.64,125.73,125.57,125.7625,0.0,0.0,320948
06/26/2019,125.72,125.49,125.47,125.73,0.0,0.0,2129749
06/25/2019,125.81,125.88,125.71,125.97,0.0,0.0,482404
06/24/2019,125.61,125.74,125.59,125.7855,0.0,0.0,315267
06/21/2019,125.52,125.49,125.37,125.57,0.0,0.0,276805
06/20/2019,125.8,125.73,125.71,125.97,0.0,0.0,400672
06/19/2019,125.09,125.62,125.04,125.67,0.0,0.0,619073
06/18/2019,125.49,125.25,125.1966,125.51,0.0,0.0,691003
06/17/2019,125.21,125.17,125.09,125.23,0.0,0.0,189043
06/14/2019,125.12,125.2,125.1097,125.27,0.0,0.0,299157
06/13/2019,125.1,125.22,125.05,125.3185,0.0,0.0,408479
06/12/2019,124.88,124.99,124.86,125.035,0.0,0.0,274769
06/11/2019,124.69,124.75,124.65,124.8,0.0,0.0,462369
06/10/2019,124.9,124.76,124.75,124.9,0.0,0.0,391775
06/07/2019,125.3,125.13,125.03,125.31,0.0,0.0,310422
06/06/2019,124.98,124.86,124.81,125.1,0.0,0.0,404023
06/05/2019,125.11,124.98,124.919,125.225,0.0,0.0,773797
06/04/2019,124.79,124.87,124.665,124.98,0.0,0.0,622779
06/03/2019,124.86,125.11,124.7533,125.235,0.0,0.0,3724841
05/31/2019,124.58,124.9,124.54,124.95,0.0,0.0,2844539
05/30/2019,124.08,124.3,123.982,124.35,0.0,0.0,312877
05/29/2019,124.26,124.03,124.025,124.365,0.0,0.0,1057705
05/28/2019,123.95,124.08,123.8701,124.08,0.0,0.0,729360
05/24/2019,123.78,123.8,123.7038,123.81,0.0,0.0,248337
05/23/2019,123.55,123.84,123.55,123.97,0.0,0.0,767994
05/22/2019,123.25,123.38,123.24,123.395,0.0,0.0,359459
05/21/2019,123.2,123.11,123.08,123.22,0.0,0.0,321825
05/20/2019,123.39,123.25,123.24,123.45,0.0,0.0,376064
05/17/2019,123.55,123.42,123.3,123.56,0.0,0.0,375706
05/16/2019,123.33,123.39,123.26,123.41,0.0,0.0,285736
05/15/2019,123.58,123.52,123.41,123.62,0.0,0.0,703396
05/14/2019,123.28,123.26,123.18,123.3,0.0,0.0,300003
05/13/2019,123.29,123.32,123.2354,123.3951,0.0,0.0,922102
05/10/2019,122.98,122.88,122.8585,123.12,0.0,0.0,665770
05/09/2019,123,122.93,122.85,123.13,0.0,0.0,321006
05/08/2019,122.92,122.72,122.69,122.96,0.0,0.0,428312
05/07/2019,122.83,122.85,122.8001,122.92,0.0,0.0,599454
05/06/2019,122.75,122.64,122.63,122.7552,0.0,0.0,347149
05/03/2019,122.44,122.43,122.4,122.55,0.0,0.0,707800
05/02/2019,122.5,122.34,122.3101,122.51,0.0,0.0,652393
05/01/2019,122.69,122.55,122.5,123.04,0.0,0.0,745642
04/30/2019,122.7,122.91,122.68,122.94,0.0,0.0,671248
04/29/2019,122.73,122.73,122.68,122.7871,0.0,0.0,258215
04/26/2019,122.92,122.86,122.81,122.92,0.0,0.0,421579
04/25/2019,122.7,122.61,122.59,122.74,0.0,0.0,377227
04/24/2019,122.63,122.71,122.63,122.73,0.0,0.0,282304
04/23/2019,122.4,122.43,122.38,122.4662,0.0,0.0,556880
04/22/2019,122.34,122.27,122.24,122.34,0.0,0.0,4583608
04/18/2019,122.34,122.33,122.295,122.42,0.0,0.0,1905554
04/17/2019,122.11,122.18,122.11,122.24,0.0,0.0,407045
04/16/2019,122.22,122.12,122.1,122.25,0.0,0.0,484453
