Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,19.94,19.97,19.9205,20.1299,0.0,0.0,160030
07/15/2019,20.0317,19.95,19.93,20.0599,0.0,0.0,82528
07/12/2019,19.99,19.98,19.88,20.09,0.0,0.0,70991
07/11/2019,19.98,19.97,19.8866,20.0481,0.0,0.0,56329
07/10/2019,19.96,20.03,19.9067,20.0408,0.0,0.0,169340
07/09/2019,19.78,19.85,19.74,19.88,0.0,0.0,84570
07/08/2019,19.89,19.895,19.8101,19.9471,0.0,0.0,47296
07/05/2019,19.75,19.98,19.75,19.98,0.0,0.0,100470
07/03/2019,19.81,19.833,19.7895,19.92,0.0,0.0,32504
07/02/2019,19.8,19.77,19.7,19.8655,0.0,0.0,61648
07/01/2019,19.92,19.8,19.7005,19.9685,0.0,0.0,100215
06/28/2019,19.85,19.79,19.6806,19.85,0.0,0.0,144600
06/27/2019,19.56,19.67,19.47,19.69,0.0,0.0,134984
06/26/2019,19.61,19.5,19.5,19.65,0.0,0.0,49801
06/25/2019,19.72,19.45,19.45,19.7399,0.0,0.0,132476
06/24/2019,19.74,19.79,19.7,19.8074,0.0,0.0,35852
06/21/2019,19.68,19.78,19.2056,19.78,0.0,0.0,20630
06/20/2019,19.83,19.79,19.7101,19.86,0.0,0.0,84977
06/19/2019,19.39,19.55,19.315,19.55,0.0,0.0,43943
06/18/2019,19.23,19.36,19.23,19.3724,0.0,0.0,84152
06/17/2019,18.99,19.11,18.99,19.16,0.0,0.0,124285
06/14/2019,19.2,19,19,19.22,0.0,0.0,117890
06/13/2019,19.57,19.5108,19.49,19.6299,0.0,0.0,59622
06/12/2019,19.499,19.48,19.4601,19.61,0.0,0.0,70128
06/11/2019,19.54,19.64,19.5,19.6409,0.0,0.0,99235
06/10/2019,19.42,19.43,19.334,19.457,0.0,0.0,81215
06/07/2019,19.2401,19.43,19.2401,19.4887,0.0,0.0,93161
06/06/2019,19.21,19.27,19.12,19.27,0.0,0.0,94176
06/05/2019,19.35,19.21,19.13,19.368,0.0,0.0,48974
06/04/2019,19.16,19.29,19.082,19.32,0.0,0.0,66259
06/03/2019,18.99,19,18.89,19.0692,0.0,0.0,625663
05/31/2019,18.83,18.93,18.7329,18.9443,0.0,0.0,67675
05/30/2019,18.75,18.84,18.75,18.94,0.0,0.0,100313
05/29/2019,18.76,18.74,18.6582,18.7979,0.0,0.0,110413
05/28/2019,18.92,18.89,18.6972,18.9509,0.0,0.0,42722
05/24/2019,18.82,18.839,18.74,18.8769,0.0,0.0,106309
05/23/2019,18.65,18.68,18.51,18.7292,0.0,0.0,111398
05/22/2019,18.86,18.87,18.8001,18.9114,0.0,0.0,77063
05/21/2019,18.67,18.84,18.6072,18.84,0.0,0.0,66563
05/20/2019,18.48,18.58,18.4392,18.59,0.0,0.0,123916
05/17/2019,18.55,18.5,18.5,18.6928,0.0,0.0,35756
05/16/2019,18.73,18.79,18.73,18.87,0.0,0.0,411421
05/15/2019,18.54,18.72,18.48,18.8225,0.0,0.0,167384
05/14/2019,18.67,18.74,18.63,18.8,0.0,0.0,213434
05/13/2019,18.75,18.55,18.5001,18.75,0.0,0.0,65224
05/10/2019,19.04,19.155,18.84,19.1716,0.0,0.0,88786
05/09/2019,18.96,19.09,18.7601,19.09,0.0,0.0,171894
05/08/2019,19.2,19.26,19.1601,19.299,0.0,0.0,655401
05/07/2019,19.18,19.09,18.9807,19.3,0.0,0.0,168392
05/06/2019,19.14,19.34,19.1,19.435,0.0,0.0,86021
05/03/2019,19.61,19.64,19.46,19.64,0.0,0.0,137980
05/02/2019,19.47,19.43,19.3305,19.59,0.0,0.0,83185
05/01/2019,19.42,19.37,19.37,19.67,0.0,0.0,163708
04/30/2019,19.56,19.55,19.4,19.57,0.0,0.0,159619
04/29/2019,19.56,19.51,19.4401,19.5899,0.0,0.0,55053
04/26/2019,19.37,19.47,19.37,19.5299,0.0,0.0,93455
04/25/2019,19.33,19.44,19.2339,19.44,0.0,0.0,129870
04/24/2019,19.53,19.38,19.3,19.53,0.0,0.0,146570
04/23/2019,19.53,19.63,19.455,19.671,0.0,0.0,81706
04/22/2019,19.51,19.5493,19.48,19.598,0.0,0.0,48138
04/18/2019,19.5685,19.55,19.465,19.6295,0.0,0.0,143218
04/17/2019,19.67,19.5523,19.4907,19.672,0.0,0.0,102782
04/16/2019,19.63,19.605,19.57,19.7026,0.0,0.0,125887
