Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,3.9928,3.75,3.61,3.9928,0.0,0.0,4893
07/15/2019,3.75,3.7418,3.7418,3.9619,0.0,0.0,1651
07/12/2019,4.0205,3.5614,3.2681,4.1881,0.0,0.0,14003
07/11/2019,4.0564,3.85,3.85,4.1605,0.0,0.0,4868
07/10/2019,3.9,4.17,3.9,4.17,0.0,0.0,2609
07/09/2019,4.2,4.1807,3.85,4.6,0.0,0.0,5674
07/08/2019,4.59,4.2,4.2,4.6,0.0,0.0,5228
07/05/2019,4.2978,4.2918,4.2,4.3297,0.0,0.0,2759
07/03/2019,4.2,4.2,4.2,4.2,0.0,0.0,00
07/02/2019,4.2,4.2,4.2,4.38,0.0,0.0,4983
07/01/2019,4.229,4.4,4.2,4.4,0.0,0.0,7573
06/28/2019,4.14,3.99,3.9,4.14,0.0,0.0,2134
06/27/2019,4.09,3.92,3.8,4.275,0.0,0.0,1714
06/26/2019,3.8,3.8,3.8,3.9195,0.0,0.0,2325
06/25/2019,3.87,3.8019,3.8,4.032,0.0,0.0,9975
06/24/2019,4.35,4.1309,3.8,4.35,0.0,0.0,15802
06/21/2019,4.55,4.03,4.03,4.55,0.0,0.0,15603
06/20/2019,4.61,4.57,4.32,4.61,0.0,0.0,11943
06/19/2019,4.8,4.7,4.2501,5,0.0,0.0,22373
06/18/2019,5.076,4.98,4.8,5.1,0.0,0.0,3499
06/17/2019,4.958,5,4.81,5.15,0.0,0.0,39904
06/14/2019,4.422,4.75,4.422,4.76,0.0,0.0,4193
06/13/2019,4.9,4.72,4.63,5,0.0,0.0,16477
06/12/2019,4.4,4.84,4.4,5.067,0.0,0.0,11513
06/11/2019,4.7,4.42,4.4001,4.9369,0.0,0.0,15805
06/10/2019,4.6177,4.7,4.6048,4.9899,0.0,0.0,2545
06/07/2019,4.99,4.82,4.623,5.37,0.0,0.0,11096
06/06/2019,5.4,4.9,4.876,5.425,0.0,0.0,4762
06/05/2019,4.79,4.79,4.67,5.5,0.0,0.0,26561
06/04/2019,4.8769,4.943,4.7164,4.9894,0.0,0.0,3541
06/03/2019,4.54,4.76,4.54,5.02,0.0,0.0,2829
05/31/2019,5.02,4.93,4.5103,5.02,0.0,0.0,5501
05/30/2019,4.8,4.9685,4.5392,5.0199,0.0,0.0,6593
05/29/2019,4.8,4.8114,4.4,5.5,0.0,0.0,74897
05/28/2019,4.6,4.7,4.31,5.19,0.0,0.0,52409
05/24/2019,4.2,4.0502,4.0502,4.3287,0.0,0.0,7250
05/23/2019,4.2985,4.03,4.03,4.3369,0.0,0.0,1387
05/22/2019,4.2699,4.2699,4.2699,4.2699,0.0,0.0,00
05/21/2019,4.3318,4.2699,4.0301,4.3318,0.0,0.0,2225
05/20/2019,4.4,4.36,4.0042,4.4,0.0,0.0,927
05/17/2019,4.282,4.21,4.16,4.282,0.0,0.0,2014
05/16/2019,4.4998,4.2197,4.03,4.5,0.0,0.0,6687
05/15/2019,4.12,4.3353,4.0378,4.42,0.0,0.0,15097
05/14/2019,3.9257,3.9377,3.9257,3.9377,0.0,0.0,602
05/13/2019,3.7,3.98,3.6,4.0199,0.0,0.0,19092
05/10/2019,3.94,3.947,3.94,3.947,0.0,0.0,552
05/09/2019,4.042,3.9851,3.95,4.06,0.0,0.0,2861
05/08/2019,4,4.02,3.9,4.02,0.0,0.0,5086
05/07/2019,4.15,4.0567,3.99,4.2328,0.0,0.0,17755
05/06/2019,4.115,4.0986,4.0986,4.1872,0.0,0.0,3268
05/03/2019,4.1,4.268,4.065,4.268,0.0,0.0,3453
05/02/2019,4.09,4.1619,4,4.2189,0.0,0.0,8701
05/01/2019,4.3252,4.3273,4.0211,4.3273,0.0,0.0,1334
04/30/2019,4.09,4.38,4.0703,4.51,0.0,0.0,11830
04/29/2019,4.32,4.02,4,4.4861,0.0,0.0,18580
04/26/2019,4.25,4.4484,4.25,4.65,0.0,0.0,18765
04/25/2019,4.42,4.62,4.42,4.7368,0.0,0.0,20374
04/24/2019,4.3016,4.3992,4.2715,4.3992,0.0,0.0,686
04/23/2019,4,4.3395,4,4.3986,0.0,0.0,4996
04/22/2019,4.34,4.27,3.96,4.3576,0.0,0.0,13336
04/18/2019,4.03,4.15,3.7701,4.2845,0.0,0.0,15953
04/17/2019,4.6085,3.76,3.76,4.9899,0.0,0.0,55729
04/16/2019,4.67,4.235,3.6501,4.6784,0.0,0.0,51955
