Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,0.4987,0.4987,0.4987,0.4987,0.0,0.0,00
07/15/2019,0.5,0.4987,0.4987,0.5,0.0,0.0,4870
07/12/2019,0.2701,0.75,0.2701,0.75,0.0,0.0,3655
07/11/2019,0.627,0.73,0.6172,0.81,0.0,0.0,5896
07/10/2019,0.22,0.22,0.22,0.22,0.0,0.0,00
07/09/2019,0.22,0.22,0.22,0.22,0.0,0.0,00
07/08/2019,0.22,0.22,0.22,0.22,0.0,0.0,00
07/05/2019,0.22,0.22,0.22,0.22,0.0,0.0,00
07/03/2019,0.22,0.22,0.22,0.22,0.0,0.0,00
07/02/2019,0.22,0.22,0.22,0.22,0.0,0.0,00
07/01/2019,0.22,0.22,0.22,0.22,0.0,0.0,00
06/28/2019,0.22,0.22,0.22,0.22,0.0,0.0,00
06/27/2019,0.22,0.22,0.22,0.22,0.0,0.0,130
06/26/2019,0.71,0.842,0.71,0.842,0.0,0.0,200
06/25/2019,0.73,0.73,0.73,0.73,0.0,0.0,00
06/24/2019,0.73,0.73,0.73,0.73,0.0,0.0,00
06/21/2019,0.73,0.73,0.73,0.73,0.0,0.0,00
06/20/2019,0.73,0.73,0.72,0.73,0.0,0.0,530
06/19/2019,0.7414,0.7414,0.7414,0.7414,0.0,0.0,00
06/18/2019,0.7414,0.7414,0.7414,0.7414,0.0,0.0,2400
06/17/2019,0.89,0.89,0.89,0.89,0.0,0.0,00
06/14/2019,0.71,0.89,0.71,0.92,0.0,0.0,852
06/13/2019,0.9,0.9,0.8991,0.9005,0.0,0.0,7654
06/12/2019,0.9,0.9,0.9,0.9,0.0,0.0,00
06/11/2019,0.9,0.9,0.9,0.9,0.0,0.0,00
06/10/2019,0.9,0.9,0.9,0.9,0.0,0.0,3000
06/07/2019,0.9,0.9,0.9,0.95,0.0,0.0,3100
06/06/2019,0.71,0.83,0.71,1,0.0,0.0,7936
06/05/2019,0.85,0.85,0.85,0.85,0.0,0.0,1000
06/04/2019,0.8589,0.8589,0.8589,0.8589,0.0,0.0,500
06/03/2019,0.9,0.9,0.9,0.9,0.0,0.0,10000
05/31/2019,0.8685,0.87,0.8685,0.87,0.0,0.0,9500
05/30/2019,0.9101,0.797,0.71,0.9101,0.0,0.0,18536
05/29/2019,0.55,0.87,0.55,0.9001,0.0,0.0,91261
05/28/2019,0.57,0.57,0.57,0.57,0.0,0.0,582
05/24/2019,0.56,0.56,0.56,0.56,0.0,0.0,00
05/23/2019,0.56,0.56,0.56,0.56,0.0,0.0,00
05/22/2019,0.56,0.56,0.56,0.56,0.0,0.0,00
05/21/2019,0.56,0.56,0.56,0.56,0.0,0.0,00
05/20/2019,0.56,0.56,0.56,0.56,0.0,0.0,00
05/17/2019,0.56,0.56,0.56,0.56,0.0,0.0,00
05/16/2019,0.56,0.56,0.56,0.56,0.0,0.0,00
05/15/2019,0.2027,0.56,0.2027,0.5876,0.0,0.0,7117
05/14/2019,0.6,0.6,0.6,0.6,0.0,0.0,00
05/13/2019,0.6,0.6,0.6,0.6,0.0,0.0,00
05/10/2019,0.6,0.6,0.6,0.6,0.0,0.0,00
05/09/2019,0.6,0.6,0.6,0.6,0.0,0.0,00
05/08/2019,0.6,0.6,0.6,0.6,0.0,0.0,00
05/07/2019,0.6,0.6,0.6,0.6,0.0,0.0,2000
05/06/2019,0.6601,0.6601,0.6601,0.6601,0.0,0.0,00
05/03/2019,0.6601,0.6601,0.6601,0.6601,0.0,0.0,00
05/02/2019,0.6601,0.6601,0.6601,0.6601,0.0,0.0,00
05/01/2019,0.6601,0.6601,0.6601,0.6601,0.0,0.0,00
04/30/2019,0.6601,0.6601,0.6601,0.6601,0.0,0.0,00
04/29/2019,0.6601,0.6601,0.6601,0.6601,0.0,0.0,00
04/26/2019,0.6601,0.6601,0.6601,0.6601,0.0,0.0,210
04/25/2019,0.88,0.88,0.88,0.88,0.0,0.0,238
04/24/2019,0.6601,0.66,0.66,0.6601,0.0,0.0,4000
04/23/2019,0.6502,0.6502,0.6502,0.6502,0.0,0.0,00
04/22/2019,0.6501,0.6502,0.6501,0.6502,0.0,0.0,3654
04/18/2019,0.7002,0.7001,0.7001,0.7002,0.0,0.0,1346
04/17/2019,0.781,0.781,0.781,0.781,0.0,0.0,00
04/16/2019,0.781,0.781,0.781,0.781,0.0,0.0,00
