Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,38.26,38.1,38.015,38.26,0.0,0.0,414511
07/15/2019,38,37.95,37.95,38.07,0.0,0.0,99893
07/12/2019,37.95,37.91,37.87,37.95,0.0,0.0,197156
07/11/2019,38.01,37.94,37.9,38.15,0.0,0.0,124371
07/10/2019,38.02,37.9,37.835,38.08,0.0,0.0,255079
07/09/2019,37.83,38,37.83,38,0.0,0.0,248730
07/08/2019,38.01,37.92,37.83,38.1,0.0,0.0,93751
07/05/2019,38.85,38.65,38.3967,38.85,0.0,0.0,51409
07/03/2019,38.85,38.93,38.85,38.97,0.0,0.0,94946
07/02/2019,38.78,38.85,38.78,38.92,0.0,0.0,175874
07/01/2019,38.76,38.75,38.67,38.858,0.0,0.0,78830
06/28/2019,38.48,38.39,38.37,38.48,0.0,0.0,102780
06/27/2019,38.63,38.6,38.4225,38.69,0.0,0.0,379749
06/26/2019,38.47,38.56,38.45,38.6,0.0,0.0,181198
06/25/2019,38.27,38.11,38.11,38.3589,0.0,0.0,237419
06/24/2019,38.05,38.06,37.92,38.08,0.0,0.0,260345
06/21/2019,38.01,38.01,37.821,38.03,0.0,0.0,154388
06/20/2019,38.47,38.28,38.2,38.7,0.0,0.0,3213118
06/19/2019,37.97,38.12,37.84,38.19,0.0,0.0,124380
06/18/2019,37.89,38.11,37.86,38.1976,0.0,0.0,148851
06/17/2019,37.7,37.79,37.61,37.79,0.0,0.0,92470
06/14/2019,38.39,38.2,38.18,38.5,0.0,0.0,100254
06/13/2019,38.79,38.61,38.56,38.79,0.0,0.0,68882
06/12/2019,38.92,38.78,38.75,38.92,0.0,0.0,79544
06/11/2019,39.09,38.96,38.95,39.1,0.0,0.0,100365
06/10/2019,38.84,38.9,38.71,38.93,0.0,0.0,399563
06/07/2019,38.88,38.85,38.8,39.09,0.0,0.0,171230
06/06/2019,38.91,38.76,38.64,38.91,0.0,0.0,129885
06/05/2019,39.48,39.17,39.03,39.48,0.0,0.0,85964
06/04/2019,39.39,39.38,39.0473,39.39,0.0,0.0,153796
06/03/2019,39.35,39.47,39.35,39.53,0.0,0.0,225692
05/31/2019,38.72,39.12,38.54,39.12,0.0,0.0,103810
05/30/2019,38.59,38.8634,38.57,38.8634,0.0,0.0,194413
05/29/2019,38.44,38.5,38.2043,38.57,0.0,0.0,135682
05/28/2019,38.75,38.83,38.7,38.95,0.0,0.0,281377
05/24/2019,38.64,38.59,38.53,38.71,0.0,0.0,169750
05/23/2019,37.88,38.03,37.7402,38.11,0.0,0.0,505524
05/22/2019,38.25,38.25,38.15,38.3,0.0,0.0,241177
05/21/2019,38.13,38.21,37.89,38.2475,0.0,0.0,205237
05/20/2019,38.49,38.4,38.22,38.49,0.0,0.0,700946
05/17/2019,36.68,36.74,36.68,36.93,0.0,0.0,280327
05/16/2019,36.42,36.55,36.4107,36.62,0.0,0.0,6916054
05/15/2019,36,36.02,35.7939,36.06,0.0,0.0,106698
05/14/2019,35.91,36.22,35.9,36.25,0.0,0.0,100335
05/13/2019,35.66,35.39,35.34,35.66,0.0,0.0,212646
05/10/2019,36.3,36.42,36.1,36.42,0.0,0.0,98981
05/09/2019,36.29,36.26,35.94,36.34,0.0,0.0,130052
05/08/2019,36.73,36.65,36.59,36.83,0.0,0.0,30544
05/07/2019,37.41,36.94,36.84,37.41,0.0,0.0,331168
05/06/2019,37.83,37.97,37.71,37.97,0.0,0.0,42278
05/03/2019,38.4,38.43,38.2,38.4732,0.0,0.0,110316
05/02/2019,38.14,38.07,37.95,38.16,0.0,0.0,130143
05/01/2019,38.2,38.07,38.04,38.37,0.0,0.0,47117
04/30/2019,38.17,38.2,37.9423,38.2,0.0,0.0,64345
04/29/2019,38.12,38.12,38.09,38.19,0.0,0.0,133905
04/26/2019,37.79,38.1,37.79,38.1505,0.0,0.0,124445
04/25/2019,37.55,37.61,37.38,37.61,0.0,0.0,71199
04/24/2019,38,37.75,37.67,38,0.0,0.0,77547
04/23/2019,37.73,37.61,37.59,37.74,0.0,0.0,75094
04/22/2019,37.75,37.74,37.5,37.75,0.0,0.0,77664
04/18/2019,38.25,38.41,38.25,38.465,0.0,0.0,44579
04/17/2019,38.68,38.53,38.45,38.68,0.0,0.0,86253
04/16/2019,38.28,38.39,38.28,38.44,0.0,0.0,94366
