Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,1.64,1.65,1.64,1.67,0.0,0.0,30987
07/15/2019,1.66,1.69,1.61,1.69,0.0,0.0,35475
07/12/2019,1.68,1.65,1.65,1.6868,0.0,0.0,42541
07/11/2019,1.68,1.7,1.66,1.7,0.0,0.0,20397
07/10/2019,1.65,1.69,1.65,1.75,0.0,0.0,30521
07/09/2019,1.71,1.66,1.65,1.7398,0.0,0.0,54589
07/08/2019,1.75,1.72,1.67,1.75,0.0,0.0,32158
07/05/2019,1.67,1.73,1.65,1.73,0.0,0.0,33362
07/03/2019,1.74,1.68,1.66,1.76,0.0,0.0,72316
07/02/2019,1.76,1.75,1.74,1.8,0.0,0.0,72260
07/01/2019,1.77,1.75,1.75,1.8,0.0,0.0,95283
06/28/2019,1.78,1.8,1.67,1.8,0.0,0.0,251653
06/27/2019,1.74,1.74,1.69,1.75,0.0,0.0,128221
06/26/2019,1.68,1.68,1.61,1.71,0.0,0.0,64716
06/25/2019,1.61,1.685,1.59,1.74,0.0,0.0,196553
06/24/2019,1.6,1.62,1.56,1.62,0.0,0.0,189544
06/21/2019,1.56,1.6,1.5506,1.62,0.0,0.0,92293
06/20/2019,1.57,1.59,1.51,1.62,0.0,0.0,49947
06/19/2019,1.62,1.58,1.57,1.62,0.0,0.0,28020
06/18/2019,1.55,1.59,1.5001,1.62,0.0,0.0,141746
06/17/2019,1.58,1.6,1.5645,1.63,0.0,0.0,31121
06/14/2019,1.59,1.6,1.5414,1.61,0.0,0.0,46583
06/13/2019,1.59,1.6,1.55,1.62,0.0,0.0,90433
06/12/2019,1.57,1.6,1.55,1.6,0.0,0.0,52214
06/11/2019,1.61,1.6,1.5335,1.61,0.0,0.0,28646
06/10/2019,1.58,1.61,1.58,1.62,0.0,0.0,47612
06/07/2019,1.61,1.57,1.5,1.63,0.0,0.0,101762
06/06/2019,1.61,1.59,1.56,1.67,0.0,0.0,130005
06/05/2019,1.6,1.59,1.57,1.65,0.0,0.0,26386
06/04/2019,1.66,1.58,1.55,1.67,0.0,0.0,101712
06/03/2019,1.65,1.64,1.55,1.67,0.0,0.0,97151
05/31/2019,1.52,1.65,1.5,1.68,0.0,0.0,154500
05/30/2019,1.52,1.54,1.47,1.57,0.0,0.0,193135
05/29/2019,1.45,1.52,1.4,1.54,0.0,0.0,204142
05/28/2019,1.45,1.46,1.42,1.49,0.0,0.0,56291
05/24/2019,1.46,1.43,1.4,1.48,0.0,0.0,73908
05/23/2019,1.47,1.46,1.41,1.48,0.0,0.0,38374
05/22/2019,1.46,1.48,1.46,1.49,0.0,0.0,30289
05/21/2019,1.47,1.46,1.4148,1.485,0.0,0.0,46967
05/20/2019,1.4472,1.47,1.4401,1.48,0.0,0.0,26916
05/17/2019,1.45,1.47,1.44,1.49,0.0,0.0,37518
05/16/2019,1.46,1.48,1.45,1.5327,0.0,0.0,27691
05/15/2019,1.42,1.45,1.41,1.51,0.0,0.0,109498
05/14/2019,1.44,1.43,1.4,1.45,0.0,0.0,68936
05/13/2019,1.42,1.44,1.4,1.47,0.0,0.0,53508
05/10/2019,1.47,1.47,1.42,1.52,0.0,0.0,120543
05/09/2019,1.45,1.47,1.45,1.5218,0.0,0.0,121154
05/08/2019,1.61,1.5,1.5,1.6387,0.0,0.0,320412
05/07/2019,1.67,1.7,1.64,1.73,0.0,0.0,64707
05/06/2019,1.67,1.71,1.63,1.7778,0.0,0.0,106599
05/03/2019,1.63,1.71,1.61,1.75,0.0,0.0,99328
05/02/2019,1.65,1.65,1.62,1.67,0.0,0.0,42063
05/01/2019,1.65,1.65,1.61,1.67,0.0,0.0,40268
04/30/2019,1.67,1.66,1.61,1.68,0.0,0.0,33232
04/29/2019,1.61,1.67,1.57,1.72,0.0,0.0,170345
04/26/2019,1.55,1.62,1.53,1.63,0.0,0.0,79014
04/25/2019,1.55,1.55,1.53,1.58,0.0,0.0,46092
04/24/2019,1.57,1.55,1.53,1.58,0.0,0.0,38932
04/23/2019,1.52,1.57,1.52,1.58,0.0,0.0,64440
04/22/2019,1.56,1.51,1.49,1.57,0.0,0.0,105774
04/18/2019,1.55,1.57,1.4825,1.58,0.0,0.0,132522
04/17/2019,1.63,1.56,1.55,1.66,0.0,0.0,116108
04/16/2019,1.65,1.63,1.61,1.66,0.0,0.0,80953
