Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,1.07,1.1,1.04,1.14,0.0,0.0,21570
07/15/2019,1.23,1.08,1.04,1.23,0.0,0.0,74495
07/12/2019,0.94,1.11,0.922,1.1663,0.0,0.0,179133
07/11/2019,0.925,0.92,0.92,0.94,0.0,0.0,7329
07/10/2019,0.92,0.92,0.92,0.94,0.0,0.0,9619
07/09/2019,0.93,0.92,0.9146,0.93,0.0,0.0,7338
07/08/2019,0.98,0.93,0.91,0.98,0.0,0.0,19157
07/05/2019,0.98,0.95,0.95,0.98,0.0,0.0,23457
07/03/2019,0.92,0.98,0.92,0.98,0.0,0.0,883
07/02/2019,0.93,0.94,0.91,0.96,0.0,0.0,32782
07/01/2019,0.92,0.94,0.88,0.94,0.0,0.0,14837
06/28/2019,0.93,0.9,0.9,0.978,0.0,0.0,71826
06/27/2019,0.96,0.921,0.921,0.96,0.0,0.0,16995
06/26/2019,0.9991,0.94,0.94,0.9991,0.0,0.0,24071
06/25/2019,0.999,0.9673,0.96,0.999,0.0,0.0,13863
06/24/2019,0.9602,0.9698,0.96,1,0.0,0.0,27900
06/21/2019,0.9999,0.99,0.96,0.9999,0.0,0.0,8612
06/20/2019,0.975,0.99,0.96,0.99,0.0,0.0,20519
06/19/2019,0.96,0.99,0.9551,0.99,0.0,0.0,5645
06/18/2019,0.98,0.945,0.945,1,0.0,0.0,25798
06/17/2019,0.96,0.98,0.96,1,0.0,0.0,3267
06/14/2019,0.9861,0.98,0.98,0.9979,0.0,0.0,3240
06/13/2019,0.98,0.9953,0.96,0.998,0.0,0.0,25893
06/12/2019,1,0.98,0.98,1.02,0.0,0.0,22314
06/11/2019,0.952,0.95,0.95,0.977,0.0,0.0,14291
06/10/2019,0.979,0.952,0.952,0.9876,0.0,0.0,4032
06/07/2019,0.98,0.9932,0.95,1,0.0,0.0,9436
06/06/2019,1.01,1,0.9924,1.01,0.0,0.0,400
06/05/2019,1,0.9975,0.97,1.01,0.0,0.0,12726
06/04/2019,0.95,1.01,0.95,1.01,0.0,0.0,11548
06/03/2019,1.01,1.01,0.95,1.01,0.0,0.0,13856
05/31/2019,0.9905,0.99,0.99,1.0199,0.0,0.0,3421
05/30/2019,0.992,1.01,0.992,1.019,0.0,0.0,3196
05/29/2019,1,1.01,0.982,1.01,0.0,0.0,11922
05/28/2019,1.01,1.01,1.01,1.02,0.0,0.0,11292
05/24/2019,1.03,1.01,1.01,1.03,0.0,0.0,3105
05/23/2019,1.0299,1.02,1,1.03,0.0,0.0,46578
05/22/2019,1.01,1.0136,1.01,1.04,0.0,0.0,30768
05/21/2019,1.03,1.01,1.01,1.03,0.0,0.0,5746
05/20/2019,1.03,1.02,1.02,1.0473,0.0,0.0,10115
05/17/2019,1.01,1.05,1.01,1.05,0.0,0.0,3781
05/16/2019,1.0399,1.05,1.0399,1.05,0.0,0.0,1494
05/15/2019,1.01,1.03,1,1.04,0.0,0.0,6455
05/14/2019,1,1.01,0.9813,1.0299,0.0,0.0,31498
05/13/2019,1.05,1.005,1,1.05,0.0,0.0,30409
05/10/2019,1.1,1.05,1.02,1.1,0.0,0.0,62314
05/09/2019,1.14,1.14,1.1372,1.1425,0.0,0.0,1982
05/08/2019,1.14,1.16,1.1256,1.16,0.0,0.0,11208
05/07/2019,1.12,1.16,1.12,1.16,0.0,0.0,1102
05/06/2019,1.14,1.12,1.12,1.14,0.0,0.0,8686
05/03/2019,1.1543,1.1595,1.15,1.17,0.0,0.0,9417
05/02/2019,1.13,1.12,1.12,1.15,0.0,0.0,16131
05/01/2019,1.18,1.14,1.13,1.18,0.0,0.0,22195
04/30/2019,1.15,1.15,1.12,1.18,0.0,0.0,28312
04/29/2019,1.14,1.16,1.125,1.16,0.0,0.0,33110
04/26/2019,1.2,1.15,1.13,1.2,0.0,0.0,55120
04/25/2019,1.2,1.18,1.16,1.2,0.0,0.0,16123
04/24/2019,1.1801,1.17,1.1401,1.2,0.0,0.0,40642
04/23/2019,1.22,1.19,1.18,1.25,0.0,0.0,33475
04/22/2019,1.27,1.22,1.2,1.27,0.0,0.0,37567
04/18/2019,1.27,1.27,1.27,1.28,0.0,0.0,16064
04/17/2019,1.27,1.26,1.26,1.28,0.0,0.0,7296
04/16/2019,1.26,1.26,1.26,1.28,0.0,0.0,3859
