Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,0.46,0.45,0.44,0.47,0.0,0.0,807525
07/15/2019,0.525,0.4687,0.4231,0.54,0.0,0.0,1768806
07/12/2019,0.551,0.516,0.51,0.555,0.0,0.0,1388457
07/11/2019,0.58,0.545,0.52,0.58,0.0,0.0,4430002
07/10/2019,0.556,0.6,0.541,0.8057,0.0,0.0,22291680
07/09/2019,0.529,0.5189,0.51,0.535,0.0,0.0,1364698
07/08/2019,0.5444,0.5127,0.51,0.5444,0.0,0.0,582952
07/05/2019,0.5289,0.525,0.5085,0.537,0.0,0.0,368132
07/03/2019,0.512,0.5198,0.505,0.5299,0.0,0.0,423823
07/02/2019,0.58,0.5459,0.51,0.58,0.0,0.0,1039973
07/01/2019,0.639,0.58,0.5515,0.639,0.0,0.0,2012364
06/28/2019,0.65,0.6337,0.62,0.66,0.0,0.0,550283
06/27/2019,0.63,0.6451,0.61,0.679,0.0,0.0,1576757
06/26/2019,0.61,0.6353,0.574,0.698,0.0,0.0,1829012
06/25/2019,0.612,0.59,0.57,0.612,0.0,0.0,525982
06/24/2019,0.612,0.6171,0.6,0.64,0.0,0.0,629317
06/21/2019,0.6254,0.6199,0.5955,0.652,0.0,0.0,842684
06/20/2019,0.63,0.6257,0.61,0.6402,0.0,0.0,206361
06/19/2019,0.65,0.6275,0.6095,0.66,0.0,0.0,456563
06/18/2019,0.615,0.6367,0.603,0.67,0.0,0.0,449955
06/17/2019,0.6503,0.615,0.615,0.6503,0.0,0.0,154501
06/14/2019,0.644,0.6357,0.6202,0.65,0.0,0.0,108872
06/13/2019,0.605,0.6495,0.605,0.6572,0.0,0.0,116771
06/12/2019,0.66,0.6323,0.6029,0.6885,0.0,0.0,213184
06/11/2019,0.6062,0.6403,0.5856,0.69,0.0,0.0,892984
06/10/2019,0.625,0.5951,0.57,0.631,0.0,0.0,825767
06/07/2019,0.6405,0.6249,0.6031,0.6407,0.0,0.0,192441
06/06/2019,0.6954,0.6449,0.6,0.6954,0.0,0.0,361027
06/05/2019,0.7,0.68,0.675,0.7,0.0,0.0,184548
06/04/2019,0.7,0.69,0.673,0.705,0.0,0.0,220693
06/03/2019,0.7294,0.6835,0.6701,0.7299,0.0,0.0,209220
05/31/2019,0.735,0.7,0.6811,0.761,0.0,0.0,465550
05/30/2019,0.7917,0.73,0.73,0.7917,0.0,0.0,300106
05/29/2019,0.8,0.759,0.745,0.8472,0.0,0.0,494478
05/28/2019,0.82,0.83,0.77,0.85,0.0,0.0,446429
05/24/2019,0.762,0.83,0.75,0.85,0.0,0.0,387328
05/23/2019,0.8,0.761,0.73,0.81,0.0,0.0,568284
05/22/2019,0.9,0.8146,0.7618,0.9491,0.0,0.0,2415312
05/21/2019,0.82,0.7893,0.752,0.82,0.0,0.0,167755
05/20/2019,0.7611,0.8,0.7376,0.82,0.0,0.0,325209
05/17/2019,0.77,0.763,0.7575,0.7828,0.0,0.0,98413
05/16/2019,0.819,0.77,0.77,0.8196,0.0,0.0,128665
05/15/2019,0.77,0.7971,0.76,0.82,0.0,0.0,287209
05/14/2019,0.7997,0.8002,0.7513,0.8199,0.0,0.0,432383
05/13/2019,0.756,0.7375,0.7078,0.79,0.0,0.0,853902
05/10/2019,0.76,0.7508,0.7338,0.763,0.0,0.0,234520
05/09/2019,0.7635,0.7445,0.73,0.7649,0.0,0.0,191585
05/08/2019,0.78,0.7621,0.74,0.7999,0.0,0.0,338434
05/07/2019,0.8067,0.7769,0.77,0.81,0.0,0.0,240174
05/06/2019,0.7701,0.7854,0.7701,0.82,0.0,0.0,343069
05/03/2019,0.781,0.799,0.779,0.8,0.0,0.0,320107
05/02/2019,0.8051,0.8,0.7651,0.82,0.0,0.0,396422
05/01/2019,0.7984,0.83,0.7891,0.831,0.0,0.0,344648
04/30/2019,0.8454,0.7956,0.77,0.8454,0.0,0.0,494797
04/29/2019,0.81,0.8248,0.81,0.89,0.0,0.0,403847
04/26/2019,0.9,0.82,0.6937,0.9121,0.0,0.0,1300916
04/25/2019,0.945,0.8999,0.88,0.98,0.0,0.0,807087
04/24/2019,0.881,0.93,0.863,1.05,0.0,0.0,2963365
04/23/2019,0.8761,0.8989,0.87,0.91,0.0,0.0,357899
04/22/2019,0.93,0.888,0.88,0.93,0.0,0.0,331270
04/18/2019,0.8777,0.9282,0.85,0.97,0.0,0.0,479479
04/17/2019,0.89,0.8783,0.84,0.906,0.0,0.0,458756
04/16/2019,0.93,0.9069,0.87,0.9441,0.0,0.0,728729
