Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,281.5,280.88,280.65,282.95,0.0,0.0,1155959
07/15/2019,282,282.55,280,282.76,0.0,0.0,990786
07/12/2019,278.41,281.65,278.23,281.84,0.0,0.0,1199733
07/11/2019,275.95,278.22,274.17,278.8,0.0,0.0,1867353
07/10/2019,273.06,274.81,272.7,275.92,0.0,0.0,1132190
07/09/2019,269.92,270.68,268.86,270.87,0.0,0.0,1135629
07/08/2019,269.46,271.13,267.79,271.31,0.0,0.0,863841
07/05/2019,269,270.54,265.2,270.83,0.0,0.0,895216
07/03/2019,267.9,270.17,265.77,270.77,0.0,0.0,774657
07/02/2019,265.16,266.33,262.7,266.36,0.0,0.0,720167
07/01/2019,266.03,264.2,263.37,266.98,0.0,0.0,978036
06/28/2019,258.1,261.33,257.75,262.01,0.0,0.0,1479175
06/27/2019,257.66,257.99,256.11,259.2,0.0,0.0,1459590
06/26/2019,259.29,256.5,256.38,260.49,0.0,0.0,1293461
06/25/2019,262.7,257.49,256.655,262.7,0.0,0.0,1015403
06/24/2019,263.07,262.34,261.37,264.12,0.0,0.0,1188560
06/21/2019,267.84,261.51,261.47,268.07,0.0,0.0,1856866
06/20/2019,265.8,266.66,263.99,268.43,0.0,0.0,1750592
06/19/2019,259.29,262.65,258.05,263.385,0.0,0.0,1032761
06/18/2019,257.31,258.22,256.145,259.35,0.0,0.0,1216295
06/17/2019,254.03,254.74,253.35,256.24,0.0,0.0,1282387
06/14/2019,256.37,254.13,253.95,257.34,0.0,0.0,1234221
06/13/2019,258.81,257.19,255.98,259.395,0.0,0.0,1756323
06/12/2019,256.72,257.39,255.64,258.8,0.0,0.0,825863
06/11/2019,262.8,256.73,254.95,264,0.0,0.0,1209395
06/10/2019,259.86,260.52,259.23,263.97,0.0,0.0,1157411
06/07/2019,254.03,257.47,253.81,260.6,0.0,0.0,1222003
06/06/2019,252.84,253.2,250.11,254.38,0.0,0.0,1055600
06/05/2019,249.41,252.12,248.31,252.4799,0.0,0.0,1130208
06/04/2019,241.05,247.1,237.78,247.31,0.0,0.0,1664347
06/03/2019,245.2,238.07,236.75,248.5581,0.0,0.0,1638609
05/31/2019,245.2,244.85,243.59,246.66,0.0,0.0,1361988
05/30/2019,250,248.08,245.86,251.49,0.0,0.0,1154681
05/29/2019,253.96,249.62,248.58,255.57,0.0,0.0,1675209
05/28/2019,256.4,255.7,254.17,259.26,0.0,0.0,3059705
05/24/2019,251.24,257.48,248.6501,258.4,0.0,0.0,2702983
05/23/2019,245.08,241.31,240.14,246.6435,0.0,0.0,1552149
05/22/2019,244.82,247.53,244.82,248.1,0.0,0.0,865698
05/21/2019,245.76,246.08,244.05,247.135,0.0,0.0,979635
05/20/2019,242.67,243.69,240.6321,245.32,0.0,0.0,957407
05/17/2019,245.6,245.45,245.13,249.76,0.0,0.0,1294008
05/16/2019,244,247.55,244,249.41,0.0,0.0,1044505
05/15/2019,239.56,243.14,239.04,244.39,0.0,0.0,985618
05/14/2019,238.41,240.99,238.1,243.35,0.0,0.0,1704767
05/13/2019,237.94,236.93,236.03,241.11,0.0,0.0,1256416
05/10/2019,240.56,244.63,237.66,245.6,0.0,0.0,1407865
05/09/2019,241.79,241.3,237.719,243.12,0.0,0.0,1646342
05/08/2019,243.42,244.12,241.92,245.95,0.0,0.0,2088914
05/07/2019,245,244.41,241.61,247.025,0.0,0.0,1439471
05/06/2019,244.01,248.48,243.53,248.94,0.0,0.0,854920
05/03/2019,246.11,248.86,246.04,250.18,0.0,0.0,1202928
05/02/2019,243.6,245.95,243.1104,247.9,0.0,0.0,1463373
05/01/2019,252.49,243.85,243.5748,252.67,0.0,0.0,1372102
04/30/2019,248.38,251.06,247.68,251.71,0.0,0.0,1459831
04/29/2019,252.77,247.73,246.09,255.2,0.0,0.0,2381307
04/26/2019,246.42,253.58,238.295,253.86,0.0,0.0,5409620
04/25/2019,264.01,263.84,260.44,264.39,0.0,0.0,982973
04/24/2019,266.41,264.04,263.86,267.34,0.0,0.0,994634
04/23/2019,262.02,265.68,262.02,266.42,0.0,0.0,1504667
04/22/2019,256.11,261.59,255.83,261.76,0.0,0.0,1045367
04/18/2019,258.22,257.77,254.6,258.22,0.0,0.0,1333745
04/17/2019,259.72,256.27,255.15,260.05,0.0,0.0,1752976
04/16/2019,261.8,257.99,256.14,262.11,0.0,0.0,1043407
