Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,68.05,67.61,67.03,69,0.0,0.0,984454
07/15/2019,65.86,67.86,65.5,68.5,0.0,0.0,1087011
07/12/2019,65.3,65.52,64.75,65.9,0.0,0.0,946635
07/11/2019,65.49,65.45,63.95,65.63,0.0,0.0,807960
07/10/2019,65.74,65.2,64.44,66.4,0.0,0.0,919435
07/09/2019,63.9,65.59,63.87,66.39,0.0,0.0,914353
07/08/2019,64.32,64.02,63.21,64.9,0.0,0.0,779805
07/05/2019,65.48,64.57,63.9,65.69,0.0,0.0,742276
07/03/2019,66.29,65.56,64.54,66.4659,0.0,0.0,972655
07/02/2019,65.07,66.01,64.995,67.07,0.0,0.0,1304857
07/01/2019,65.35,64.8,64.4,66.145,0.0,0.0,1037514
06/28/2019,64.73,64.27,64.04,65.25,0.0,0.0,1936144
06/27/2019,63.58,64.69,63,65.1304,0.0,0.0,797021
06/26/2019,64.47,63.59,62.82,65.61,0.0,0.0,875357
06/25/2019,64.23,64.46,63.6176,65.23,0.0,0.0,659199
06/24/2019,64.51,63.84,62.67,64.665,0.0,0.0,827981
06/21/2019,64.87,64.33,63.9,64.88,0.0,0.0,1191049
06/20/2019,66.22,64.92,63.83,66.22,0.0,0.0,1042927
06/19/2019,65.05,65.24,64.63,65.66,0.0,0.0,806448
06/18/2019,65,64.9,64.12,65.43,0.0,0.0,844560
06/17/2019,62.47,64.73,62.46,65.06,0.0,0.0,1133488
06/14/2019,63.7,62.09,62.05,63.87,0.0,0.0,902546
06/13/2019,64.85,63.88,63.57,65.29,0.0,0.0,848755
06/12/2019,63.76,64.44,63.33,64.9,0.0,0.0,1121685
06/11/2019,64.34,63.36,62.66,64.4014,0.0,0.0,1144593
06/10/2019,63.85,63.9,63.4775,64.85,0.0,0.0,1015866
06/07/2019,63.73,63.68,61.91,63.8,0.0,0.0,1034104
06/06/2019,66.16,63.49,63.34,66.39,0.0,0.0,1083050
06/05/2019,66.12,66.27,65.48,66.41,0.0,0.0,736669
06/04/2019,65.63,65.57,63.7,65.71,0.0,0.0,1592348
06/03/2019,66.02,64.91,64.25,66.505,0.0,0.0,1563202
05/31/2019,64.32,65.6,64.04,66.67,0.0,0.0,1506063
05/30/2019,64.65,64.72,63.76,65.68,0.0,0.0,1076653
05/29/2019,64.64,64.42,63.52,65.35,0.0,0.0,1390529
05/28/2019,64.97,65.04,63.56,65.74,0.0,0.0,8094383
05/24/2019,67.63,64.72,63.8,68.74,0.0,0.0,2588017
05/23/2019,68.27,67.14,66.21,68.62,0.0,0.0,1265558
05/22/2019,69.32,68.56,67.5,69.66,0.0,0.0,1236153
05/21/2019,68.13,69.24,67.57,69.78,0.0,0.0,1022715
05/20/2019,66.85,67.46,66.46,68.115,0.0,0.0,1092484
05/17/2019,67.04,67.4,66.9675,68.85,0.0,0.0,1013423
05/16/2019,66.93,67.78,66.7,68.7,0.0,0.0,988262
05/15/2019,66.44,66.55,66.0473,68.26,0.0,0.0,1163552
05/14/2019,67.05,66.74,66.31,67.85,0.0,0.0,1687320
05/13/2019,67.29,66.55,66.09,67.86,0.0,0.0,1425172
05/10/2019,67.19,69.28,67,69.91,0.0,0.0,1401315
05/09/2019,68,67.36,66.18,69.91,0.0,0.0,2001604
05/08/2019,63.97,68.65,63.195,69.64,0.0,0.0,5360908
05/07/2019,72.19,67.62,67.1,72.53,0.0,0.0,2450493
05/06/2019,72.42,72.74,71.97,73.6,0.0,0.0,1153472
05/03/2019,73.22,73.46,72.2,73.73,0.0,0.0,1177674
05/02/2019,73.42,72.21,71.12,73.79,0.0,0.0,1577639
05/01/2019,74.37,73.57,73.23,74.81,0.0,0.0,720273
04/30/2019,74.34,74.33,72.81,75,0.0,0.0,935393
04/29/2019,74.7,74.38,73.67,75.14,0.0,0.0,880169
04/26/2019,74.04,74.73,72.41,74.99,0.0,0.0,956705
04/25/2019,73.8,73.86,72.41,74.44,0.0,0.0,1008017
04/24/2019,75.02,73.33,72.4529,75.1,0.0,0.0,1665422
04/23/2019,72.91,75,72.66,75.11,0.0,0.0,1110233
04/22/2019,73.75,72.64,71.67,75.63,0.0,0.0,1130168
04/18/2019,72.53,72.99,70.87,74,0.0,0.0,2181791
04/17/2019,78.965,72.67,70.81,79,0.0,0.0,3767680
04/16/2019,84.22,83.28,82.79,85.45,0.0,0.0,1196304
