Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,2.3718,2.3718,2.3718,2.3718,0.0,0.0,173
07/15/2019,2.61,2.61,2.61,2.63,0.0,0.0,1693
07/12/2019,2.67,2.61,2.61,2.6714,0.0,0.0,1699
07/11/2019,2.44,2.55,2.44,2.59,0.0,0.0,1226
07/10/2019,2.36,2.3216,2.317,2.64,0.0,0.0,2840
07/09/2019,2.44,2.43,2.38,2.44,0.0,0.0,3987
07/08/2019,2.21,2.21,2.21,2.21,0.0,0.0,00
07/05/2019,2.21,2.21,2.21,2.21,0.0,0.0,600
07/03/2019,2.18,2.18,2.18,2.18,0.0,0.0,175
07/02/2019,2.25,2.21,2.2,2.3,0.0,0.0,818
07/01/2019,2.5,2.24,2.24,2.5,0.0,0.0,488
06/28/2019,2.5083,2.5083,2.5083,2.5083,0.0,0.0,00
06/27/2019,2.65,2.5083,2.35,2.65,0.0,0.0,1467
06/26/2019,2.37,2.64,2.37,2.86,0.0,0.0,14608
06/25/2019,2.36,2.37,2.35,2.37,0.0,0.0,1505
06/24/2019,2.1,2.1,2.1,2.1,0.0,0.0,2337
06/21/2019,2.25,2.1,2.1,2.25,0.0,0.0,555
06/20/2019,2.33,2.045,1.93,2.33,0.0,0.0,1367
06/19/2019,2.21,2.22,2.004,2.8054,0.0,0.0,16959
06/18/2019,1.93,2.06,1.83,3.02,0.0,0.0,59016
06/17/2019,1.7534,1.7534,1.7534,1.7534,0.0,0.0,725
06/14/2019,1.64,1.64,1.64,1.64,0.0,0.0,440
06/13/2019,1.734,1.72,1.6917,1.734,0.0,0.0,983
06/12/2019,1.88,1.84,1.61,1.88,0.0,0.0,3831
06/11/2019,1.89,1.8889,1.8875,1.89,0.0,0.0,481
06/10/2019,1.86,1.89,1.86,1.8975,0.0,0.0,4088
06/07/2019,2.15,2.16,2.13,2.16,0.0,0.0,1798
06/06/2019,2.42,2.25,2.09,2.42,0.0,0.0,10443
06/05/2019,2.47,2.39,2.35,2.47,0.0,0.0,2459
06/04/2019,2.88,2.44,2.36,2.88,0.0,0.0,35444
06/03/2019,2.82,2.82,2.62,2.86,0.0,0.0,12079
05/31/2019,2.85,2.84,2.6214,2.85,0.0,0.0,3486
05/30/2019,2.64,2.86,2.64,2.9479,0.0,0.0,4694
05/29/2019,2.8569,2.64,2.59,2.8569,0.0,0.0,55667
05/28/2019,3.15,3.05,2.87,3.16,0.0,0.0,11065
05/24/2019,3.03,3.25,2.84,3.3733,0.0,0.0,13500
05/23/2019,3.02,3.04,2.8257,3.04,0.0,0.0,922
05/22/2019,3.02,3.04,2.93,3.04,0.0,0.0,2423
05/21/2019,3.058,3.04,2.82,3.058,0.0,0.0,12336
05/20/2019,3.1,3.115,2.7135,3.119,0.0,0.0,26673
05/17/2019,3.14,3.15,3.08,3.15,0.0,0.0,10546
05/16/2019,3.14,3.19,3.14,3.2,0.0,0.0,1500
05/15/2019,3.2,3.18,3.18,3.2,0.0,0.0,643
05/14/2019,3.42,3.16,3.15,3.42,0.0,0.0,4939
05/13/2019,3.19,3.14,3.14,3.2975,0.0,0.0,4805
05/10/2019,3.26,3.32,3.206,3.32,0.0,0.0,1734
05/09/2019,3.26,3.36,3.22,3.36,0.0,0.0,613
05/08/2019,3.3,3.35,3.3,3.35,0.0,0.0,1371
05/07/2019,3.37,3.37,3.25,3.38,0.0,0.0,1205
05/06/2019,3.49,3.41,3.41,3.49,0.0,0.0,19293
05/03/2019,3.15,3.4,3.15,3.4,0.0,0.0,15937
05/02/2019,3.3499,3.293,3.2697,3.35,0.0,0.0,4670
05/01/2019,3.5,3.3473,3.3075,3.56,0.0,0.0,4321
04/30/2019,3.42,3.44,3.38,3.45,0.0,0.0,42065
04/29/2019,3.47,3.44,3.36,3.47,0.0,0.0,4575
04/26/2019,3.36,3.4373,3.28,3.4373,0.0,0.0,6857
04/25/2019,3.27,3.2,3.2,3.278,0.0,0.0,6456
04/24/2019,3.4,3.39,3.28,3.4277,0.0,0.0,9875
04/23/2019,3.38,3.48,3.3558,3.515,0.0,0.0,6044
04/22/2019,3.51,3.435,3.4,3.6,0.0,0.0,9625
04/18/2019,3.64,3.5242,3.45,3.72,0.0,0.0,15620
04/17/2019,3.6,3.47,3.1,3.6229,0.0,0.0,29150
04/16/2019,3.49,3.37,3.1875,4.2,0.0,0.0,187386
