Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,91.26,91.44,90.42,92.24,0.0,0.0,412293
07/15/2019,91.35,91.26,90.68,92.48,0.0,0.0,430116
07/12/2019,90.5,90.82,89.42,91.35,0.0,0.0,518002
07/11/2019,91.12,90.29,89.85,91.83,0.0,0.0,336478
07/10/2019,90,90.73,89.4,91.33,0.0,0.0,668999
07/09/2019,88.95,89.57,88.06,90.46,0.0,0.0,559977
07/08/2019,90.16,89.02,87.51,90.16,0.0,0.0,671001
07/05/2019,92.12,90.31,89.8,94.3,0.0,0.0,656322
07/03/2019,89.76,91.29,88.52,91.75,0.0,0.0,344068
07/02/2019,90.89,89.48,87.92,91.205,0.0,0.0,671487
07/01/2019,93.95,91.33,90.9,96.1,0.0,0.0,588338
06/28/2019,91.16,91.64,90.54,92.55,0.0,0.0,629102
06/27/2019,90.46,90.52,89.79,91.42,0.0,0.0,355607
06/26/2019,91.13,90.21,89.52,91.23,0.0,0.0,356469
06/25/2019,91.52,90.58,89.675,91.52,0.0,0.0,446670
06/24/2019,92.07,90.9,90.56,92.66,0.0,0.0,406827
06/21/2019,91.82,92.22,90.01,92.88,0.0,0.0,1122860
06/20/2019,94.25,92.14,91.141,96.58,0.0,0.0,538620
06/19/2019,91.78,93,91.36,93.36,0.0,0.0,299613
06/18/2019,90.45,91.71,90.225,92.89,0.0,0.0,616378
06/17/2019,88.81,89.4,88.25,90.59,0.0,0.0,422822
06/14/2019,90,88.5,88.18,90,0.0,0.0,348315
06/13/2019,89.36,90.06,89.36,92.88,0.0,0.0,641187
06/12/2019,89.77,89.37,87.73,90.31,0.0,0.0,383333
06/11/2019,90.57,89.7,88.5,91.2,0.0,0.0,320970
06/10/2019,91.97,90.12,89.51,92.71,0.0,0.0,538228
06/07/2019,90,91.62,89.7,92.4,0.0,0.0,601309
06/06/2019,88.85,89.66,87.57,90.05,0.0,0.0,361728
06/05/2019,90.95,88.81,86.79,91.21,0.0,0.0,383624
06/04/2019,87.81,89.87,87.515,90.12,0.0,0.0,439576
06/03/2019,86.75,86.84,86,87.85,0.0,0.0,355335
05/31/2019,87.48,87.11,86.295,87.96,0.0,0.0,522411
05/30/2019,88.21,88.76,87.83,89.52,0.0,0.0,333626
05/29/2019,89.26,88.28,87.57,89.7705,0.0,0.0,765388
05/28/2019,89.07,89.47,88.76,91,0.0,0.0,483265
05/24/2019,89.6,88.73,88.57,91,0.0,0.0,314604
05/23/2019,91,88.71,87.74,91.88,0.0,0.0,687492
05/22/2019,90.88,92.4,90.88,92.77,0.0,0.0,427077
05/21/2019,90.51,91.64,90.51,92.345,0.0,0.0,376237
05/20/2019,88.11,90.12,87.12,90.77,0.0,0.0,575865
05/17/2019,92.74,89.45,89.2256,93.2153,0.0,0.0,671902
05/16/2019,93.34,93.71,92.53,94.88,0.0,0.0,663049
05/15/2019,91.4,92.7,90.84,93.3,0.0,0.0,465752
05/14/2019,92.5,91.8,90.89,93.49,0.0,0.0,542076
05/13/2019,92.2,91.7,89.06,92.2,0.0,0.0,1166019
05/10/2019,96.19,94.8,93.7,96.8904,0.0,0.0,838174
05/09/2019,96.05,96.53,92.31,97.12,0.0,0.0,835469
05/08/2019,98.62,96.85,96.65,99.5,0.0,0.0,839433
05/07/2019,99.99,98.73,96.8,100.92,0.0,0.0,1085044
05/06/2019,101.43,100.46,99.66,102.5,0.0,0.0,1110743
05/03/2019,104.4,104.88,102.82,105.07,0.0,0.0,704130
05/02/2019,102.57,103.86,100.69,104.56,0.0,0.0,703957
05/01/2019,103.06,102.54,101.23,103.56,0.0,0.0,754896
04/30/2019,102.58,103.54,100.59,103.57,0.0,0.0,1067188
04/29/2019,101.6,101.95,100.72,104.66,0.0,0.0,1437089
04/26/2019,99.3,100.04,96.5,100.4516,0.0,0.0,1385733
04/25/2019,101.6,98.87,98.15,104,0.0,0.0,2715864
04/24/2019,109.21,100.42,100.25,109.25,0.0,0.0,8774839
04/23/2019,129.46,130.57,127.6,132.2999,0.0,0.0,1739434
04/22/2019,129,128.73,124.6,129.05,0.0,0.0,844994
04/18/2019,129.47,128.82,127.74,130.64,0.0,0.0,448174
04/17/2019,130.45,129.16,127.54,130.9,0.0,0.0,440541
04/16/2019,128.1,129.68,127.6626,131.35,0.0,0.0,453671
