Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,18,18.11,17.81,18.4,0.0,0.0,217685
07/15/2019,17.66,18.16,16.68,18.2,0.0,0.0,449207
07/12/2019,18.24,18.06,17.64,18.35,0.0,0.0,88398
07/11/2019,19.18,18.24,17.79,19.18,0.0,0.0,69203
07/10/2019,19.65,19.18,19.03,19.88,0.0,0.0,58480
07/09/2019,19.25,19.56,19.24,19.69,0.0,0.0,47161
07/08/2019,19.55,19.45,18.87,19.55,0.0,0.0,57296
07/05/2019,19.14,19.6,18.89,19.86,0.0,0.0,51912
07/03/2019,19.74,19.35,19.29,20.19,0.0,0.0,60316
07/02/2019,20.01,19.75,19.48,20.05,0.0,0.0,47102
07/01/2019,20.73,20.17,19.75,21.58,0.0,0.0,96801
06/28/2019,20.19,20.45,19.9,20.99,0.0,0.0,130417
06/27/2019,19.75,20.1,19.32,20.4618,0.0,0.0,54665
06/26/2019,20.57,19.71,19.45,20.65,0.0,0.0,61166
06/25/2019,21.42,20.46,20.27,21.42,0.0,0.0,28686
06/24/2019,21.18,21.28,20.39,21.957,0.0,0.0,66076
06/21/2019,21.69,21.18,20.72,21.7983,0.0,0.0,60925
06/20/2019,21.5,21.8,20.99,21.88,0.0,0.0,57378
06/19/2019,20.99,21.56,20.33,21.92,0.0,0.0,74135
06/18/2019,20.26,20.94,20.22,21.24,0.0,0.0,87379
06/17/2019,20.04,20.28,19.36,20.38,0.0,0.0,93698
06/14/2019,20.6,20.01,19.83,20.6,0.0,0.0,45802
06/13/2019,21.02,20.67,20.44,21.07,0.0,0.0,23519
06/12/2019,20.95,20.98,20.84,21.19,0.0,0.0,27288
06/11/2019,20.73,20.94,20.64,21.27,0.0,0.0,56900
06/10/2019,20.15,20.63,20.01,20.85,0.0,0.0,51166
06/07/2019,19.6,20.11,19.6,20.62,0.0,0.0,65581
06/06/2019,19.62,19.6,19.2,20,0.0,0.0,42997
06/05/2019,20.27,19.7,19.3763,20.27,0.0,0.0,50395
06/04/2019,20.32,20.27,19.87,20.82,0.0,0.0,59258
06/03/2019,20.53,20.06,19.95,20.96,0.0,0.0,59559
05/31/2019,21.37,20.87,20.7013,21.41,0.0,0.0,42364
05/30/2019,21.22,21.72,21.06,21.8,0.0,0.0,36902
05/29/2019,21.23,21.18,21.08,21.52,0.0,0.0,48049
05/28/2019,21.78,21.48,21.26,22.06,0.0,0.0,35877
05/24/2019,21.39,21.79,21.39,22.35,0.0,0.0,44831
05/23/2019,22.29,21.37,21.05,22.36,0.0,0.0,36591
05/22/2019,22.03,22.36,21.5267,22.6599,0.0,0.0,51935
05/21/2019,21,21.99,20.76,22.23,0.0,0.0,51580
05/20/2019,22.64,21.1,20.9,22.72,0.0,0.0,89256
05/17/2019,21.44,22.51,21.35,22.59,0.0,0.0,75513
05/16/2019,23.09,21.69,21.37,23.53,0.0,0.0,47902
05/15/2019,22.95,23.07,22.91,23.5,0.0,0.0,24627
05/14/2019,23.11,23.04,23.01,23.3925,0.0,0.0,72702
05/13/2019,22.53,23.02,22.34,23.11,0.0,0.0,44507
05/10/2019,23.27,23.12,22.4,23.44,0.0,0.0,61497
05/09/2019,23.47,23.45,22.9,23.63,0.0,0.0,44291
05/08/2019,23.42,23.68,23.12,23.945,0.0,0.0,118382
05/07/2019,24.8,23.47,23.44,25.48,0.0,0.0,88125
05/06/2019,24.38,25,24.1677,25.1753,0.0,0.0,73106
05/03/2019,24.64,24.7,24.335,25.03,0.0,0.0,48098
05/02/2019,23.01,24.5,23.01,24.75,0.0,0.0,61159
05/01/2019,24.52,23.27,22.35,25,0.0,0.0,206914
04/30/2019,28.25,25.01,24.38,28.25,0.0,0.0,288624
04/29/2019,29.74,29.08,28.14,29.74,0.0,0.0,68401
04/26/2019,29.24,29.31,28.51,29.8,0.0,0.0,63837
04/25/2019,28.17,28.91,27.805,29.04,0.0,0.0,65153
04/24/2019,27.49,28.02,27.3461,28.18,0.0,0.0,37545
04/23/2019,26.99,27.35,26.645,27.6,0.0,0.0,32253
04/22/2019,26.09,26.71,25.8525,26.83,0.0,0.0,30198
04/18/2019,26.19,26.09,25.24,26.23,0.0,0.0,36988
04/17/2019,27.93,26.16,26.05,27.93,0.0,0.0,56836
04/16/2019,27.78,27.73,27.03,27.99,0.0,0.0,37016
