Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,23.199,23.199,23.199,23.199,0.0,0.0,00
07/15/2019,23.199,23.199,23.199,23.199,0.0,0.0,116
07/12/2019,23.32,23.32,23.32,23.32,0.0,0.0,00
07/11/2019,23.32,23.32,23.32,23.32,0.0,0.0,00
07/10/2019,23.32,23.32,23.32,23.32,0.0,0.0,00
07/09/2019,23.32,23.32,23.32,23.32,0.0,0.0,00
07/08/2019,23.32,23.32,23.32,23.32,0.0,0.0,200
07/05/2019,23.49,23.49,23.49,23.49,0.0,0.0,00
07/03/2019,23.49,23.49,23.49,23.49,0.0,0.0,00
07/02/2019,23.49,23.49,23.49,23.49,0.0,0.0,7733
07/01/2019,23.17,23.17,23.17,23.17,0.0,0.0,00
06/28/2019,23.17,23.17,23.17,23.17,0.0,0.0,00
06/27/2019,23.17,23.17,23.17,23.17,0.0,0.0,00
06/26/2019,23.17,23.17,23.17,23.17,0.0,0.0,00
06/25/2019,23.17,23.17,23.17,23.17,0.0,0.0,00
06/24/2019,23.17,23.17,23.17,23.17,0.0,0.0,00
06/21/2019,23.17,23.17,23.17,23.17,0.0,0.0,00
06/20/2019,23.17,23.17,23.17,23.17,0.0,0.0,00
06/19/2019,23.17,23.17,23.17,23.17,0.0,0.0,102
06/18/2019,22.85,22.85,22.85,22.85,0.0,0.0,00
06/17/2019,22.9099,22.85,22.85,22.9099,0.0,0.0,3249
06/14/2019,22.65,22.65,22.65,22.65,0.0,0.0,00
06/13/2019,22.65,22.65,22.65,22.65,0.0,0.0,00
06/12/2019,22.65,22.65,22.65,22.65,0.0,0.0,00
06/11/2019,22.65,22.65,22.65,22.65,0.0,0.0,00
06/10/2019,22.65,22.65,22.65,22.65,0.0,0.0,00
06/07/2019,22.65,22.65,22.65,22.65,0.0,0.0,00
06/06/2019,22.65,22.65,22.65,22.65,0.0,0.0,00
06/05/2019,22.65,22.65,22.65,22.65,0.0,0.0,00
06/04/2019,22.65,22.65,22.65,22.65,0.0,0.0,00
06/03/2019,22.65,22.65,22.65,22.65,0.0,0.0,00
05/31/2019,22.65,22.65,22.65,22.65,0.0,0.0,00
05/30/2019,22.7,22.65,22.65,22.7,0.0,0.0,200
05/29/2019,22.7,22.7,22.7,22.7,0.0,0.0,00
05/28/2019,22.7,22.7,22.7,22.7,0.0,0.0,00
05/24/2019,22.7,22.7,22.7,22.7,0.0,0.0,00
05/23/2019,22.7,22.7,22.7,22.7,0.0,0.0,200
05/22/2019,22.87,22.87,22.87,22.87,0.0,0.0,00
05/21/2019,22.87,22.87,22.87,22.87,0.0,0.0,00
05/20/2019,22.87,22.87,22.87,22.87,0.0,0.0,00
05/17/2019,22.87,22.87,22.87,22.87,0.0,0.0,10946
05/16/2019,22.8203,22.8203,22.8203,22.8203,0.0,0.0,00
05/15/2019,22.85,22.8203,22.8203,22.85,0.0,0.0,271
05/14/2019,22.88,22.88,22.88,22.88,0.0,0.0,00
05/13/2019,22.88,22.88,22.88,22.88,0.0,0.0,00
05/10/2019,22.88,22.88,22.88,22.88,0.0,0.0,00
05/09/2019,22.88,22.88,22.88,22.88,0.0,0.0,201
05/08/2019,23.89,23.89,23.89,23.89,0.0,0.0,00
05/07/2019,23.89,23.89,23.89,23.89,0.0,0.0,00
05/06/2019,23.89,23.89,23.89,23.89,0.0,0.0,00
05/03/2019,23.89,23.89,23.89,23.89,0.0,0.0,00
05/02/2019,23.89,23.89,23.89,23.89,0.0,0.0,00
05/01/2019,23.89,23.89,23.89,23.89,0.0,0.0,300
04/30/2019,24.02,24.02,24.02,24.02,0.0,0.0,00
04/29/2019,24.02,24.02,24.02,24.02,0.0,0.0,00
04/26/2019,24.02,24.02,24.02,24.02,0.0,0.0,00
04/25/2019,24.02,24.02,24.02,24.02,0.0,0.0,00
04/24/2019,24.02,24.02,24.02,24.02,0.0,0.0,00
04/23/2019,24.02,24.02,24.02,24.02,0.0,0.0,00
04/22/2019,24.02,24.02,24.02,24.02,0.0,0.0,00
04/18/2019,24.02,24.02,24.02,24.02,0.0,0.0,00
04/17/2019,24.02,24.02,24.02,24.02,0.0,0.0,125
04/16/2019,23.89,23.89,23.89,23.89,0.0,0.0,00
