Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,18.82,19.5,18.82,19.59,0.0,0.0,5237595
07/15/2019,18.94,18.73,18.71,18.995,0.0,0.0,3712984
07/12/2019,18.66,18.87,18.61,18.95,0.0,0.0,3168456
07/11/2019,19,18.69,18.635,19.0664,0.0,0.0,4394115
07/10/2019,19.14,18.94,18.92,19.245,0.0,0.0,2698262
07/09/2019,19.34,18.99,18.94,19.5,0.0,0.0,4355268
07/08/2019,19.28,19.46,19.17,19.5,0.0,0.0,2520851
07/05/2019,19.09,19.19,19,19.28,0.0,0.0,1733680
07/03/2019,18.83,19.13,18.83,19.32,0.0,0.0,2052456
07/02/2019,18.68,18.79,18.48,19.015,0.0,0.0,3759314
07/01/2019,18.69,18.6,18.51,18.79,0.0,0.0,2972501
06/28/2019,18.27,18.49,18.27,18.65,0.0,0.0,5656533
06/27/2019,18.18,18.27,18.1,18.43,0.0,0.0,5094870
06/26/2019,18.33,18.1,18.08,18.42,0.0,0.0,4100547
06/25/2019,18.46,18.31,18.27,18.635,0.0,0.0,4459160
06/24/2019,18.69,18.45,18.34,18.8,0.0,0.0,4085553
06/21/2019,18.77,18.59,18.585,19.095,0.0,0.0,6367926
06/20/2019,19.25,18.88,18.73,19.29,0.0,0.0,3319347
06/19/2019,19.17,19.05,19.04,19.44,0.0,0.0,3158805
06/18/2019,19.6,19.26,19.25,19.635,0.0,0.0,3750026
06/17/2019,19.38,19.39,19.2001,19.58,0.0,0.0,3627853
06/14/2019,19.41,19.35,19.22,19.5975,0.0,0.0,3803521
06/13/2019,19.34,19.44,19.25,19.68,0.0,0.0,6429719
06/12/2019,19.11,19.24,18.86,19.27,0.0,0.0,4621426
06/11/2019,19,19.09,18.76,19.24,0.0,0.0,6723734
06/10/2019,18.43,18.25,18.23,18.73,0.0,0.0,2505051
06/07/2019,18.15,18.3,18.11,18.49,0.0,0.0,3872547
06/06/2019,18.09,17.92,17.825,18.19,0.0,0.0,4572543
06/05/2019,17.94,18.13,17.94,18.2,0.0,0.0,4127282
06/04/2019,17.37,17.81,17.35,17.825,0.0,0.0,3230428
06/03/2019,17.15,17.24,17.12,17.475,0.0,0.0,2620521
05/31/2019,17.18,17.23,17.09,17.5,0.0,0.0,4971098
05/30/2019,17.17,17.36,17.015,17.41,0.0,0.0,4141443
05/29/2019,17.23,17.12,16.945,17.23,0.0,0.0,4053682
05/28/2019,17.54,17.21,17.2,17.58,0.0,0.0,4476985
05/24/2019,17.65,17.47,17.38,17.8,0.0,0.0,2807694
05/23/2019,17.43,17.58,17.23,17.815,0.0,0.0,4010509
05/22/2019,17.83,17.56,17.49,17.85,0.0,0.0,2748594
05/21/2019,17.64,17.87,17.64,17.9069,0.0,0.0,3224162
05/20/2019,17.63,17.57,17.5,17.79,0.0,0.0,2365509
05/17/2019,17.79,17.81,17.74,18.085,0.0,0.0,2447400
05/16/2019,17.85,17.84,17.795,18.11,0.0,0.0,4130437
05/15/2019,17.85,17.83,17.63,17.92,0.0,0.0,4711777
05/14/2019,17.69,17.97,17.61,18.1,0.0,0.0,3197767
05/13/2019,17.97,17.61,17.43,17.97,0.0,0.0,4761288
05/10/2019,18.27,18.31,17.88,18.38,0.0,0.0,4393679
05/09/2019,18.32,18.34,18.2,18.41,0.0,0.0,3596242
05/08/2019,18.46,18.44,18.27,18.71,0.0,0.0,3342452
05/07/2019,18.54,18.52,18.26,18.74,0.0,0.0,3868244
05/06/2019,18.42,18.71,18.31,18.765,0.0,0.0,2702991
05/03/2019,18.66,18.71,18.56,18.8301,0.0,0.0,2522302
05/02/2019,18.66,18.63,18.56,18.92,0.0,0.0,3862587
05/01/2019,18.56,18.63,18.4789,18.88,0.0,0.0,6694268
04/30/2019,18.26,18.55,18.22,18.68,0.0,0.0,5566054
04/29/2019,18.12,18.25,18.12,18.335,0.0,0.0,4636624
04/26/2019,18.03,18.12,17.95,18.35,0.0,0.0,5013430
04/25/2019,18.11,18.03,17.91,18.36,0.0,0.0,7594739
04/24/2019,17.52,18.19,17.5,18.27,0.0,0.0,9824841
04/23/2019,17.16,17.55,16.92,17.8,0.0,0.0,13998240
04/22/2019,16.84,16.83,16.75,17.03,0.0,0.0,4371282
04/18/2019,16.91,16.96,16.87,17.07,0.0,0.0,3169699
04/17/2019,17.02,16.98,16.95,17.25,0.0,0.0,3568034
04/16/2019,16.99,16.88,16.77,17.025,0.0,0.0,3146920
