Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,50.71,50.3,50.16,50.71,0.0,0.0,211518
07/15/2019,51.33,50.66,50.53,51.33,0.0,0.0,409344
07/12/2019,51.13,51.24,50.93,51.28,0.0,0.0,148385
07/11/2019,50.68,51.05,50.53,51.16,0.0,0.0,1322180
07/10/2019,51.05,50.54,50.46,51.15,0.0,0.0,1973000
07/09/2019,50.51,51.15,50.45,51.16,0.0,0.0,287657
07/08/2019,50.99,50.79,50.64,51.1,0.0,0.0,273073
07/05/2019,51.4,51.31,51.15,51.61,0.0,0.0,406112
07/03/2019,50.64,50.94,50.46,50.94,0.0,0.0,178311
07/02/2019,50.84,50.48,50.24,51.03,0.0,0.0,406496
07/01/2019,51.02,50.98,50.68,51.39,0.0,0.0,645484
06/28/2019,50.19,50.46,49.85,50.62,0.0,0.0,945802
06/27/2019,49.19,49.49,49.19,49.67,0.0,0.0,1439797
06/26/2019,49.14,49.04,48.98,49.44,0.0,0.0,1081945
06/25/2019,49.04,48.96,48.41,49.18,0.0,0.0,282072
06/24/2019,49.31,49.05,49.02,49.7,0.0,0.0,194770
06/21/2019,49.63,49.65,49.61,50.06,0.0,0.0,249039
06/20/2019,49.79,49.6,48.82,49.79,0.0,0.0,872002
06/19/2019,50.01,49.48,49.41,50.54,0.0,0.0,1508211
06/18/2019,49.13,49.94,49.07,50.12,0.0,0.0,238380
06/17/2019,49.82,49.14,49.08,50.04,0.0,0.0,825050
06/14/2019,49.64,49.81,49.2,49.98,0.0,0.0,774319
06/13/2019,49.6,49.63,49.43,49.92,0.0,0.0,517998
06/12/2019,49.96,49.48,49.4,50.08,0.0,0.0,714857
06/11/2019,50.1,50.07,49.8934,50.56,0.0,0.0,2129784
06/10/2019,49.69,49.77,49.69,50.29,0.0,0.0,912972
06/07/2019,49.4,49.23,49.18,49.56,0.0,0.0,2285635
06/06/2019,49.39,49.58,49.09,49.79,0.0,0.0,349121
06/05/2019,49.48,49.46,48.88,49.62,0.0,0.0,916175
06/04/2019,48.51,49.52,48.51,49.58,0.0,0.0,288671
06/03/2019,47.4,47.85,47.3,48.11,0.0,0.0,183975
05/31/2019,47.54,47.44,47.41,47.87,0.0,0.0,355035
05/30/2019,49.04,48.29,47.97,49.31,0.0,0.0,1551594
05/29/2019,48.38,48.88,48.1,48.95,0.0,0.0,3193011
05/28/2019,49.31,48.82,48.8,49.5,0.0,0.0,300499
05/24/2019,49.22,49.5,49.19,49.62,0.0,0.0,626409
05/23/2019,49.42,49.01,48.65,49.42,0.0,0.0,800047
05/22/2019,50.07,49.95,49.8,50.12,0.0,0.0,254535
05/21/2019,50.15,50.35,50.08,50.35,0.0,0.0,293949
05/20/2019,49.53,49.87,49.53,50.1,0.0,0.0,303038
05/17/2019,49.5,49.7,49.5,50.32,0.0,0.0,107341
05/16/2019,49.73,50.04,49.73,50.34,0.0,0.0,114412
05/15/2019,49.47,49.52,48.98,49.81,0.0,0.0,150073
05/14/2019,49.75,50.01,49.61,50.49,0.0,0.0,335050
05/13/2019,50.34,49.56,49.45,50.46,0.0,0.0,215191
05/10/2019,50.88,51.42,50.42,51.585,0.0,0.0,379244
05/09/2019,50.68,51.24,50.35,51.29,0.0,0.0,432307
05/08/2019,51.38,51.26,51.16,51.66,0.0,0.0,260896
05/07/2019,52.09,51.53,51.22,52.09,0.0,0.0,425485
05/06/2019,51.95,52.64,51.91,52.88,0.0,0.0,938386
05/03/2019,52.7,52.93,52.62,53.07,0.0,0.0,318129
05/02/2019,52.2,52.52,52.04,52.66,0.0,0.0,1132373
05/01/2019,52.73,52.18,52.08,53.1042,0.0,0.0,275975
04/30/2019,52.77,52.67,52.295,52.93,0.0,0.0,217206
04/29/2019,52.17,52.74,52.17,53.18,0.0,0.0,221545
04/26/2019,51.6,52.18,51.56,52.18,0.0,0.0,318049
04/25/2019,51.4,51.63,51.13,51.97,0.0,0.0,658586
04/24/2019,51.4,51.54,51.12,51.72,0.0,0.0,601796
04/23/2019,51.2,51.65,50.72,51.67,0.0,0.0,565425
04/22/2019,51.22,51.24,50.98,51.43,0.0,0.0,209221
04/18/2019,51.22,51.33,51.04,51.63,0.0,0.0,219401
04/17/2019,51.53,51.55,51.02,51.68,0.0,0.0,550315
04/16/2019,50.76,51.56,50.69,51.67,0.0,0.0,189429
