Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,49.56,49.65,49.26,49.65,0.0,0.0,5071
07/15/2019,50.48,49.3681,49.355,50.48,0.0,0.0,7268
07/12/2019,50.04,50.6312,50.04,50.6312,0.0,0.0,2450
07/11/2019,49.645,49.8941,49.645,49.95,0.0,0.0,2337
07/10/2019,50.14,49.58,49.58,50.14,0.0,0.0,7763
07/09/2019,50.02,50.2094,49.94,50.2094,0.0,0.0,2250
07/08/2019,50.52,49.8701,49.8701,50.52,0.0,0.0,4189
07/05/2019,50.53,50.6993,50.53,50.7825,0.0,0.0,13758
07/03/2019,49.82,50.25,49.82,50.25,0.0,0.0,1982
07/02/2019,50.3854,49.5736,49.5,50.475,0.0,0.0,1685
07/01/2019,50.78,50.4594,50.2277,50.7815,0.0,0.0,1929
06/28/2019,49.88,50.3545,49.81,50.3545,0.0,0.0,5995
06/27/2019,48.7199,49.212,48.7199,49.212,0.0,0.0,2728
06/26/2019,48.82,48.8059,48.7501,49.0216,0.0,0.0,3008
06/25/2019,48.195,48.56,48.195,48.57,0.0,0.0,26615
06/24/2019,48.95,48.67,48.67,48.98,0.0,0.0,5593
06/21/2019,49.37,49.6186,49.305,49.6186,0.0,0.0,9977
06/20/2019,49.25,49.3256,48.9,49.3502,0.0,0.0,11730
06/19/2019,49.5,49.35,49.34,49.995,0.0,0.0,5442
06/18/2019,48.5916,49.4,48.5916,49.71,0.0,0.0,4769
06/17/2019,49.21,48.64,48.64,49.37,0.0,0.0,4650
06/14/2019,49.11,49.32,48.84,49.32,0.0,0.0,1665
06/13/2019,49.39,49.3275,49.315,49.525,0.0,0.0,6082
06/12/2019,49.32,49.13,49.09,49.33,0.0,0.0,18361
06/11/2019,49.59,49.38,49.3274,49.59,0.0,0.0,2119
06/10/2019,49.8831,49.5201,49.4615,49.8831,0.0,0.0,2604
06/07/2019,48.89,49.02,48.82,49.148,0.0,0.0,7469
06/06/2019,49.4328,49.201,48.864,49.4328,0.0,0.0,1947
06/05/2019,49.4239,49.2483,49.2483,49.69,0.0,0.0,1398
06/04/2019,48.67,49.75,48.67,49.75,0.0,0.0,13043
06/03/2019,47.27,47.9416,47.27,48.3,0.0,0.0,4260
05/31/2019,47.49,47.36,47.32,47.8143,0.0,0.0,3052
05/30/2019,49.31,48.1235,48.1235,49.71,0.0,0.0,3656
05/29/2019,48.61,48.8001,48.45,49.0035,0.0,0.0,3100
05/28/2019,49.4827,49.0237,49.0237,49.4827,0.0,0.0,2927
05/24/2019,49.3051,49.5969,49.3051,49.5969,0.0,0.0,1816
05/23/2019,49.16,48.82,48.82,49.17,0.0,0.0,2630
05/22/2019,50.571,50.1349,50.13,50.571,0.0,0.0,1737
05/21/2019,50.66,50.7892,50.66,50.8081,0.0,0.0,1174
05/20/2019,49.84,50.58,49.84,50.688,0.0,0.0,5272
05/17/2019,50.9075,50.7669,50.7633,50.9075,0.0,0.0,926
05/16/2019,50.22,50.55,50.22,50.7785,0.0,0.0,1777
05/15/2019,50.04,50.2035,50.04,50.2035,0.0,0.0,954
05/14/2019,50.02,50.884,50.02,50.884,0.0,0.0,1668
05/13/2019,50.95,50,50,50.95,0.0,0.0,1228
05/10/2019,51.4535,52.03,51.3274,52.03,0.0,0.0,1084
05/09/2019,51.414,51.9234,51.28,52.0501,0.0,0.0,7370
05/08/2019,52.5,52.3102,52.205,52.5,0.0,0.0,477
05/07/2019,52.78,52.57,52.5038,53.04,0.0,0.0,4380
05/06/2019,52.37,53.6635,52.37,53.6635,0.0,0.0,2220
05/03/2019,52.74,53.5398,52.74,53.5398,0.0,0.0,1292
05/02/2019,52.13,52.672,52.13,52.7819,0.0,0.0,2431
05/01/2019,53.04,52.31,52.03,53.06,0.0,0.0,2901
04/30/2019,52.74,52.7398,52.7398,52.74,0.0,0.0,586
04/29/2019,52.38,53.02,52.38,53.1699,0.0,0.0,3154
04/26/2019,51.48,52.2415,51.48,52.2655,0.0,0.0,2577
04/25/2019,51.88,51.71,51.37,51.94,0.0,0.0,5426
04/24/2019,51.77,52.3201,51.655,52.3201,0.0,0.0,2578
04/23/2019,50.61,51.9199,50.61,51.9199,0.0,0.0,3992
04/22/2019,51.1,50.7,50.69,51.1,0.0,0.0,2472
04/18/2019,51.86,51.4633,51.22,51.86,0.0,0.0,1131
04/17/2019,52,51.96,51.77,52,0.0,0.0,1179
04/16/2019,51.04,52.0555,51.04,52.0623,0.0,0.0,25135
