Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,1.17,1.1,1.1,1.1798,0.0,0.0,355713
07/15/2019,1.17,1.18,1.14,1.18,0.0,0.0,299639
07/12/2019,1.23,1.16,1.15,1.23,0.0,0.0,401896
07/11/2019,1.17,1.22,1.14,1.24,0.0,0.0,458776
07/10/2019,1.19,1.16,1.14,1.23,0.0,0.0,324537
07/09/2019,1.15,1.18,1.13,1.2,0.0,0.0,171718
07/08/2019,1.17,1.17,1.13,1.18,0.0,0.0,365038
07/05/2019,1.18,1.18,1.15,1.2,0.0,0.0,275326
07/03/2019,1.14,1.2,1.14,1.21,0.0,0.0,333620
07/02/2019,1.15,1.12,1.12,1.21,0.0,0.0,568755
07/01/2019,1.1,1.14,1.09,1.21,0.0,0.0,861516
06/28/2019,1.13,1.09,1.08,1.16,0.0,0.0,6566835
06/27/2019,1.2,1.13,1.11,1.21,0.0,0.0,1143378
06/26/2019,1.23,1.19,1.19,1.28,0.0,0.0,448912
06/25/2019,1.26,1.24,1.22,1.27,0.0,0.0,328909
06/24/2019,1.33,1.26,1.2,1.35,0.0,0.0,677515
06/21/2019,1.21,1.33,1.18,1.39,0.0,0.0,1523200
06/20/2019,1.27,1.235,1.21,1.27,0.0,0.0,328662
06/19/2019,1.29,1.24,1.185,1.29,0.0,0.0,474169
06/18/2019,1.21,1.265,1.19,1.29,0.0,0.0,747835
06/17/2019,1.15,1.21,1.12,1.23,0.0,0.0,605695
06/14/2019,1.16,1.15,1.11,1.17,0.0,0.0,242500
06/13/2019,1.13,1.15,1.11,1.16,0.0,0.0,259920
06/12/2019,1.14,1.14,1.1045,1.1942,0.0,0.0,435931
06/11/2019,1.11,1.16,1.095,1.17,0.0,0.0,624923
06/10/2019,1.05,1.11,1.05,1.13,0.0,0.0,583970
06/07/2019,1.08,1.06,1.03,1.08,0.0,0.0,408262
06/06/2019,1.06,1.07,1.05,1.07,0.0,0.0,260083
06/05/2019,1.11,1.04,1.04,1.14,0.0,0.0,617952
06/04/2019,1.11,1.12,1.105,1.14,0.0,0.0,473040
06/03/2019,1.15,1.1,1.09,1.2,0.0,0.0,668866
05/31/2019,1.16,1.15,1.14,1.22,0.0,0.0,405655
05/30/2019,1.23,1.17,1.14,1.265,0.0,0.0,233413
05/29/2019,1.23,1.21,1.2,1.28,0.0,0.0,346007
05/28/2019,1.29,1.25,1.22,1.3,0.0,0.0,622365
05/24/2019,1.16,1.26,1.1302,1.27,0.0,0.0,713087
05/23/2019,1.15,1.14,1.07,1.15,0.0,0.0,518647
05/22/2019,1.11,1.16,1.11,1.17,0.0,0.0,229461
05/21/2019,1.21,1.12,1.12,1.25,0.0,0.0,1213001
05/20/2019,1.1,1.11,1.04,1.14,0.0,0.0,407119
05/17/2019,1.1,1.1,1.065,1.13,0.0,0.0,366581
05/16/2019,1.14,1.125,1.12,1.15,0.0,0.0,183049
05/15/2019,1.15,1.13,1.13,1.196,0.0,0.0,328328
05/14/2019,1.13,1.17,1.105,1.17,0.0,0.0,442770
05/13/2019,1.19,1.12,1.1,1.2,0.0,0.0,560957
05/10/2019,1.21,1.21,1.17,1.23,0.0,0.0,331203
05/09/2019,1.23,1.23,1.18,1.24,0.0,0.0,396625
05/08/2019,1.2,1.24,1.16,1.25,0.0,0.0,432424
05/07/2019,1.21,1.21,1.155,1.26,0.0,0.0,1054139
05/06/2019,1.26,1.26,1.22,1.3,0.0,0.0,617984
05/03/2019,1.33,1.28,1.26,1.36,0.0,0.0,338625
05/02/2019,1.22,1.32,1.21,1.35,0.0,0.0,630906
05/01/2019,1.26,1.22,1.21,1.28,0.0,0.0,631501
04/30/2019,1.22,1.25,1.2,1.274,0.0,0.0,423054
04/29/2019,1.21,1.21,1.2,1.26,0.0,0.0,342997
04/26/2019,1.23,1.22,1.18,1.25,0.0,0.0,347770
04/25/2019,1.25,1.23,1.21,1.3,0.0,0.0,212384
04/24/2019,1.26,1.25,1.21,1.2838,0.0,0.0,299489
04/23/2019,1.24,1.27,1.22,1.28,0.0,0.0,392391
04/22/2019,1.19,1.22,1.18,1.23,0.0,0.0,424996
04/18/2019,1.25,1.19,1.18,1.27,0.0,0.0,752104
04/17/2019,1.34,1.26,1.25,1.36,0.0,0.0,381665
04/16/2019,1.29,1.33,1.26,1.37,0.0,0.0,427055
