Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,20.48,20.5,20.48,20.51,0.0,0.0,30918
07/15/2019,20.64,20.51,20.47,20.64,0.0,0.0,22738
07/12/2019,20.48,20.4794,20.47,20.49,0.0,0.0,29106
07/11/2019,20.4809,20.484,20.4809,20.5,0.0,0.0,30154
07/10/2019,20.4879,20.4879,20.474,20.5,0.0,0.0,11498
07/09/2019,20.485,20.48,20.475,20.5,0.0,0.0,9077
07/08/2019,20.457,20.53,20.45,20.58,0.0,0.0,115336
07/05/2019,20.57,20.46,20.44,20.57,0.0,0.0,75284
07/03/2019,20.51,20.5115,20.51,20.52,0.0,0.0,40190
07/02/2019,20.4561,20.469,20.4561,20.48,0.0,0.0,13746
07/01/2019,20.476,20.4599,20.4491,20.476,0.0,0.0,10843
06/28/2019,20.4623,20.443,20.443,20.4623,0.0,0.0,2041
06/27/2019,20.47,20.48,20.4366,20.48,0.0,0.0,59225
06/26/2019,20.48,20.48,20.431,20.48,0.0,0.0,16291
06/25/2019,20.48,20.46,20.46,20.49,0.0,0.0,15285
06/24/2019,20.48,20.49,20.4532,20.49,0.0,0.0,6401
06/21/2019,20.479,20.4588,20.4257,20.48,0.0,0.0,10207
06/20/2019,20.49,20.5,20.4678,20.5,0.0,0.0,9556
06/19/2019,20.44,20.4495,20.44,20.4495,0.0,0.0,31268
06/18/2019,20.459,20.413,20.4,20.459,0.0,0.0,7934
06/17/2019,20.4321,20.4259,20.42,20.44,0.0,0.0,9932
06/14/2019,20.39,20.45,20.39,20.4583,0.0,0.0,18032
06/13/2019,20.454,20.48,20.42,20.5,0.0,0.0,5473
06/12/2019,20.4699,20.49,20.4435,20.5,0.0,0.0,26940
06/11/2019,20.52,20.48,20.42,20.52,0.0,0.0,34384
06/10/2019,20.457,20.48,20.42,20.48,0.0,0.0,26621
06/07/2019,20.5,20.47,20.451,20.5,0.0,0.0,10076
06/06/2019,20.5,20.417,20.417,20.5,0.0,0.0,6521
06/05/2019,20.459,20.459,20.459,20.459,0.0,0.0,685
06/04/2019,20.4425,20.39,20.39,20.4425,0.0,0.0,10748
06/03/2019,20.408,20.38,20.37,20.43,0.0,0.0,16423
05/31/2019,20.4,20.375,20.3605,20.4,0.0,0.0,11764
05/30/2019,20.39,20.394,20.3805,20.4,0.0,0.0,2052
05/29/2019,20.37,20.3955,20.3618,20.4,0.0,0.0,21458
05/28/2019,20.3804,20.37,20.3658,20.4198,0.0,0.0,11897
05/24/2019,20.3962,20.38,20.34,20.3962,0.0,0.0,31918
05/23/2019,20.385,20.39,20.365,20.41,0.0,0.0,5642
05/22/2019,20.4046,20.3953,20.3837,20.409,0.0,0.0,2206
05/21/2019,20.4,20.3925,20.3925,20.4,0.0,0.0,3583
05/20/2019,20.41,20.45,20.22,20.45,0.0,0.0,92092
05/17/2019,20.45,20.46,20.45,20.46,0.0,0.0,7509
05/16/2019,20.43,20.45,20.43,20.45,0.0,0.0,7842
05/15/2019,20.459,20.43,20.29,20.4699,0.0,0.0,46726
05/14/2019,20.439,20.46,20.439,20.47,0.0,0.0,69477
05/13/2019,20.45,20.43,20.43,20.45,0.0,0.0,20473
05/10/2019,20.46,20.44,20.4,20.46,0.0,0.0,12088
05/09/2019,20.423,20.44,20.4201,20.52,0.0,0.0,68148
05/08/2019,20.46,20.46,20.41,20.46,0.0,0.0,18851
05/07/2019,20.47,20.435,20.435,20.47,0.0,0.0,13617
05/06/2019,20.47,20.47,20.4462,20.47,0.0,0.0,5168
05/03/2019,20.445,20.45,20.429,20.45,0.0,0.0,35335
05/02/2019,20.449,20.4475,20.4,20.45,0.0,0.0,7966
05/01/2019,20.45,20.45,20.4,20.46,0.0,0.0,78850
04/30/2019,20.412,20.44,20.4,20.44,0.0,0.0,4419
04/29/2019,20.43,20.43,20.43,20.43,0.0,0.0,00
04/26/2019,20.43,20.43,20.4049,20.43,0.0,0.0,20193
04/25/2019,20.43,20.429,20.4,20.43,0.0,0.0,47295
04/24/2019,20.4124,20.3876,20.38,20.42,0.0,0.0,29882
04/23/2019,20.38,20.4175,20.367,20.42,0.0,0.0,54919
04/22/2019,20.43,20.4158,20.4158,20.44,0.0,0.0,3765
04/18/2019,20.459,20.459,20.425,20.46,0.0,0.0,33119
04/17/2019,20.8,20.43,20.42,20.8,0.0,0.0,57001
04/16/2019,20.48,20.45,20.421,20.48,0.0,0.0,2440
