Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,2.6652,2.62,2.58,2.7343,0.0,0.0,27872
07/15/2019,2.7399,2.65,2.631,2.7399,0.0,0.0,13368
07/12/2019,2.6656,2.68,2.65,2.7767,0.0,0.0,42618
07/11/2019,2.78,2.65,2.62,2.89,0.0,0.0,127357
07/10/2019,3.15,2.95,2.85,3.26,0.0,0.0,162139
07/09/2019,3.22,3.1,3.05,3.4206,0.0,0.0,273028
07/08/2019,3.12,3.37,3.12,4.02,0.0,0.0,1250436
07/05/2019,3.06,3.12,3.0401,3.12,0.0,0.0,6868
07/03/2019,3.036,3.13,3.01,3.13,0.0,0.0,11999
07/02/2019,3.15,3.15,3,3.15,0.0,0.0,25986
07/01/2019,3.1526,3.1,3.07,3.1526,0.0,0.0,15649
06/28/2019,3.0556,3.07,3.05,3.11,0.0,0.0,16249
06/27/2019,3.0472,3.0552,3.03,3.1239,0.0,0.0,5421
06/26/2019,3,3.05,3,3.1106,0.0,0.0,18630
06/25/2019,3.1373,2.99,2.99,3.1373,0.0,0.0,11822
06/24/2019,3.15,3.15,3.13,3.16,0.0,0.0,8804
06/21/2019,3.1,3.17,3.075,3.1992,0.0,0.0,44278
06/20/2019,3.13,3.13,3.1,3.15,0.0,0.0,29439
06/19/2019,3.04,3.16,3.04,3.1899,0.0,0.0,47887
06/18/2019,3.01,3.04,3,3.0999,0.0,0.0,18353
06/17/2019,3.05,3.0272,2.99,3.05,0.0,0.0,22448
06/14/2019,3,3.05,2.92,3.1,0.0,0.0,14266
06/13/2019,2.91,3,2.9,3.03,0.0,0.0,22790
06/12/2019,2.876,2.91,2.85,2.91,0.0,0.0,8340
06/11/2019,2.871,2.88,2.8307,2.9,0.0,0.0,8533
06/10/2019,2.85,2.83,2.81,2.8832,0.0,0.0,19264
06/07/2019,2.73,2.7487,2.6989,2.82,0.0,0.0,14675
06/06/2019,2.71,2.68,2.68,2.7658,0.0,0.0,36119
06/05/2019,2.9,2.71,2.66,2.9357,0.0,0.0,29200
06/04/2019,2.83,2.89,2.82,2.96,0.0,0.0,7893
06/03/2019,2.84,2.83,2.83,2.91,0.0,0.0,16250
05/31/2019,2.8765,2.85,2.8444,3.0733,0.0,0.0,56718
05/30/2019,2.84,2.86,2.84,2.89,0.0,0.0,5772
05/29/2019,2.8,2.82,2.8,2.9,0.0,0.0,17431
05/28/2019,2.82,2.81,2.8,2.8399,0.0,0.0,17525
05/24/2019,2.912,2.84,2.81,2.96,0.0,0.0,13050
05/23/2019,2.9,2.93,2.78,2.956,0.0,0.0,41455
05/22/2019,2.95,2.93,2.8301,2.9501,0.0,0.0,34104
05/21/2019,2.84,2.92,2.83,2.9599,0.0,0.0,23176
05/20/2019,2.89,2.83,2.8,2.93,0.0,0.0,19874
05/17/2019,2.96,2.92,2.8505,2.98,0.0,0.0,42909
05/16/2019,3.0681,3,3,3.0681,0.0,0.0,23858
05/15/2019,3.02,3.0101,3,3.0824,0.0,0.0,15609
05/14/2019,3.01,3.04,3,3.11,0.0,0.0,43308
05/13/2019,3,2.99,2.95,3.02,0.0,0.0,34491
05/10/2019,3.02,3.04,3.02,3.13,0.0,0.0,14072
05/09/2019,3.05,3.08,3,3.1,0.0,0.0,22164
05/08/2019,3.02,3.05,3.02,3.15,0.0,0.0,32268
05/07/2019,3.06,3.08,3.01,3.0946,0.0,0.0,14690
05/06/2019,3.01,3.07,2.961,3.1,0.0,0.0,41798
05/03/2019,3.07,3.08,3.06,3.141,0.0,0.0,10980
05/02/2019,3.11,3.08,3.06,3.1462,0.0,0.0,12109
05/01/2019,2.97,3.15,2.96,3.1799,0.0,0.0,40605
04/30/2019,3.03,2.98,2.95,3.07,0.0,0.0,70597
04/29/2019,3.12,3.04,3.01,3.1349,0.0,0.0,67183
04/26/2019,3.09,3.09,3.0484,3.1271,0.0,0.0,35435
04/25/2019,3.21,3.13,3.04,3.21,0.0,0.0,58670
04/24/2019,3.07,3.2,3.0107,3.25,0.0,0.0,197646
04/23/2019,3.11,3.06,3,3.16,0.0,0.0,143040
04/22/2019,3.22,3.14,3.0801,3.22,0.0,0.0,57186
04/18/2019,3.08,3.13,3,3.23,0.0,0.0,111966
04/17/2019,3.28,3.1,2.91,3.3028,0.0,0.0,160329
04/16/2019,3.26,3.29,3.26,3.49,0.0,0.0,188493
