Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,47.9,47.9,47.9,47.9,0.0,0.0,00
07/15/2019,47.9,47.9,47.9,47.9,0.0,0.0,00
07/12/2019,47.9,47.9,47.9,47.9,0.0,0.0,00
07/11/2019,47.9,47.9,47.9,47.9,0.0,0.0,00
07/10/2019,47.9,47.9,47.9,47.9,0.0,0.0,00
07/09/2019,47.9,47.9,47.9,47.9,0.0,0.0,00
07/08/2019,47.9,47.9,47.9,47.9,0.0,0.0,00
07/05/2019,47.9,47.9,47.9,47.9,0.0,0.0,00
07/03/2019,47.9,47.9,47.9,47.9,0.0,0.0,00
07/02/2019,47.9,47.9,47.9,47.9,0.0,0.0,100
07/01/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
06/28/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
06/27/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
06/26/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
06/25/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
06/24/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
06/21/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
06/20/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
06/19/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
06/18/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
06/17/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
06/14/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
06/13/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
06/12/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
06/11/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
06/10/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
06/07/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
06/06/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
06/05/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
06/04/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
06/03/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
05/31/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
05/30/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
05/29/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
05/28/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
05/24/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
05/23/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
05/22/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
05/21/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
05/20/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
05/17/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
05/16/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
05/15/2019,42.56,42.56,42.56,42.56,0.0,0.0,00
05/14/2019,42.56,42.56,42.56,42.56,0.0,0.0,1602
05/13/2019,41.508,41.41,41.35,41.7831,0.0,0.0,4127
05/10/2019,45.1375,45.1375,45.1375,45.1375,0.0,0.0,00
05/09/2019,45.1375,45.1375,45.1375,45.1375,0.0,0.0,00
05/08/2019,45.1375,45.1375,45.1375,45.1375,0.0,0.0,00
05/07/2019,44.9638,45.1375,44.64,45.72,0.0,0.0,3931
05/06/2019,46.55,46.55,46.55,46.55,0.0,0.0,00
05/03/2019,46.55,46.55,46.55,46.55,0.0,0.0,100
05/02/2019,46.57,46.57,46.57,46.57,0.0,0.0,00
05/01/2019,46.57,46.57,46.57,46.57,0.0,0.0,00
04/30/2019,46.57,46.57,46.57,46.57,0.0,0.0,00
04/29/2019,46.57,46.57,46.57,46.57,0.0,0.0,00
04/26/2019,46.57,46.57,46.57,46.57,0.0,0.0,00
04/25/2019,46.57,46.57,46.57,46.57,0.0,0.0,100
04/24/2019,46.64,46.64,46.64,46.64,0.0,0.0,00
04/23/2019,46.64,46.64,46.64,46.64,0.0,0.0,106
04/22/2019,46.21,46.21,46.21,46.21,0.0,0.0,100
04/18/2019,43.18,43.18,43.18,43.18,0.0,0.0,00
04/17/2019,43.18,43.18,43.18,43.18,0.0,0.0,00
04/16/2019,43.18,43.18,43.18,43.18,0.0,0.0,00
