Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,2.92,2.9,2.82,2.94,0.0,0.0,35457
07/15/2019,2.78,2.92,2.65,2.93,0.0,0.0,58060
07/12/2019,2.87,2.75,2.75,2.89,0.0,0.0,85287
07/11/2019,3.02,2.89,2.86,3.05,0.0,0.0,42908
07/10/2019,2.95,3.02,2.8,3.0839,0.0,0.0,84201
07/09/2019,3.18,2.93,2.9,3.18,0.0,0.0,88387
07/08/2019,3.41,3.18,3.11,3.41,0.0,0.0,99194
07/05/2019,3.55,3.38,3.06,3.6,0.0,0.0,86462
07/03/2019,3.66,3.63,3.47,3.66,0.0,0.0,27476
07/02/2019,4,3.64,3.6,4.01,0.0,0.0,67864
07/01/2019,4.2,3.79,3.725,4.2,0.0,0.0,99678
06/28/2019,4.1,4.15,4.01,4.2895,0.0,0.0,345231
06/27/2019,4.49,4.15,4.01,4.49,0.0,0.0,85843
06/26/2019,4.2,4.49,4.19,4.6,0.0,0.0,157523
06/25/2019,4.22,4.35,4.13,4.475,0.0,0.0,85127
06/24/2019,4.01,4.17,3.91,4.3,0.0,0.0,48395
06/21/2019,3.84,4.01,3.5501,4.08,0.0,0.0,80761
06/20/2019,3.81,3.87,3.81,3.95,0.0,0.0,23468
06/19/2019,3.69,3.85,3.5607,3.88,0.0,0.0,29782
06/18/2019,3.73,3.72,3.54,3.73,0.0,0.0,20511
06/17/2019,3.6,3.73,3.46,3.73,0.0,0.0,35946
06/14/2019,3.71,3.61,3.463,3.71,0.0,0.0,28162
06/13/2019,3.77,3.65,3.29,3.77,0.0,0.0,36698
06/12/2019,3.56,3.72,3.3,3.72,0.0,0.0,45495
06/11/2019,3.6156,3.53,3.5,3.6156,0.0,0.0,100616
06/10/2019,3.53,3.56,3.5,3.7,0.0,0.0,73844
06/07/2019,3.5,3.51,3.5,3.72,0.0,0.0,102634
06/06/2019,3.3,3.64,3.3,3.67,0.0,0.0,94782
06/05/2019,3.55,3.36,3.1401,3.55,0.0,0.0,53565
06/04/2019,3.74,3.54,3.53,3.74,0.0,0.0,31529
06/03/2019,3.75,3.71,3.5804,3.85,0.0,0.0,42367
05/31/2019,3.75,3.78,3.6,3.81,0.0,0.0,36194
05/30/2019,3.792,3.76,3.75,3.82,0.0,0.0,41044
05/29/2019,4.08,3.82,3.67,4.08,0.0,0.0,26621
05/28/2019,4.11,4.1,4.08,4.13,0.0,0.0,15054
05/24/2019,4.089,4.11,4.05,4.2,0.0,0.0,38771
05/23/2019,4.24,4,3.99,4.24,0.0,0.0,42124
05/22/2019,4.24,4.26,4.18,4.31,0.0,0.0,36697
05/21/2019,4.22,4.24,4.1123,4.25,0.0,0.0,30947
05/20/2019,4.23,4.23,4.05,4.29,0.0,0.0,27677
05/17/2019,4.36,4.25,4.14,4.4378,0.0,0.0,45660
05/16/2019,4.63,4.36,4.2,4.69,0.0,0.0,59776
05/15/2019,4.67,4.58,4.46,4.67,0.0,0.0,97194
05/14/2019,4.704,4.75,4.65,4.84,0.0,0.0,46599
05/13/2019,4.81,4.7,4.65,4.94,0.0,0.0,62942
05/10/2019,4.813,4.97,4.71,5.04,0.0,0.0,42533
05/09/2019,5.01,4.81,4.81,5.19,0.0,0.0,49076
05/08/2019,4.86,5.01,4.86,5.19,0.0,0.0,74051
05/07/2019,4.87,4.8,4.7,5.1,0.0,0.0,93097
05/06/2019,4.76,4.93,4.72,5.1,0.0,0.0,29084
05/03/2019,4.77,4.88,4.75,4.95,0.0,0.0,22122
05/02/2019,4.96,4.71,4.65,5.0264,0.0,0.0,85704
05/01/2019,5.02,4.66,4.65,5.03,0.0,0.0,36546
04/30/2019,4.93,4.97,4.82,5,0.0,0.0,115044
04/29/2019,4.79,4.91,4.74,4.99,0.0,0.0,29427
04/26/2019,4.55,4.78,4.48,4.79,0.0,0.0,62263
04/25/2019,4.6,4.52,4.44,4.81,0.0,0.0,35593
04/24/2019,5,4.61,4.52,5,0.0,0.0,39411
04/23/2019,4.63,4.58,4.48,4.7343,0.0,0.0,31038
04/22/2019,5.03,4.62,4.55,5.1204,0.0,0.0,33009
04/18/2019,4.93,5,4.93,5.19,0.0,0.0,55773
04/17/2019,5.085,5,4.81,5.19,0.0,0.0,39124
04/16/2019,4.92,5.11,4.87,5.18,0.0,0.0,38889
