Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,9.34,10.0901,9.15,10.66,0.0,0.0,348612
07/15/2019,9.15,9.26,8.95,9.48,0.0,0.0,251309
07/12/2019,8.26,9.06,8.2,9.5899,0.0,0.0,330709
07/11/2019,8.52,8.32,8.0501,8.65,0.0,0.0,220852
07/10/2019,8.23,8.5,8.15,8.7677,0.0,0.0,175710
07/09/2019,7.18,8.15,7.18,9,0.0,0.0,210551
07/08/2019,6.6499,7.33,6.4035,7.44,0.0,0.0,189639
07/05/2019,6.57,6.65,6.25,6.68,0.0,0.0,100483
07/03/2019,6.45,6.55,6.28,6.68,0.0,0.0,53089
07/02/2019,6.2,6.4,6.05,6.5325,0.0,0.0,78573
07/01/2019,6.05,6.2,5.98,6.3,0.0,0.0,49914
06/28/2019,6.11,6.26,5.87,6.35,0.0,0.0,27179
06/27/2019,5.39,6.28,5.26,6.28,0.0,0.0,31462
06/26/2019,5.81,5.305,5.27,5.81,0.0,0.0,6985
06/25/2019,5.94,5.94,5.94,5.94,0.0,0.0,00
06/24/2019,5.9,5.94,5.5,6.14,0.0,0.0,12165
06/21/2019,6.1799,6.1599,5.41,6.1799,0.0,0.0,2066
06/20/2019,5.8,6,5.8,6.09,0.0,0.0,1849
06/19/2019,6.18,6.2099,5.98,6.22,0.0,0.0,9364
06/18/2019,5.96,6.07,5.96,6.22,0.0,0.0,9129
06/17/2019,6.36,6.05,5.86,6.36,0.0,0.0,2764
06/14/2019,6.16,5.89,5.88,6.17,0.0,0.0,6126
06/13/2019,6.35,6.2695,6.09,6.35,0.0,0.0,3266
06/12/2019,6.13,6.28,6.0001,6.356,0.0,0.0,4661
06/11/2019,6.22,6.15,6.15,6.22,0.0,0.0,462
06/10/2019,6.17,6.3299,6.1,6.3492,0.0,0.0,6456
06/07/2019,6.2499,6.05,5.7615,6.2499,0.0,0.0,19456
06/06/2019,6.2,5.21,4.95,6.37,0.0,0.0,87705
06/05/2019,6.33,6.1475,6.12,6.41,0.0,0.0,41901
06/04/2019,6.62,6.36,6.22,6.62,0.0,0.0,49611
06/03/2019,6.5,6.3,6.0601,6.75,0.0,0.0,54589
05/31/2019,6.68,6.22,6.2,6.8,0.0,0.0,53460
05/30/2019,6.53,6.63,6.52,6.66,0.0,0.0,51456
05/29/2019,6.66,6.5,6.5,6.67,0.0,0.0,52976
05/28/2019,6.67,6.58,6.44,6.68,0.0,0.0,54143
05/24/2019,6.669,6.65,6.35,6.67,0.0,0.0,54202
05/23/2019,6.58,6.645,6.23,6.645,0.0,0.0,55925
05/22/2019,6.73,6.47,6.2,6.73,0.0,0.0,46253
05/21/2019,6.25,6.3875,5.88,6.49,0.0,0.0,52371
05/20/2019,6.69,6.17,5.98,6.69,0.0,0.0,61803
05/17/2019,6.78,6.8,6.09,7.1333,0.0,0.0,58810
05/16/2019,7.38,6.72,6.38,7.46,0.0,0.0,63399
05/15/2019,7.46,7.39,7.2816,7.77,0.0,0.0,94570
05/14/2019,6.41,7.5,6.41,8.32,0.0,0.0,126577
05/13/2019,6.16,6.5274,6.16,6.76,0.0,0.0,78923
05/10/2019,6.07,6.16,5.8801,6.16,0.0,0.0,50888
05/09/2019,6.12,6.18,6.05,6.18,0.0,0.0,52852
05/08/2019,6.03,6.16,6.03,6.16,0.0,0.0,50407
05/07/2019,6.02,6.14,5.91,6.169,0.0,0.0,49170
05/06/2019,6,6.15,5.901,6.18,0.0,0.0,51309
05/03/2019,6.0248,6.0999,5.8325,6.23,0.0,0.0,3382
05/02/2019,6.29,6.02,6.02,6.7899,0.0,0.0,14252
05/01/2019,6.48,6.4,6.29,6.48,0.0,0.0,1001
04/30/2019,6.4,6.5,6.25,6.7985,0.0,0.0,10694
04/29/2019,6.0501,6.6,6.0501,6.7999,0.0,0.0,11456
04/26/2019,6.57,6.55,6.4001,6.8,0.0,0.0,3780
04/25/2019,6.38,6.79,6.08,6.8,0.0,0.0,10846
04/24/2019,6.63,6.8,6.58,6.999,0.0,0.0,12154
04/23/2019,6.87,6.635,6.3,6.87,0.0,0.0,20588
04/22/2019,6.9809,6.3001,6.3001,6.9809,0.0,0.0,460
04/18/2019,7.01,6.4703,5.74,7.01,0.0,0.0,14453
04/17/2019,6.8,6.8,6.8,6.8,0.0,0.0,325
04/16/2019,6.74,6.8,6.74,7.0899,0.0,0.0,4340
