Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,19.61,19.88,19.47,19.9,0.0,0.0,199697
07/15/2019,19.82,19.61,19.49,19.82,0.0,0.0,176078
07/12/2019,19.8,19.83,19.56,19.93,0.0,0.0,129369
07/11/2019,20.12,19.89,19.73,20.12,0.0,0.0,163265
07/10/2019,20.14,20.05,20.03,20.47,0.0,0.0,253923
07/09/2019,20.08,20.14,19.8,20.3,0.0,0.0,308885
07/08/2019,20.45,20.21,20.04,20.56,0.0,0.0,148891
07/05/2019,20.46,20.58,20.37,20.605,0.0,0.0,136106
07/03/2019,20.49,20.52,20.17,20.8,0.0,0.0,190438
07/02/2019,20.74,20.56,20.34,20.74,0.0,0.0,193709
07/01/2019,20.86,20.67,20.58,20.91,0.0,0.0,240550
06/28/2019,20.4,20.64,20.4,20.84,0.0,0.0,975828
06/27/2019,20.21,20.32,20.04,20.32,0.0,0.0,294263
06/26/2019,20.27,20.17,20.12,20.54,0.0,0.0,210079
06/25/2019,20.55,20.24,20.01,20.63,0.0,0.0,328606
06/24/2019,20.93,20.45,20.4,20.99,0.0,0.0,243514
06/21/2019,21.07,20.91,20.62,21.07,0.0,0.0,566079
06/20/2019,21.54,21.16,21.14,21.73,0.0,0.0,153713
06/19/2019,21.42,21.41,21.28,21.54,0.0,0.0,189662
06/18/2019,21.36,21.43,21.34,21.71,0.0,0.0,197101
06/17/2019,21.36,21.26,21.095,21.395,0.0,0.0,286364
06/14/2019,21.78,21.31,21.3,21.81,0.0,0.0,138399
06/13/2019,21.78,21.73,21.46,21.79,0.0,0.0,223615
06/12/2019,21.55,21.71,21.42,21.765,0.0,0.0,178426
06/11/2019,21.88,21.56,21.3,21.95,0.0,0.0,210180
06/10/2019,21.57,21.72,21.405,21.91,0.0,0.0,220877
06/07/2019,21.37,21.56,21.29,21.73,0.0,0.0,136876
06/06/2019,21.49,21.24,21.09,21.66,0.0,0.0,189902
06/05/2019,21.71,21.49,21.24,21.71,0.0,0.0,228860
06/04/2019,21.14,21.64,21.02,21.65,0.0,0.0,153918
06/03/2019,21.02,21.01,20.9,21.26,0.0,0.0,358586
05/31/2019,20.89,21.1,20.745,21.22,0.0,0.0,231144
05/30/2019,20.87,21.06,20.87,21.33,0.0,0.0,274607
05/29/2019,20.36,20.84,20.24,20.985,0.0,0.0,452786
05/28/2019,20.85,20.44,20.38,21.11,0.0,0.0,212166
05/24/2019,20.57,20.79,20.57,21.52,0.0,0.0,207772
05/23/2019,20.7,20.4,20.3,20.75,0.0,0.0,365022
05/22/2019,20.8,20.92,20.59,21,0.0,0.0,186182
05/21/2019,20.95,20.82,20.79,21.28,0.0,0.0,311083
05/20/2019,20.75,20.76,20.4,21.09,0.0,0.0,164730
05/17/2019,21.36,21,20.9,21.54,0.0,0.0,302595
05/16/2019,21.5,21.54,21.37,21.71,0.0,0.0,295993
05/15/2019,21.24,21.48,21.24,21.6,0.0,0.0,213949
05/14/2019,21.5,21.51,21.35,21.76,0.0,0.0,273896
05/13/2019,21.68,21.45,21.24,21.69,0.0,0.0,250477
05/10/2019,21.77,22.07,21.37,22.15,0.0,0.0,259637
05/09/2019,21.94,21.9,21.22,21.94,0.0,0.0,334455
05/08/2019,22.12,21.98,21.695,22.45,0.0,0.0,443743
05/07/2019,22.19,22.32,20.4,23.46,0.0,0.0,1239689
05/06/2019,23.43,24.25,23.18,24.335,0.0,0.0,335157
05/03/2019,23.2,23.7,23.1,23.71,0.0,0.0,235507
05/02/2019,22.69,23.1,22.62,23.14,0.0,0.0,134255
05/01/2019,22.85,22.75,22.53,23.05,0.0,0.0,347609
04/30/2019,22.96,22.81,22.505,23.26,0.0,0.0,225916
04/29/2019,22.62,22.96,22.43,23.01,0.0,0.0,147814
04/26/2019,22.57,22.55,22.41,22.68,0.0,0.0,130590
04/25/2019,22.1,22.53,21.91,22.55,0.0,0.0,199517
04/24/2019,22.34,22.23,22,22.45,0.0,0.0,250439
04/23/2019,21.79,22.32,21.75,22.63,0.0,0.0,197054
04/22/2019,21.85,21.89,21.49,22.25,0.0,0.0,170761
04/18/2019,21.73,21.97,21.355,22.03,0.0,0.0,272826
04/17/2019,22.89,21.65,21.25,22.89,0.0,0.0,609643
04/16/2019,23.66,22.77,22.6,23.89,0.0,0.0,233048
