Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,25.49,25.517,25.4,25.527,0.0,0.0,1778
07/15/2019,25.4,25.4,25.38,25.4335,0.0,0.0,3689
07/12/2019,25.35,25.35,25.35,25.351,0.0,0.0,1105
07/11/2019,25.325,25.35,25.32,25.365,0.0,0.0,4153
07/10/2019,25.268,25.33,25.25,25.33,0.0,0.0,4009
07/09/2019,25.2001,25.25,25.2001,25.25,0.0,0.0,6853
07/08/2019,25.1,25.2,25.1,25.24,0.0,0.0,10835
07/05/2019,25.05,25.08,25.05,25.1,0.0,0.0,9849
07/03/2019,25.05,25.1,25.05,25.12,0.0,0.0,9956
07/02/2019,25.05,25.05,25.0301,25.08,0.0,0.0,4518
07/01/2019,25.03,25.0454,25.0244,25.06,0.0,0.0,9894
06/28/2019,25.09,25,25,25.09,0.0,0.0,7385
06/27/2019,25.45,25.46,25.45,25.5,0.0,0.0,7565
06/26/2019,25.41,25.4,25.4,25.5267,0.0,0.0,6905
06/25/2019,25.4,25.42,25.4,25.5,0.0,0.0,8829
06/24/2019,25.4,25.4,25.4,25.5333,0.0,0.0,6539
06/21/2019,25.45,25.42,25.4,25.7149,0.0,0.0,9328
06/20/2019,25.45,25.45,25.4,25.5,0.0,0.0,2323
06/19/2019,25.38,25.45,25.38,25.467,0.0,0.0,3768
06/18/2019,25.36,25.4,25.36,25.55,0.0,0.0,6580
06/17/2019,25.5,25.44,25.36,25.5129,0.0,0.0,8598
06/14/2019,25.59,25.5177,25.46,25.63,0.0,0.0,7358
06/13/2019,25.52,25.6151,25.5,25.6151,0.0,0.0,6372
06/12/2019,25.55,25.6,25.55,25.6499,0.0,0.0,8827
06/11/2019,25.53,25.53,25.53,25.59,0.0,0.0,2564
06/10/2019,25.52,25.5,25.5,25.5234,0.0,0.0,2454
06/07/2019,25.575,25.51,25.51,25.63,0.0,0.0,3767
06/06/2019,25.592,25.52,25.5,25.648,0.0,0.0,4970
06/05/2019,25.649,25.55,25.55,25.75,0.0,0.0,11082
06/04/2019,25.6,25.61,25.6,25.71,0.0,0.0,6626
06/03/2019,25.7,25.55,25.55,25.93,0.0,0.0,3739
05/31/2019,25.6,25.67,25.5,25.68,0.0,0.0,10180
05/30/2019,25.6,25.6888,25.6,25.6888,0.0,0.0,2787
05/29/2019,25.75,25.6,25.6,25.82,0.0,0.0,6805
05/28/2019,25.85,25.69,25.69,25.85,0.0,0.0,7086
05/24/2019,25.88,25.7413,25.69,25.88,0.0,0.0,4293
05/23/2019,25.93,25.8968,25.75,25.93,0.0,0.0,5979
05/22/2019,25.95,25.825,25.8,25.95,0.0,0.0,6294
05/21/2019,25.94,25.875,25.85,25.94,0.0,0.0,3921
05/20/2019,25.94,25.9484,25.871,25.9484,0.0,0.0,1280
05/17/2019,25.82,26,25.8001,26,0.0,0.0,1050
05/16/2019,25.9,25.83,25.8,26.0607,0.0,0.0,27620
05/15/2019,25.908,25.9,25.85,25.97,0.0,0.0,4035
05/14/2019,26,26.03,25.86,26.03,0.0,0.0,8261
05/13/2019,25.95,25.9421,25.9421,26.025,0.0,0.0,2215
05/10/2019,25.9,25.9,25.88,26,0.0,0.0,6478
05/09/2019,26.15,25.91,25.91,26.15,0.0,0.0,5190
05/08/2019,26.2205,26.0731,26,26.2205,0.0,0.0,9508
05/07/2019,26.2,26,25.9631,26.2705,0.0,0.0,6615
05/06/2019,26.41,25.88,25.88,26.41,0.0,0.0,30072
05/03/2019,25.5672,25.5501,25.51,25.6,0.0,0.0,5400
05/02/2019,25.92,25.6623,25.6623,25.92,0.0,0.0,641
05/01/2019,25.618,25.3924,25.3924,25.7636,0.0,0.0,7435
04/30/2019,25.35,25.5688,25.35,26.635,0.0,0.0,18160
04/29/2019,25.14,25.05,25.05,25.21,0.0,0.0,3325
04/26/2019,25.2,25.15,25.052,25.3,0.0,0.0,2925
04/25/2019,25.16,25.2,25.158,25.2,0.0,0.0,2040
04/24/2019,25.16,25.163,25.1555,25.1973,0.0,0.0,1500
04/23/2019,25.24,25.2013,25.2013,25.24,0.0,0.0,1199
04/22/2019,25.1,25.1419,25.0693,25.193,0.0,0.0,4286
04/18/2019,25.11,25.1012,25.0925,25.1172,0.0,0.0,1840
04/17/2019,25.25,25.2479,25.11,25.281,0.0,0.0,2856
04/16/2019,25.26,25.2,25.2,25.26,0.0,0.0,1608
