Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,16.7,16.58,16.58,16.85,0.0,0.0,86709
07/15/2019,17.08,16.68,16.28,17.08,0.0,0.0,135354
07/12/2019,16.6,17.08,16.56,17.17,0.0,0.0,188667
07/11/2019,16.71,16.54,16.44,16.85,0.0,0.0,86290
07/10/2019,17.01,16.78,16.72,17.08,0.0,0.0,63600
07/09/2019,16.87,16.98,16.7016,17.03,0.0,0.0,55454
07/08/2019,17.06,16.96,16.82,17.08,0.0,0.0,67774
07/05/2019,16.83,17.15,16.83,17.19,0.0,0.0,54093
07/03/2019,16.72,16.8,16.63,16.91,0.0,0.0,58152
07/02/2019,17.05,16.65,16.53,17.15,0.0,0.0,82510
07/01/2019,17.42,17.14,17,17.42,0.0,0.0,99361
06/28/2019,17.21,17.15,17.09,17.48,0.0,0.0,551669
06/27/2019,16.53,17.11,16.53,17.12,0.0,0.0,112599
06/26/2019,16.57,16.54,16.41,16.69,0.0,0.0,71005
06/25/2019,16.2,16.5,15.985,16.51,0.0,0.0,134089
06/24/2019,16.77,16.21,16.19,16.88,0.0,0.0,97859
06/21/2019,16.97,16.81,16.76,17.21,0.0,0.0,344614
06/20/2019,17.26,17.1,16.82,17.26,0.0,0.0,94528
06/19/2019,17.36,17.16,17.13,17.67,0.0,0.0,68885
06/18/2019,16.86,17.38,16.84,17.64,0.0,0.0,157841
06/17/2019,17.18,16.91,16.79,17.18,0.0,0.0,171557
06/14/2019,17.07,16.99,16.81,17.1,0.0,0.0,100570
06/13/2019,16.78,17.08,16.74,17.25,0.0,0.0,130386
06/12/2019,16.49,16.7,16.42,16.75,0.0,0.0,162982
06/11/2019,16.5,16.62,16.36,16.755,0.0,0.0,166915
06/10/2019,15.96,16.25,15.96,16.31,0.0,0.0,174561
06/07/2019,15.62,15.77,15.48,15.88,0.0,0.0,76929
06/06/2019,15.92,15.63,15.47,15.98,0.0,0.0,106166
06/05/2019,15.88,16.01,15.79,16.25,0.0,0.0,161149
06/04/2019,16.05,16.16,16,16.28,0.0,0.0,184195
06/03/2019,15.51,15.86,15.51,16.01,0.0,0.0,101531
05/31/2019,15.46,15.53,15.41,15.645,0.0,0.0,191596
05/30/2019,16.3,15.83,15.57,16.43,0.0,0.0,97301
05/29/2019,15.95,16.22,15.76,16.265,0.0,0.0,113601
05/28/2019,16.18,16.11,16,16.29,0.0,0.0,145304
05/24/2019,16.28,16.24,16.08,16.43,0.0,0.0,109484
05/23/2019,16.21,16.18,16,16.23,0.0,0.0,157202
05/22/2019,16.62,16.41,16.25,16.62,0.0,0.0,94403
05/21/2019,16.48,16.66,16.4,16.67,0.0,0.0,64435
05/20/2019,16.13,16.45,16.031,16.56,0.0,0.0,78119
05/17/2019,16.36,16.32,16.3,16.8,0.0,0.0,83526
05/16/2019,16.65,16.57,16.49,16.92,0.0,0.0,133600
05/15/2019,16.5,16.56,16.28,16.67,0.0,0.0,108321
05/14/2019,16.52,16.72,16.37,16.77,0.0,0.0,102464
05/13/2019,16.68,16.5,16.27,16.81,0.0,0.0,238031
05/10/2019,16.73,16.83,16.42,16.83,0.0,0.0,270236
05/09/2019,16.69,16.82,16.56,16.92,0.0,0.0,123883
05/08/2019,16.79,16.78,16.5901,16.88,0.0,0.0,136781
05/07/2019,16.96,16.85,16.73,17.04,0.0,0.0,106589
05/06/2019,17,17.15,16.94,17.33,0.0,0.0,160881
05/03/2019,17.03,17.33,17,17.5111,0.0,0.0,175180
05/02/2019,17.07,17.04,16.96,17.365,0.0,0.0,131010
05/01/2019,17.53,17.1,17,17.78,0.0,0.0,113804
04/30/2019,17.95,17.47,17.31,18.0196,0.0,0.0,134316
04/29/2019,17.5,17.95,17.5,18.24,0.0,0.0,269223
04/26/2019,16.27,17.47,16.26,17.55,0.0,0.0,213835
04/25/2019,16.21,16.17,15.88,16.63,0.0,0.0,321648
04/24/2019,16.32,16.21,16.16,16.4101,0.0,0.0,101932
04/23/2019,16.25,16.33,16.08,16.52,0.0,0.0,191471
04/22/2019,16.7,16.29,16.15,16.7,0.0,0.0,131388
04/18/2019,16.66,16.6,16.44,16.72,0.0,0.0,157115
04/17/2019,16.71,16.74,16.46,16.77,0.0,0.0,86682
04/16/2019,16.12,16.61,16,16.64,0.0,0.0,102943
