Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,2.07,2.02,1.96,2.08,0.0,0.0,294707
07/15/2019,2,2.03,1.9706,2.07,0.0,0.0,267258
07/12/2019,1.99,1.97,1.9515,2.0884,0.0,0.0,513523
07/11/2019,1.89,1.99,1.7,2.0369,0.0,0.0,790939
07/10/2019,2.08,2.06,1.93,2.09,0.0,0.0,296670
07/09/2019,2.02,2.045,2,2.07,0.0,0.0,351808
07/08/2019,2,2.03,1.99,2.15,0.0,0.0,1002038
07/05/2019,1.74,1.94,1.74,1.959,0.0,0.0,637589
07/03/2019,1.72,1.74,1.715,1.8,0.0,0.0,196285
07/02/2019,1.75,1.74,1.7,1.79,0.0,0.0,127818
07/01/2019,1.83,1.74,1.7,1.83,0.0,0.0,143152
06/28/2019,1.73,1.79,1.68,1.82,0.0,0.0,345882
06/27/2019,1.63,1.7348,1.62,1.7348,0.0,0.0,161472
06/26/2019,1.63,1.64,1.63,1.69,0.0,0.0,67756
06/25/2019,1.66,1.65,1.63,1.7299,0.0,0.0,141622
06/24/2019,1.68,1.65,1.61,1.72,0.0,0.0,139859
06/21/2019,1.71,1.68,1.61,1.74,0.0,0.0,206864
06/20/2019,1.58,1.69,1.57,1.74,0.0,0.0,294977
06/19/2019,1.53,1.55,1.52,1.6,0.0,0.0,107222
06/18/2019,1.55,1.55,1.51,1.5922,0.0,0.0,143904
06/17/2019,1.52,1.52,1.51,1.5967,0.0,0.0,114015
06/14/2019,1.51,1.53,1.47,1.55,0.0,0.0,187728
06/13/2019,1.4,1.5,1.39,1.54,0.0,0.0,276925
06/12/2019,1.42,1.41,1.37,1.42,0.0,0.0,85389
06/11/2019,1.39,1.3915,1.36,1.43,0.0,0.0,136197
06/10/2019,1.42,1.38,1.35,1.44,0.0,0.0,109360
06/07/2019,1.39,1.42,1.36,1.42,0.0,0.0,108349
06/06/2019,1.36,1.36,1.35,1.3831,0.0,0.0,79873
06/05/2019,1.43,1.36,1.35,1.4691,0.0,0.0,185958
06/04/2019,1.43,1.44,1.38,1.4682,0.0,0.0,83250
06/03/2019,1.48,1.44,1.42,1.5,0.0,0.0,50069
05/31/2019,1.46,1.45,1.43,1.49,0.0,0.0,103217
05/30/2019,1.45,1.47,1.41,1.52,0.0,0.0,111497
05/29/2019,1.48,1.4773,1.41,1.49,0.0,0.0,121905
05/28/2019,1.53,1.51,1.46,1.5399,0.0,0.0,123483
05/24/2019,1.53,1.525,1.51,1.5623,0.0,0.0,117625
05/23/2019,1.58,1.51,1.51,1.58,0.0,0.0,117323
05/22/2019,1.54,1.6,1.54,1.663,0.0,0.0,242244
05/21/2019,1.46,1.53,1.44,1.53,0.0,0.0,227330
05/20/2019,1.43,1.44,1.42,1.49,0.0,0.0,212290
05/17/2019,1.5,1.47,1.45,1.53,0.0,0.0,183904
05/16/2019,1.54,1.515,1.5,1.601,0.0,0.0,168670
05/15/2019,1.52,1.54,1.5048,1.56,0.0,0.0,264021
05/14/2019,1.55,1.54,1.51,1.5603,0.0,0.0,108194
05/13/2019,1.57,1.53,1.5,1.62,0.0,0.0,330360
05/10/2019,1.66,1.62,1.6,1.66,0.0,0.0,119703
05/09/2019,1.67,1.68,1.62,1.68,0.0,0.0,246046
05/08/2019,1.69,1.68,1.67,1.72,0.0,0.0,146196
05/07/2019,1.68,1.71,1.65,1.71,0.0,0.0,172358
05/06/2019,1.67,1.68,1.66,1.7398,0.0,0.0,113703
05/03/2019,1.68,1.72,1.653,1.74,0.0,0.0,170116
05/02/2019,1.68,1.67,1.62,1.7,0.0,0.0,220453
05/01/2019,1.71,1.7,1.67,1.73,0.0,0.0,98152
04/30/2019,1.77,1.7,1.69,1.78,0.0,0.0,93827
04/29/2019,1.69,1.76,1.6726,1.79,0.0,0.0,225538
04/26/2019,1.67,1.7,1.65,1.7,0.0,0.0,97714
04/25/2019,1.72,1.67,1.665,1.723,0.0,0.0,118838
04/24/2019,1.72,1.73,1.69,1.75,0.0,0.0,156812
04/23/2019,1.67,1.72,1.6511,1.78,0.0,0.0,232052
04/22/2019,1.6,1.69,1.58,1.74,0.0,0.0,170909
04/18/2019,1.62,1.62,1.55,1.64,0.0,0.0,356421
04/17/2019,1.75,1.64,1.62,1.75,0.0,0.0,435647
04/16/2019,1.78,1.75,1.703,1.7847,0.0,0.0,239742
