Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,189.32,190.18,187.67,191.14,0.0,0.0,1430112
07/15/2019,189.72,189.17,186.75,191.44,0.0,0.0,1815696
07/12/2019,185,189.52,184.6101,190.52,0.0,0.0,3094759
07/11/2019,183.71,183.07,181.6,184.41,0.0,0.0,1244646
07/10/2019,187,183.87,183.16,187.32,0.0,0.0,1466951
07/09/2019,184.93,186.05,183.9,186.5,0.0,0.0,2323075
07/08/2019,181.86,186.8,181.6,186.95,0.0,0.0,1882988
07/05/2019,183.2,183.21,180.7,183.4621,0.0,0.0,1511717
07/03/2019,181.51,183.99,180.8,184.47,0.0,0.0,1178847
07/02/2019,179.95,180.86,179.59,182.7,0.0,0.0,1859577
07/01/2019,182.33,179.95,179.31,183.83,0.0,0.0,1814231
06/28/2019,181,180.21,178.65,181.1083,0.0,0.0,3067023
06/27/2019,177.72,180.11,177.09,180.6862,0.0,0.0,1410696
06/26/2019,178.08,177.31,177.03,180.74,0.0,0.0,1944500
06/25/2019,182.64,177.26,175.17,182.89,0.0,0.0,2708571
06/24/2019,182.16,182.64,181.55,184.31,0.0,0.0,2053270
06/21/2019,184.6,181.87,180.85,184.8,0.0,0.0,4115936
06/20/2019,189.2,186.5,185.37,190.52,0.0,0.0,2365987
06/19/2019,188.1,187.1,186.09,189,0.0,0.0,1827560
06/18/2019,185.57,188.03,184.445,188.802,0.0,0.0,3034139
06/17/2019,177.74,183.34,177.09,184.68,0.0,0.0,3987460
06/14/2019,173.04,176.71,171.6048,177.72,0.0,0.0,3635664
06/13/2019,181.987,174.52,172.5,182.89,0.0,0.0,11076660
06/12/2019,171.93,170.89,169.29,173.445,0.0,0.0,5417579
06/11/2019,172.31,171.63,170.305,173.94,0.0,0.0,2016200
06/10/2019,174.34,171.35,170.98,176.38,0.0,0.0,1930903
06/07/2019,171.66,172.49,169.59,172.8,0.0,0.0,1846585
06/06/2019,173.51,170.38,169.71,173.5426,0.0,0.0,1685705
06/05/2019,170.14,173.52,169.38,173.82,0.0,0.0,1814462
06/04/2019,165.4,169,165.02,169.36,0.0,0.0,1273671
06/03/2019,165.83,163.87,162.29,167.5,0.0,0.0,1634928
05/31/2019,161.05,165.59,160.8838,165.63,0.0,0.0,1663712
05/30/2019,161.57,163.85,161.57,165.2924,0.0,0.0,1915343
05/29/2019,172.44,161.59,160.88,172.795,0.0,0.0,4857066
05/28/2019,173.11,173.55,173.02,176.04,0.0,0.0,2222412
05/24/2019,171.17,172.78,170.55,173.24,0.0,0.0,1509568
05/23/2019,173.56,170.2,169.99,174.93,0.0,0.0,1654377
05/22/2019,176,175.72,174.53,176.205,0.0,0.0,877522
05/21/2019,174.88,176.53,174.6,177.27,0.0,0.0,1444833
05/20/2019,171.05,174.15,170.28,174.86,0.0,0.0,1077031
05/17/2019,176.49,173,172.56,176.65,0.0,0.0,1577674
05/16/2019,173.9,176.8,173.68,177.06,0.0,0.0,1329962
05/15/2019,169.82,172.88,168.85,173.75,0.0,0.0,1223342
05/14/2019,168.54,170.68,167.32,171.505,0.0,0.0,1684300
05/13/2019,170,167.57,166.22,171.13,0.0,0.0,2020054
05/10/2019,173.51,173.68,170.0106,175.11,0.0,0.0,1120524
05/09/2019,173.53,173.71,171.28,174.89,0.0,0.0,1218839
05/08/2019,173.86,175.17,172.7924,177,0.0,0.0,1008255
05/07/2019,177,173.98,172.1,177.4999,0.0,0.0,1818564
05/06/2019,175.2,177.69,174.59,178.22,0.0,0.0,919872
05/03/2019,176.84,178.64,176.01,178.98,0.0,0.0,1036577
05/02/2019,176.65,176.55,174.81,177.75,0.0,0.0,1369549
05/01/2019,176.23,175.67,175.58,178.2729,0.0,0.0,1306986
04/30/2019,177.26,176.35,175.625,177.75,0.0,0.0,1198701
04/29/2019,176.61,177.5,176.5,178.85,0.0,0.0,1688244
04/26/2019,177.75,177.09,175.41,178.04,0.0,0.0,1522163
04/25/2019,178.34,177.29,176.6132,179.22,0.0,0.0,1685021
04/24/2019,177.79,178.27,174.41,179.495,0.0,0.0,2462158
04/23/2019,174.51,176.78,173.03,177.16,0.0,0.0,2342921
04/22/2019,173.2,173.02,172.04,173.66,0.0,0.0,1260610
04/18/2019,171.74,173.31,169.72,174.64,0.0,0.0,2292080
04/17/2019,169.89,171.23,167.93,171.99,0.0,0.0,1632370
04/16/2019,173,169.33,168.73,173.3225,0.0,0.0,1757926
