Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,142.99,143.96,142.6,144.24,0.0,0.0,1023541
07/15/2019,142.08,142.78,140.88,142.88,0.0,0.0,1656087
07/12/2019,142.23,142.55,141.64,142.75,0.0,0.0,1057918
07/11/2019,142.25,141.9,140.7,142.25,0.0,0.0,1290482
07/10/2019,139.43,141.57,139,141.62,0.0,0.0,1956849
07/09/2019,138.63,139.52,137.85,139.6099,0.0,0.0,1808107
07/08/2019,141.74,141.3,140.02,141.74,0.0,0.0,1166369
07/05/2019,140.89,142.01,139.634,142.18,0.0,0.0,1274148
07/03/2019,141.79,141.75,141.09,142.09,0.0,0.0,650541
07/02/2019,140.81,141.26,139.25,141.27,0.0,0.0,986446
07/01/2019,142.41,141.23,140.78,142.9,0.0,0.0,1825597
06/28/2019,138.45,140.29,138.15,140.46,0.0,0.0,3030299
06/27/2019,135.92,138.29,135.91,138.83,0.0,0.0,1865235
06/26/2019,134.15,135.65,133.7,136.26,0.0,0.0,1546274
06/25/2019,136.71,133.28,132.74,136.73,0.0,0.0,1729774
06/24/2019,137.4,136.76,136.39,137.98,0.0,0.0,1095189
06/21/2019,136.54,137.07,136.04,138.05,0.0,0.0,2353466
06/20/2019,136.9,137.19,136.46,138.42,0.0,0.0,1582731
06/19/2019,135,135.68,134.09,135.84,0.0,0.0,1222354
06/18/2019,135,134.96,133.85,136.3,0.0,0.0,1531626
06/17/2019,134.04,132.85,132.58,134.11,0.0,0.0,1263608
06/14/2019,133.63,133.68,132.17,134.03,0.0,0.0,872550
06/13/2019,133.26,133.62,132.03,134.33,0.0,0.0,1116059
06/12/2019,134.87,132.7,132.68,135.42,0.0,0.0,1184307
06/11/2019,134.14,134.52,133.21,135.47,0.0,0.0,1387618
06/10/2019,133.13,132.75,132.47,134.76,0.0,0.0,1315494
06/07/2019,129.5,132.52,129,133.03,0.0,0.0,1458481
06/06/2019,127.62,128.6,126.96,129.01,0.0,0.0,1355297
06/05/2019,128.55,127.55,126.44,128.6283,0.0,0.0,1422595
06/04/2019,126.3,128.18,125.51,128.24,0.0,0.0,1796099
06/03/2019,124.76,124.36,123.46,125.27,0.0,0.0,2263450
05/31/2019,123.45,124.84,122.46,125.57,0.0,0.0,2000013
05/30/2019,124.71,124.65,123.82,125.6,0.0,0.0,1116243
05/29/2019,123.29,124.42,122.52,124.63,0.0,0.0,1321921
05/28/2019,125.15,123.7,123.63,125.5,0.0,0.0,3209131
05/24/2019,124.63,125,124.38,125.74,0.0,0.0,1357083
05/23/2019,125.98,123.91,123.53,126.1,0.0,0.0,2227093
05/22/2019,128.83,127.77,127.63,129.1995,0.0,0.0,1620114
05/21/2019,128.71,129.43,128.065,129.65,0.0,0.0,1780139
05/20/2019,128.75,127.86,127.49,129.585,0.0,0.0,1591780
05/17/2019,132.15,130.91,130.87,133.17,0.0,0.0,1653493
05/16/2019,132.07,132.51,130.96,133.29,0.0,0.0,1818360
05/15/2019,128.79,131.83,127.27,132.33,0.0,0.0,1907858
05/14/2019,126.68,129.87,126.31,130.97,0.0,0.0,2273434
05/13/2019,129.47,126.01,125.72,129.78,0.0,0.0,2392067
05/10/2019,130.88,131.71,127.7,132.11,0.0,0.0,4463172
05/09/2019,133.93,135.47,132.79,136.17,0.0,0.0,1913728
05/08/2019,134.42,134.77,133.6,135.38,0.0,0.0,1244814
05/07/2019,136.16,135.15,134.0707,137.1,0.0,0.0,1547000
05/06/2019,137.46,137.75,136.58,138.17,0.0,0.0,1415294
05/03/2019,137.79,140.14,137.28,140.28,0.0,0.0,1076921
05/02/2019,138.55,136.89,135.72,139.055,0.0,0.0,1155505
05/01/2019,137.8,138.86,137.56,140.3715,0.0,0.0,1632054
04/30/2019,136.35,136.42,135.28,136.83,0.0,0.0,1259645
04/29/2019,136.45,135.97,135.82,137.1,0.0,0.0,1135880
04/26/2019,136.25,136.45,135.57,137.03,0.0,0.0,837462
04/25/2019,134.92,135.68,134.11,136.2,0.0,0.0,926129
04/24/2019,134.66,135.48,134.66,136.04,0.0,0.0,1231256
04/23/2019,136.28,136.28,135.44,136.79,0.0,0.0,1036940
04/22/2019,133.65,135.86,133.33,136.16,0.0,0.0,1182276
04/18/2019,136.74,134.41,133.49,136.74,0.0,0.0,1378277
04/17/2019,136.27,135.93,135.65,136.94,0.0,0.0,1111337
04/16/2019,134.4,135.8,134.37,135.91,0.0,0.0,979921
