Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,23.65,23.6,23.6,23.8034,0.0,0.0,3735
07/15/2019,23.59,23.59,23.59,23.9409,0.0,0.0,7998
07/12/2019,24.32,23.7814,23.64,24.32,0.0,0.0,20626
07/11/2019,24.38,24.4,24.365,24.4,0.0,0.0,5730
07/10/2019,24.4,24.4,24.3657,24.4,0.0,0.0,1546
07/09/2019,24.44,24.4,24.4,24.44,0.0,0.0,4119
07/08/2019,24.4,24.468,24.375,24.5,0.0,0.0,6062
07/05/2019,24.4,24.4,24.375,24.4,0.0,0.0,4800
07/03/2019,24.45,24.3975,24.3741,24.45,0.0,0.0,1000
07/02/2019,24.45,24.425,24.4,24.45,0.0,0.0,2724
07/01/2019,24.46,24.4168,24.4168,24.46,0.0,0.0,4314
06/28/2019,24.4552,24.451,24.4,24.485,0.0,0.0,1603
06/27/2019,24.4913,24.5391,24.3878,24.54,0.0,0.0,1989
06/26/2019,24.5,24.5559,24.4593,24.5559,0.0,0.0,850
06/25/2019,24.438,24.4,24.4,24.45,0.0,0.0,2040
06/24/2019,24.5,24.43,24.43,24.5,0.0,0.0,2404
06/21/2019,24.474,24.45,24.45,24.5,0.0,0.0,1363
06/20/2019,24.5,24.495,24.4529,24.5,0.0,0.0,3240
06/19/2019,24.5323,24.4988,24.49,24.55,0.0,0.0,3836
06/18/2019,24.55,24.55,24.4797,24.55,0.0,0.0,3317
06/17/2019,24.53,24.535,24.5,24.56,0.0,0.0,1502
06/14/2019,24.56,24.54,24.5201,24.6,0.0,0.0,11225
06/13/2019,24.55,24.5672,24.525,24.6,0.0,0.0,2399
06/12/2019,24.56,24.525,24.4831,24.6,0.0,0.0,2900
06/11/2019,24.63,24.6,24.6,24.6499,0.0,0.0,3050
06/10/2019,24.66,24.625,24.595,24.7,0.0,0.0,1319
06/07/2019,24.51,24.6836,24.51,24.75,0.0,0.0,1350
06/06/2019,24.645,24.45,24.45,24.8635,0.0,0.0,1000
06/05/2019,24.6519,24.714,24.6018,24.8516,0.0,0.0,1749
06/04/2019,24.511,24.5629,24.45,24.6323,0.0,0.0,2545
06/03/2019,24.4876,24.45,24.4299,24.8096,0.0,0.0,5595
05/31/2019,24.3753,24.5859,24.3753,24.6728,0.0,0.0,1200
05/30/2019,24.15,25.0333,24.15,25.0333,0.0,0.0,4060
05/29/2019,24.4718,24.4428,24.19,25.0417,0.0,0.0,3900
05/28/2019,24.636,24.3,24.21,24.636,0.0,0.0,2400
05/24/2019,24.41,24.41,24.39,24.5508,0.0,0.0,2200
05/23/2019,24.312,24.151,24.15,24.7461,0.0,0.0,3789
05/22/2019,24.4963,24.7532,24.4913,24.8677,0.0,0.0,3889
05/21/2019,24.52,24.8526,24.4508,25.07,0.0,0.0,8548
05/20/2019,24.7227,24.53,24.53,25.6336,0.0,0.0,4957
05/17/2019,24.45,24.7966,24.45,25.924,0.0,0.0,5137
05/16/2019,24.9692,24.87,24.85,25,0.0,0.0,1483
05/15/2019,24.6,24.9404,24.4457,24.9404,0.0,0.0,1800
05/14/2019,24.7543,24.8136,24.5484,24.8687,0.0,0.0,1762
05/13/2019,24.6,24.95,24.4579,24.95,0.0,0.0,2415
05/10/2019,24.7024,24.8562,24.479,24.8939,0.0,0.0,4463
05/09/2019,24.4501,24.58,24.4121,25,0.0,0.0,3494
05/08/2019,24.4504,24.491,24.37,24.7914,0.0,0.0,1550
05/07/2019,24.479,24.4912,24.29,24.7945,0.0,0.0,3327
05/06/2019,25,24.6808,24.3968,25,0.0,0.0,2200
05/03/2019,24.3692,24.3694,24.1587,24.6893,0.0,0.0,5168
05/02/2019,24.375,24.4253,24.174,24.6436,0.0,0.0,6200
05/01/2019,24.4007,24.6348,24.4007,24.6348,0.0,0.0,665
04/30/2019,24.15,24.1999,24.11,24.1999,0.0,0.0,1250
04/29/2019,24.1321,24.1851,24.11,24.2305,0.0,0.0,1901
04/26/2019,24.19,24.1578,24,24.19,0.0,0.0,798
04/25/2019,24.1,24.2802,24.1,24.2802,0.0,0.0,1122
04/24/2019,24.2045,24.2,24.2,24.3533,0.0,0.0,2639
04/23/2019,24.4,24.05,24,24.4,0.0,0.0,3608
04/22/2019,24.54,24.5,24.5,24.54,0.0,0.0,357
04/18/2019,24.4835,24.551,24.4701,24.754,0.0,0.0,4230
04/17/2019,24.641,24.6426,24.641,24.8,0.0,0.0,1434
04/16/2019,25,24.57,24.52,25,0.0,0.0,4689
