Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,0.22,0.235,0.22,0.235,0.0,0.0,114746
07/15/2019,0.23,0.235,0.23,0.235,0.0,0.0,3000
07/12/2019,0.229,0.2302,0.229,0.2302,0.0,0.0,2800
07/11/2019,0.227,0.227,0.227,0.227,0.0,0.0,29600
07/10/2019,0.227,0.227,0.227,0.228,0.0,0.0,50000
07/09/2019,0.32,0.227,0.227,0.32,0.0,0.0,52500
07/08/2019,0.32,0.31,0.3,0.33,0.0,0.0,208627
07/05/2019,0.31,0.31,0.31,0.31,0.0,0.0,150
07/03/2019,0.31,0.31,0.31,0.31,0.0,0.0,00
07/02/2019,0.31,0.31,0.31,0.31,0.0,0.0,11100
07/01/2019,0.31,0.29,0.29,0.32,0.0,0.0,107800
06/28/2019,0.3,0.29,0.29,0.31,0.0,0.0,38907
06/27/2019,0.325,0.3101,0.31,0.325,0.0,0.0,6784
06/26/2019,0.3199,0.3199,0.3199,0.3199,0.0,0.0,100
06/25/2019,0.34,0.3232,0.323,0.34,0.0,0.0,37516
06/24/2019,0.33,0.315,0.315,0.3499,0.0,0.0,4587
06/21/2019,0.273,0.32,0.273,0.36,0.0,0.0,625866
06/20/2019,0.22,0.22,0.22,0.22,0.0,0.0,00
06/19/2019,0.22,0.22,0.22,0.22,0.0,0.0,00
06/18/2019,0.22,0.22,0.22,0.22,0.0,0.0,00
06/17/2019,0.218,0.22,0.218,0.22,0.0,0.0,6200
06/14/2019,0.22,0.22,0.22,0.22,0.0,0.0,00
06/13/2019,0.22,0.22,0.22,0.22,0.0,0.0,00
06/12/2019,0.22,0.22,0.22,0.22,0.0,0.0,00
06/11/2019,0.22,0.22,0.19,0.231,0.0,0.0,122000
06/10/2019,0.27,0.25,0.25,0.27,0.0,0.0,400
06/07/2019,0.26,0.26,0.26,0.26,0.0,0.0,300
06/06/2019,0.3,0.27,0.27,0.3,0.0,0.0,10220
06/05/2019,0.22,0.22,0.22,0.22,0.0,0.0,1000
06/04/2019,0.2201,0.2201,0.2201,0.2201,0.0,0.0,00
06/03/2019,0.2201,0.2201,0.2201,0.2201,0.0,0.0,00
05/31/2019,0.22,0.2201,0.22,0.23,0.0,0.0,17600
05/30/2019,0.26,0.25,0.25,0.26,0.0,0.0,10400
05/29/2019,0.2701,0.2713,0.27,0.2715,0.0,0.0,5000
05/28/2019,0.29,0.29,0.29,0.29,0.0,0.0,5100
05/24/2019,0.3,0.3,0.3,0.31,0.0,0.0,42800
05/23/2019,0.3,0.3015,0.3,0.3015,0.0,0.0,12700
05/22/2019,0.2901,0.3,0.2901,0.3,0.0,0.0,4800
05/21/2019,0.35,0.28,0.28,0.35,0.0,0.0,56000
05/20/2019,0.3,0.3,0.3,0.3,0.0,0.0,00
05/17/2019,0.3,0.3,0.29,0.3015,0.0,0.0,800
05/16/2019,0.33,0.33,0.33,0.33,0.0,0.0,00
05/15/2019,0.33,0.33,0.33,0.33,0.0,0.0,00
05/14/2019,0.33,0.33,0.33,0.33,0.0,0.0,00
05/13/2019,0.28,0.33,0.28,0.34,0.0,0.0,79714
05/10/2019,0.3,0.3,0.3,0.3,0.0,0.0,00
05/09/2019,0.3,0.3,0.3,0.3,0.0,0.0,00
05/08/2019,0.3,0.3,0.3,0.3,0.0,0.0,00
05/07/2019,0.3,0.3,0.3,0.3,0.0,0.0,925
05/06/2019,0.3,0.3,0.3,0.3,0.0,0.0,00
05/03/2019,0.3,0.3,0.3,0.3,0.0,0.0,00
05/02/2019,0.27,0.3,0.26,0.3,0.0,0.0,20250
05/01/2019,0.26,0.26,0.26,0.26,0.0,0.0,00
04/30/2019,0.26,0.26,0.26,0.26,0.0,0.0,1000
04/29/2019,0.3,0.3,0.3,0.3,0.0,0.0,00
04/26/2019,0.3,0.3,0.3,0.3,0.0,0.0,00
04/25/2019,0.3,0.3,0.3,0.3,0.0,0.0,00
04/24/2019,0.3,0.3,0.3,0.3,0.0,0.0,00
04/23/2019,0.3,0.3,0.3,0.3,0.0,0.0,00
04/22/2019,0.3,0.3,0.3,0.3,0.0,0.0,100
04/18/2019,0.29,0.32,0.2884,0.32,0.0,0.0,29500
04/17/2019,0.3,0.3,0.3,0.3,0.0,0.0,00
04/16/2019,0.32,0.3,0.3,0.32,0.0,0.0,15900
