Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,0.36,0.36,0.36,0.36,0.0,0.0,45000
07/15/2019,0.34,0.34,0.34,0.34,0.0,0.0,00
07/12/2019,0.34,0.34,0.34,0.34,0.0,0.0,500
07/11/2019,0.33,0.33,0.33,0.33,0.0,0.0,00
07/10/2019,0.33,0.33,0.33,0.33,0.0,0.0,00
07/09/2019,0.33,0.33,0.33,0.33,0.0,0.0,100
07/08/2019,0.36,0.33,0.33,0.36,0.0,0.0,900
07/05/2019,0.35,0.35,0.35,0.35,0.0,0.0,00
07/03/2019,0.35,0.35,0.35,0.35,0.0,0.0,00
07/02/2019,0.35,0.35,0.35,0.35,0.0,0.0,00
07/01/2019,0.35,0.35,0.35,0.35,0.0,0.0,00
06/28/2019,0.35,0.35,0.35,0.35,0.0,0.0,00
06/27/2019,0.35,0.35,0.35,0.35,0.0,0.0,00
06/26/2019,0.35,0.35,0.35,0.35,0.0,0.0,4900
06/25/2019,0.35,0.35,0.35,0.35,0.0,0.0,2700
06/24/2019,0.37,0.37,0.37,0.37,0.0,0.0,200
06/21/2019,0.36,0.36,0.36,0.36,0.0,0.0,500
06/20/2019,0.37,0.37,0.37,0.37,0.0,0.0,15000
06/19/2019,0.34,0.34,0.34,0.34,0.0,0.0,00
06/18/2019,0.34,0.34,0.34,0.34,0.0,0.0,00
06/17/2019,0.34,0.34,0.34,0.34,0.0,0.0,00
06/14/2019,0.34,0.34,0.34,0.34,0.0,0.0,00
06/13/2019,0.38,0.34,0.34,0.494,0.0,0.0,117100
06/12/2019,0.36,0.36,0.36,0.36,0.0,0.0,00
06/11/2019,0.36,0.36,0.36,0.36,0.0,0.0,200
06/10/2019,0.36,0.36,0.36,0.36,0.0,0.0,95400
06/07/2019,0.36,0.36,0.36,0.36,0.0,0.0,500
06/06/2019,0.36,0.36,0.36,0.36,0.0,0.0,00
06/05/2019,0.36,0.36,0.36,0.36,0.0,0.0,100
06/04/2019,0.35,0.35,0.35,0.35,0.0,0.0,500
06/03/2019,0.35,0.35,0.35,0.35,0.0,0.0,00
05/31/2019,0.34,0.35,0.34,0.35,0.0,0.0,1200
05/30/2019,0.36,0.36,0.36,0.36,0.0,0.0,00
05/29/2019,0.36,0.36,0.36,0.36,0.0,0.0,00
05/28/2019,0.36,0.36,0.36,0.36,0.0,0.0,4300
05/24/2019,0.36,0.36,0.36,0.36,0.0,0.0,00
05/23/2019,0.36,0.36,0.36,0.36,0.0,0.0,00
05/22/2019,0.34,0.36,0.33,0.36,0.0,0.0,54800
05/21/2019,0.36,0.36,0.36,0.36,0.0,0.0,1000
05/20/2019,0.33,0.34,0.33,0.34,0.0,0.0,27000
05/17/2019,0.34,0.34,0.34,0.34,0.0,0.0,1000
05/16/2019,0.36,0.36,0.36,0.36,0.0,0.0,00
05/15/2019,0.32,0.36,0.32,0.36,0.0,0.0,25100
05/14/2019,0.31,0.31,0.31,0.31,0.0,0.0,00
05/13/2019,0.31,0.31,0.31,0.31,0.0,0.0,00
05/10/2019,0.31,0.31,0.31,0.31,0.0,0.0,15000
05/09/2019,0.32,0.32,0.32,0.32,0.0,0.0,00
05/08/2019,0.32,0.32,0.32,0.32,0.0,0.0,00
05/07/2019,0.32,0.32,0.32,0.32,0.0,0.0,00
05/06/2019,0.32,0.32,0.32,0.32,0.0,0.0,250000
05/03/2019,0.32,0.32,0.32,0.32,0.0,0.0,00
05/02/2019,0.32,0.32,0.32,0.32,0.0,0.0,1000
05/01/2019,0.31,0.31,0.31,0.31,0.0,0.0,00
04/30/2019,0.31,0.31,0.31,0.31,0.0,0.0,00
04/29/2019,0.31,0.31,0.31,0.31,0.0,0.0,00
04/26/2019,0.31,0.31,0.31,0.31,0.0,0.0,943
04/25/2019,0.32,0.32,0.32,0.32,0.0,0.0,00
04/24/2019,0.32,0.32,0.32,0.32,0.0,0.0,00
04/23/2019,0.33,0.32,0.32,0.33,0.0,0.0,550200
04/22/2019,0.33,0.33,0.33,0.33,0.0,0.0,200
04/18/2019,0.32,0.32,0.32,0.32,0.0,0.0,00
04/17/2019,0.33,0.32,0.32,0.33,0.0,0.0,126000
04/16/2019,0.33,0.33,0.33,0.33,0.0,0.0,400
