Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,10.66,10.27,10.17,10.66,0.0,0.0,442811
07/15/2019,10.93,10.65,10.555,10.9695,0.0,0.0,239048
07/12/2019,10.97,10.93,10.62,11.04,0.0,0.0,335137
07/11/2019,11.54,10.88,10.81,11.54,0.0,0.0,365488
07/10/2019,11.94,11.5,11.31,11.96,0.0,0.0,405949
07/09/2019,11.76,11.84,11.705,11.95,0.0,0.0,429850
07/08/2019,12.16,11.77,11.68,12.29,0.0,0.0,438868
07/05/2019,12.47,12.21,12.15,12.5,0.0,0.0,262248
07/03/2019,12.13,12.55,12.04,12.57,0.0,0.0,166490
07/02/2019,12.23,12.06,11.87,12.31,0.0,0.0,508605
07/01/2019,12.62,12.23,12.15,12.62,0.0,0.0,525113
06/28/2019,12.4,12.45,12.37,12.78,0.0,0.0,1003543
06/27/2019,11.95,12.36,11.83,12.42,0.0,0.0,1359174
06/26/2019,12.15,11.91,11.83,12.3,0.0,0.0,271078
06/25/2019,11.94,12.09,11.73,12.46,0.0,0.0,391869
06/24/2019,12.18,11.85,11.83,12.27,0.0,0.0,433713
06/21/2019,12.64,12.24,12.03,12.76,0.0,0.0,1074300
06/20/2019,12.84,12.7,12.68,13.23,0.0,0.0,592755
06/19/2019,12.43,12.64,12.18,12.76,0.0,0.0,1406573
06/18/2019,12.73,12.46,12.38,12.84,0.0,0.0,391778
06/17/2019,12.09,12.6,12.09,12.63,0.0,0.0,413994
06/14/2019,12.12,11.98,11.96,12.46,0.0,0.0,394087
06/13/2019,12.11,12.14,11.82,12.27,0.0,0.0,528535
06/12/2019,11.92,12.02,11.84,12.19,0.0,0.0,260439
06/11/2019,11.96,11.88,11.65,12.04,0.0,0.0,408643
06/10/2019,12.14,11.89,11.87,12.26,0.0,0.0,225978
06/07/2019,11.83,12.05,11.73,12.16,0.0,0.0,447956
06/06/2019,11.99,11.77,11.6,12.06,0.0,0.0,265391
06/05/2019,12.11,12.01,11.68,12.11,0.0,0.0,254669
06/04/2019,12.05,12.05,11.92,12.17,0.0,0.0,518238
06/03/2019,11.65,11.84,11.459,12.24,0.0,0.0,635735
05/31/2019,11.48,11.63,11.41,12.15,0.0,0.0,377426
05/30/2019,11.88,11.71,11.53,12.49,0.0,0.0,335621
05/29/2019,11.89,11.8,11.63,12.05,0.0,0.0,356526
05/28/2019,12.29,12.04,11.98,12.305,0.0,0.0,448956
05/24/2019,12.42,12.26,12.22,12.57,0.0,0.0,282996
05/23/2019,12.62,12.39,12.17,12.65,0.0,0.0,422495
05/22/2019,13.18,12.83,12.81,13.29,0.0,0.0,305058
05/21/2019,12.85,13.2,12.67,13.2,0.0,0.0,363559
05/20/2019,13.1,12.78,12.36,13.23,0.0,0.0,403625
05/17/2019,13.7,13.21,13.2,13.8,0.0,0.0,464107
05/16/2019,13.93,13.91,13.85,14.31,0.0,0.0,333420
05/15/2019,13.32,13.84,13.16,13.85,0.0,0.0,271762
05/14/2019,13.82,13.49,13.33,13.9,0.0,0.0,631500
05/13/2019,13.85,13.76,13.54,14.07,0.0,0.0,446108
05/10/2019,14,14.25,13.84,14.48,0.0,0.0,428975
05/09/2019,13.98,14.18,13.69,14.33,0.0,0.0,368568
05/08/2019,13.68,14.13,13.5491,14.47,0.0,0.0,343473
05/07/2019,14.77,13.71,13.475,14.96,0.0,0.0,597128
05/06/2019,14.09,15,14.09,15.11,0.0,0.0,774285
05/03/2019,14.11,14.57,13.96,14.6,0.0,0.0,599606
05/02/2019,13.06,14.04,12.9055,14.13,0.0,0.0,624256
05/01/2019,13.99,13.79,13.68,14.2759,0.0,0.0,999924
04/30/2019,14.59,13.99,13.96,14.6625,0.0,0.0,507762
04/29/2019,14.94,14.53,14.48,15.15,0.0,0.0,517591
04/26/2019,14.57,14.9,14.45,14.96,0.0,0.0,206307
04/25/2019,14.31,14.57,14.05,14.65,0.0,0.0,206395
04/24/2019,14.76,14.39,14.33,14.84,0.0,0.0,238190
04/23/2019,14.4,14.7,14.06,14.85,0.0,0.0,417699
04/22/2019,13.87,14.45,13.72,14.49,0.0,0.0,293721
04/18/2019,13.7,13.89,13.35,13.93,0.0,0.0,357420
04/17/2019,14.24,13.69,13.3,14.24,0.0,0.0,595632
04/16/2019,13.82,14.13,13.79,14.2363,0.0,0.0,288478
