Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,25.82,26,25.3466,26,0.0,0.0,7479
07/15/2019,25.55,25.96,25.55,26,0.0,0.0,5507
07/12/2019,25.99,25.86,25.85,26,0.0,0.0,7177
07/11/2019,25.8,25.98,25.76,25.98,0.0,0.0,8054
07/10/2019,25.65,25.72,25.36,25.75,0.0,0.0,26164
07/09/2019,25.33,25.6,25.33,25.71,0.0,0.0,7150
07/08/2019,25.54,25.58,24.62,25.65,0.0,0.0,13938
07/05/2019,25.39,25.58,25.39,25.75,0.0,0.0,8754
07/03/2019,25.64,25.44,25.385,25.73,0.0,0.0,6169
07/02/2019,25.629,25.45,25.38,25.63,0.0,0.0,19861
07/01/2019,25.29,25.43,24.975,25.43,0.0,0.0,37520
06/28/2019,24.97,24.95,24.76,25.15,0.0,0.0,269879
06/27/2019,24.49,24.73,24.3373,24.85,0.0,0.0,18626
06/26/2019,23.21,24.24,23.21,24.56,0.0,0.0,15346
06/25/2019,24.95,23.75,23.65,25.045,0.0,0.0,58700
06/24/2019,25.41,24.81,24.63,25.71,0.0,0.0,38659
06/21/2019,25.3,25.4,25.12,25.52,0.0,0.0,94266
06/20/2019,25.51,25.11,25.11,25.79,0.0,0.0,64038
06/19/2019,25.46,25.23,25.23,25.64,0.0,0.0,38159
06/18/2019,25.4,25.66,24.91,25.68,0.0,0.0,21746
06/17/2019,25.58,25.6,25.46,25.73,0.0,0.0,21965
06/14/2019,25.58,25.58,25.382,25.62,0.0,0.0,23450
06/13/2019,25.31,25.57,25.23,25.71,0.0,0.0,25533
06/12/2019,25.47,25.55,24.905,25.665,0.0,0.0,28463
06/11/2019,25.467,25.53,25.43,25.68,0.0,0.0,31102
06/10/2019,23.9,25.43,23.9,25.43,0.0,0.0,39982
06/07/2019,24.04,24.1,24.03,24.1,0.0,0.0,10440
06/06/2019,24.1,23.81,23.675,24.3,0.0,0.0,23220
06/05/2019,23.83,24.37,23.82,24.37,0.0,0.0,12406
06/04/2019,24.06,24.15,23.88,24.23,0.0,0.0,6924
06/03/2019,23.81,23.99,23.5851,24.14,0.0,0.0,9954
05/31/2019,23.9,24,23.773,24.22,0.0,0.0,14156
05/30/2019,24,24.24,24,24.43,0.0,0.0,13985
05/29/2019,24.46,24.17,23.6914,24.46,0.0,0.0,17669
05/28/2019,23.86,24.3,23.86,24.46,0.0,0.0,19388
05/24/2019,23.43,23.94,22.9,23.94,0.0,0.0,23948
05/23/2019,24.3,24.01,21.539,24.3,0.0,0.0,25413
05/22/2019,24.78,24.46,24.46,24.9,0.0,0.0,10877
05/21/2019,24.88,24.65,24.65,24.94,0.0,0.0,14897
05/20/2019,25.23,24.91,24.51,25.23,0.0,0.0,15026
05/17/2019,25.1,25.12,25.1,26.04,0.0,0.0,3192
05/16/2019,25.28,25.18,25,25.28,0.0,0.0,4645
05/15/2019,25.63,25.3,25.04,25.63,0.0,0.0,7031
05/14/2019,25.4,25.5,25.308,25.5,0.0,0.0,5407
05/13/2019,24.73,25.02,23.865,25.61,0.0,0.0,7177
05/10/2019,25.59,25.43,24.885,25.59,0.0,0.0,3617
05/09/2019,25.62,25.31,25.08,25.63,0.0,0.0,2792
05/08/2019,25.32,25.67,25.085,25.68,0.0,0.0,3285
05/07/2019,23.8918,25.15,23.8918,26.05,0.0,0.0,4307
05/06/2019,25.49,25.92,25.22,26.19,0.0,0.0,7043
05/03/2019,24.05,25.22,24.05,25.22,0.0,0.0,9057
05/02/2019,24.61,24.64,24.35,24.7,0.0,0.0,3496
05/01/2019,24.3,24.16,24.1,24.63,0.0,0.0,5394
04/30/2019,23.65,24.38,23.65,24.615,0.0,0.0,14560
04/29/2019,23.86,24.62,23.86,24.62,0.0,0.0,5223
04/26/2019,24.16,24.1,23.9,24.16,0.0,0.0,3209
04/25/2019,24.022,23.82,23.82,24.18,0.0,0.0,3610
04/24/2019,23.45,24.11,23.45,24.26,0.0,0.0,3249
04/23/2019,24.122,24.15,23.905,24.325,0.0,0.0,3847
04/22/2019,24.17,24.05,24.05,24.2087,0.0,0.0,1839
04/18/2019,24.08,24.16,23.863,24.35,0.0,0.0,17919
04/17/2019,24.16,24.09,24.07,24.3,0.0,0.0,2521
04/16/2019,25.11,24.14,24.12,25.15,0.0,0.0,5224
