Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,2.32,2.29,2.1126,2.34,0.0,0.0,59572
07/15/2019,2.38,2.4,2.3227,2.48,0.0,0.0,13623
07/12/2019,2.45,2.38,2.33,2.5,0.0,0.0,8285
07/11/2019,2.36,2.47,2.32,2.51,0.0,0.0,6543
07/10/2019,2.47,2.4154,2.37,2.48,0.0,0.0,13690
07/09/2019,2.54,2.49,2.42,2.54,0.0,0.0,20496
07/08/2019,2.47,2.5169,2.47,2.55,0.0,0.0,22875
07/05/2019,2.55,2.5329,2.4623,2.57,0.0,0.0,2328
07/03/2019,2.58,2.54,2.3414,2.58,0.0,0.0,21718
07/02/2019,2.58,2.5,2.49,2.58,0.0,0.0,8685
07/01/2019,2.5971,2.4352,2.4201,2.5971,0.0,0.0,12251
06/28/2019,2.43,2.46,2.41,2.5559,0.0,0.0,77124
06/27/2019,2.462,2.44,2.42,2.63,0.0,0.0,20114
06/26/2019,2.65,2.43,2.41,2.7,0.0,0.0,22081
06/25/2019,2.64,2.67,2.61,2.7,0.0,0.0,41261
06/24/2019,2.5247,2.61,2.5125,2.68,0.0,0.0,40791
06/21/2019,2.68,2.5,2.5,2.7,0.0,0.0,3553
06/20/2019,2.65,2.6345,2.58,2.7,0.0,0.0,16182
06/19/2019,2.63,2.67,2.5,2.69,0.0,0.0,17243
06/18/2019,2.49,2.6373,2.49,2.66,0.0,0.0,12378
06/17/2019,2.54,2.46,2.4201,2.7,0.0,0.0,17639
06/14/2019,2.52,2.48,2.48,2.74,0.0,0.0,66211
06/13/2019,2.64,2.58,2.52,2.7,0.0,0.0,97132
06/12/2019,2.5,2.63,2.38,2.9977,0.0,0.0,221834
06/11/2019,2.41,2.5,2.41,2.59,0.0,0.0,85247
06/10/2019,2.45,2.3,2.3,2.53,0.0,0.0,36750
06/07/2019,2.34,2.45,2.2001,2.5,0.0,0.0,45407
06/06/2019,2.42,2.38,2.3,2.62,0.0,0.0,352058
06/05/2019,2.56,2.45,2.42,2.57,0.0,0.0,35192
06/04/2019,2.44,2.55,2.44,2.7,0.0,0.0,29209
06/03/2019,2.44,2.4,2.3641,2.5,0.0,0.0,32933
05/31/2019,2.5,2.36,2.36,2.56,0.0,0.0,49440
05/30/2019,2.68,2.54,2.5,2.7886,0.0,0.0,159868
05/29/2019,2.8,2.66,2.61,2.8,0.0,0.0,54576
05/28/2019,2.96,2.78,2.78,2.9849,0.0,0.0,37158
05/24/2019,2.99,2.95,2.9003,3.06,0.0,0.0,15881
05/23/2019,3,2.99,2.88,3.06,0.0,0.0,28784
05/22/2019,2.91,3,2.91,3.19,0.0,0.0,24498
05/21/2019,2.97,3.02,2.97,3.2741,0.0,0.0,35748
05/20/2019,3.4,3.02,2.9,3.4,0.0,0.0,123595
05/17/2019,3.63,3.36,3.35,3.6999,0.0,0.0,47761
05/16/2019,3.77,3.47,3.47,3.87,0.0,0.0,98150
05/15/2019,3.83,3.89,3.83,3.9989,0.0,0.0,66073
05/14/2019,3.94,3.88,3.85,4.0127,0.0,0.0,79281
05/13/2019,4.06,4,3.94,4.28,0.0,0.0,67814
05/10/2019,4.48,4.35,4,4.5499,0.0,0.0,136339
05/09/2019,5.61,5.5501,5.41,5.65,0.0,0.0,36926
05/08/2019,5.64,5.62,5.6,5.75,0.0,0.0,18978
05/07/2019,5.73,5.7,5.6,5.77,0.0,0.0,10786
05/06/2019,5.51,5.68,5.51,5.78,0.0,0.0,19706
05/03/2019,5.4998,5.582,5.47,5.6888,0.0,0.0,15600
05/02/2019,5.1,5.27,5.1,5.4,0.0,0.0,40665
05/01/2019,5,5.4,5,5.4,0.0,0.0,57528
04/30/2019,5.13,4.95,4.92,5.3207,0.0,0.0,30667
04/29/2019,5.16,5.14,5.0613,5.2521,0.0,0.0,11604
04/26/2019,5.2,5.07,5.05,5.35,0.0,0.0,15278
04/25/2019,5.35,5.24,5.1629,5.35,0.0,0.0,7868
04/24/2019,5.07,5.22,5.05,5.22,0.0,0.0,5354
04/23/2019,4.92,5.02,4.92,5.12,0.0,0.0,8416
04/22/2019,4.84,4.915,4.84,5.1,0.0,0.0,12009
04/18/2019,4.87,4.8929,4.79,4.9109,0.0,0.0,7639
04/17/2019,4.81,4.87,4.7838,5.09,0.0,0.0,21518
04/16/2019,4.84,4.81,4.8,5,0.0,0.0,51513
