Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,25.99,25.73,25.59,26.14,0.0,0.0,6720022
07/15/2019,25.55,26.01,25.55,26.18,0.0,0.0,9393083
07/12/2019,24.99,25.4,24.92,25.41,0.0,0.0,5473486
07/11/2019,25.11,24.89,24.71,25.15,0.0,0.0,6004591
07/10/2019,24.87,25.1,24.75,25.285,0.0,0.0,7479537
07/09/2019,24.01,24.56,24,24.67,0.0,0.0,6013288
07/08/2019,24.05,24.14,23.89,24.25,0.0,0.0,4879932
07/05/2019,24.46,24.3,24.05,24.53,0.0,0.0,5074014
07/03/2019,24.45,24.57,24.12,24.65,0.0,0.0,7971031
07/02/2019,24.23,24.03,23.94,24.24,0.0,0.0,6300472
07/01/2019,24.94,24.27,23.995,24.975,0.0,0.0,14323760
06/28/2019,24.13,23.87,23.745,24.24,0.0,0.0,14472420
06/27/2019,23.98,23.89,23.82,24.35,0.0,0.0,6706236
06/26/2019,23.82,23.71,23.67,24.2,0.0,0.0,10674050
06/25/2019,23.78,23.41,23.4,23.99,0.0,0.0,6013674
06/24/2019,23.92,23.78,23.745,24.14,0.0,0.0,6229809
06/21/2019,24,23.97,23.725,24.14,0.0,0.0,11021380
06/20/2019,24.87,24.12,24.035,24.92,0.0,0.0,8621485
06/19/2019,24.55,24.31,24.24,24.69,0.0,0.0,5964182
06/18/2019,23.97,24.55,23.9215,24.6,0.0,0.0,8869027
06/17/2019,23.77,23.72,23.63,24.015,0.0,0.0,5066430
06/14/2019,23.62,23.83,23.43,23.995,0.0,0.0,5691293
06/13/2019,24.39,24.26,24.18,24.47,0.0,0.0,8078606
06/12/2019,24.48,24.06,23.9,24.5584,0.0,0.0,7899737
06/11/2019,24.91,24.67,24.33,25.07,0.0,0.0,11312680
06/10/2019,24.17,24.45,24.14,24.85,0.0,0.0,14926700
06/07/2019,23.85,24.05,23.56,24.18,0.0,0.0,12180360
06/06/2019,23.29,23.69,23.07,23.735,0.0,0.0,8467236
06/05/2019,23.58,23.17,22.85,23.9,0.0,0.0,10973880
06/04/2019,22.7,23.42,22.485,23.46,0.0,0.0,15107700
06/03/2019,22.29,22.35,22.22,22.8481,0.0,0.0,10711030
05/31/2019,22.26,22.3,21.79,22.64,0.0,0.0,19941270
05/30/2019,22.1,22.19,22.07,22.675,0.0,0.0,12816640
05/29/2019,22.02,22.02,21.53,22.21,0.0,0.0,14232400
05/28/2019,21.95,21.35,21.3,22.08,0.0,0.0,12785550
05/24/2019,22.2,21.92,21.91,22.41,0.0,0.0,4942717
05/23/2019,22.28,22.12,21.77,22.325,0.0,0.0,9991496
05/22/2019,22.12,22.6,22.02,22.63,0.0,0.0,10739370
05/21/2019,22.32,22.4,21.93,22.62,0.0,0.0,15334030
05/20/2019,22.06,21.74,21.57,22.33,0.0,0.0,17319320
05/17/2019,22.61,22.62,22.515,23.46,0.0,0.0,11575700
05/16/2019,22.61,23.1,22.35,23.28,0.0,0.0,9764720
05/15/2019,22.5,23.1,22.45,23.26,0.0,0.0,7282323
05/14/2019,22.49,22.89,22.32,22.955,0.0,0.0,10021220
05/13/2019,22.92,22.14,22.03,22.98,0.0,0.0,14438740
05/10/2019,23.36,23.51,22.92,23.7,0.0,0.0,7448570
05/09/2019,23.56,23.4,22.84,23.56,0.0,0.0,9471004
05/08/2019,23.71,23.86,23.67,24.13,0.0,0.0,7784368
05/07/2019,24.2,23.85,23.48,24.375,0.0,0.0,14175020
05/06/2019,23.63,24.43,23.55,24.49,0.0,0.0,8585474
05/03/2019,24.81,24.69,24.41,24.92,0.0,0.0,8489069
05/02/2019,24.64,24.71,24.45,24.99,0.0,0.0,8839073
05/01/2019,25.16,24.68,24.66,25.33,0.0,0.0,9213596
04/30/2019,25.02,25.02,24.86,25.33,0.0,0.0,16849900
04/29/2019,25.05,25.14,24.8,25.35,0.0,0.0,9200276
04/26/2019,24.89,25.06,24.75,25.125,0.0,0.0,18042910
04/25/2019,25.42,25.4,25.02,25.53,0.0,0.0,13973390
04/24/2019,25.32,25.47,25.25,25.735,0.0,0.0,15532600
04/23/2019,24.85,25.12,24.75,25.1965,0.0,0.0,11041780
04/22/2019,24.7,24.84,24.52,24.98,0.0,0.0,9349382
04/18/2019,24.91,24.85,24.77,25.24,0.0,0.0,14923240
04/17/2019,24.45,24.87,24.35,25.41,0.0,0.0,25137090
04/16/2019,23.83,24.01,23.68,24.19,0.0,0.0,19845070
