Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,26,26.01,25.9,26.18,0.0,0.0,76788
07/15/2019,26.25,26.02,25.9,26.26,0.0,0.0,63030
07/12/2019,26.17,26.26,25.75,26.49,0.0,0.0,60503
07/11/2019,25.95,25.97,25.68,26.11,0.0,0.0,37801
07/10/2019,26.22,26.06,25.93,26.29,0.0,0.0,55290
07/09/2019,26.06,26.11,25.95,26.21,0.0,0.0,31262
07/08/2019,26.2,26.07,26,26.25,0.0,0.0,58611
07/05/2019,26.27,26.4,26.01,26.42,0.0,0.0,37671
07/03/2019,26.12,26.23,26,26.24,0.0,0.0,12805
07/02/2019,26.49,26.09,25.82,26.69,0.0,0.0,32812
07/01/2019,26.93,26.5,26.35,26.93,0.0,0.0,106787
06/28/2019,26.44,26.72,25.96,26.78,0.0,0.0,500196
06/27/2019,25.97,26.39,25.97,26.39,0.0,0.0,67728
06/26/2019,26.28,25.86,25.71,26.31,0.0,0.0,72289
06/25/2019,25.67,26.15,25.65,26.34,0.0,0.0,58839
06/24/2019,25.91,25.69,25.57,26.27,0.0,0.0,46029
06/21/2019,26.5,25.9,25.65,26.6,0.0,0.0,141445
06/20/2019,26.55,26.53,25.9,26.64,0.0,0.0,66903
06/19/2019,26.12,26.42,26.12,26.62,0.0,0.0,81630
06/18/2019,25.5,26.17,25.5,26.24,0.0,0.0,35869
06/17/2019,25.26,25.58,25.26,25.74,0.0,0.0,68700
06/14/2019,25.36,25.25,25.13,25.47,0.0,0.0,46640
06/13/2019,25.31,25.34,25.2,25.5,0.0,0.0,39246
06/12/2019,25.12,25.06,24.99,25.32,0.0,0.0,97438
06/11/2019,25.13,25.1,24.86,25.16,0.0,0.0,54333
06/10/2019,24.53,25,24.53,25.11,0.0,0.0,48545
06/07/2019,24.56,24.25,24.02,24.83,0.0,0.0,46818
06/06/2019,24.9,24.66,24.41,25.19,0.0,0.0,24072
06/05/2019,25.31,25.03,24.83,25.41,0.0,0.0,48922
06/04/2019,24.98,25.3,24.7,25.5128,0.0,0.0,70600
06/03/2019,24.43,24.61,24.34,24.95,0.0,0.0,104138
05/31/2019,24.4,24.5,24.2361,24.8,0.0,0.0,33129
05/30/2019,25.18,24.77,24.42,25.55,0.0,0.0,26357
05/29/2019,25.05,25.15,24.83,25.3,0.0,0.0,33323
05/28/2019,25.58,25.24,25.05,25.58,0.0,0.0,45474
05/24/2019,25.15,25.56,25.11,25.57,0.0,0.0,23339
05/23/2019,26.05,25,24.86,26.05,0.0,0.0,35383
05/22/2019,26.25,26.11,25.8,26.55,0.0,0.0,19640
05/21/2019,26.38,26.34,26.255,26.6,0.0,0.0,16747
05/20/2019,26.05,26.18,26.05,26.5,0.0,0.0,17972
05/17/2019,26.03,26.06,25.97,26.42,0.0,0.0,61499
05/16/2019,26.04,26.23,26.04,26.4193,0.0,0.0,16659
05/15/2019,25.72,26,25.57,26,0.0,0.0,33239
05/14/2019,25.77,25.98,25.67,26.14,0.0,0.0,38300
05/13/2019,26.24,25.74,25.57,26.24,0.0,0.0,59183
05/10/2019,25.96,26.58,25.96,26.6,0.0,0.0,36379
05/09/2019,26.17,26.29,26.03,26.43,0.0,0.0,27206
05/08/2019,26.46,26.42,26.36,26.77,0.0,0.0,34491
05/07/2019,26.98,26.6,26.41,27.15,0.0,0.0,43729
05/06/2019,26.57,27.25,26.57,27.44,0.0,0.0,33139
05/03/2019,26.8,27.08,26.8,27.2,0.0,0.0,68662
05/02/2019,26.54,26.86,26.5,27.02,0.0,0.0,43353
05/01/2019,26.83,26.55,26.49,26.96,0.0,0.0,78342
04/30/2019,27.38,26.82,26.5,27.4,0.0,0.0,112620
04/29/2019,27.55,27.49,27.47,28.24,0.0,0.0,74006
04/26/2019,26.27,27.33,26.27,27.9,0.0,0.0,52446
04/25/2019,26.45,26.22,26.0107,26.52,0.0,0.0,32097
04/24/2019,26.56,26.62,26.25,26.72,0.0,0.0,27887
04/23/2019,26.14,26.64,25.72,26.66,0.0,0.0,160850
04/22/2019,26.46,26.03,25.82,26.46,0.0,0.0,37363
04/18/2019,26.67,26.43,26.43,26.8,0.0,0.0,39353
04/17/2019,26.79,26.79,26.49,26.8,0.0,0.0,31155
04/16/2019,26.34,26.74,26.25,26.74,0.0,0.0,56742
