Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,13.5461,13.5461,13.5461,13.5461,0.0,0.0,00
07/15/2019,13.5461,13.5461,13.5461,13.5461,0.0,0.0,00
07/12/2019,13.5461,13.5461,13.5461,13.5461,0.0,0.0,00
07/11/2019,13.5461,13.5461,13.5461,13.5461,0.0,0.0,00
07/10/2019,13.5461,13.5461,13.5461,13.5461,0.0,0.0,00
07/09/2019,13.5461,13.5461,13.5461,13.5461,0.0,0.0,00
07/08/2019,13.5461,13.5461,13.5461,13.5461,0.0,0.0,00
07/05/2019,13.5461,13.5461,13.5461,13.5461,0.0,0.0,00
07/03/2019,13.5461,13.5461,13.5461,13.5461,0.0,0.0,00
07/02/2019,13.5461,13.5461,13.5461,13.5461,0.0,0.0,00
07/01/2019,13.5461,13.5461,13.5461,13.5461,0.0,0.0,00
06/28/2019,13.5461,13.5461,13.5461,13.5461,0.0,0.0,00
06/27/2019,13.5461,13.5461,13.5461,13.5461,0.0,0.0,00
06/26/2019,13.5461,13.5461,13.5461,13.5461,0.0,0.0,00
06/25/2019,13.5461,13.5461,13.5461,13.5461,0.0,0.0,00
06/24/2019,13.5461,13.5461,13.5461,13.5461,0.0,0.0,00
06/21/2019,13.5461,13.5461,13.5461,13.5461,0.0,0.0,00
06/20/2019,13.5461,13.5461,13.5461,13.5461,0.0,0.0,00
06/19/2019,13.5461,13.5461,13.5461,13.5461,0.0,0.0,00
06/18/2019,13.5461,13.5461,13.5461,13.5461,0.0,0.0,00
06/17/2019,11.88,13.5461,11.88,17.0001,0.0,0.0,7127
06/14/2019,11.1,11.1,11.1,11.1,0.0,0.0,00
06/13/2019,11.1,11.1,11.1,11.1,0.0,0.0,00
06/12/2019,11.1,11.1,11.1,11.1,0.0,0.0,00
06/11/2019,11.1,11.1,11.1,11.1,0.0,0.0,00
06/10/2019,11.1,11.1,11.1,11.1,0.0,0.0,00
06/07/2019,11.5,11.1,11.1,11.803,0.0,0.0,6603
06/06/2019,11.33,11.33,11.33,11.33,0.0,0.0,00
06/05/2019,11.31,11.33,11.31,11.33,0.0,0.0,2058
06/04/2019,10.71,10.71,10.71,10.71,0.0,0.0,00
06/03/2019,10.71,10.71,10.71,10.71,0.0,0.0,00
05/31/2019,10.71,10.71,10.71,10.71,0.0,0.0,00
05/30/2019,10.71,10.71,10.71,10.71,0.0,0.0,00
05/29/2019,10.71,10.71,10.71,10.71,0.0,0.0,00
05/28/2019,10.71,10.71,10.71,10.71,0.0,0.0,00
05/24/2019,10.71,10.71,10.71,10.71,0.0,0.0,00
05/23/2019,10.71,10.71,10.71,10.71,0.0,0.0,104
05/22/2019,10.7,10.7,10.7,10.7,0.0,0.0,146
05/21/2019,10.5,10.5,10.5,10.5,0.0,0.0,820
05/20/2019,10.83,10.83,10.83,10.83,0.0,0.0,00
05/17/2019,10.83,10.83,10.83,10.83,0.0,0.0,00
05/16/2019,10.83,10.83,10.83,10.83,0.0,0.0,00
05/15/2019,10.83,10.83,10.83,10.83,0.0,0.0,162
05/14/2019,10.32,10.9001,10.32,10.9001,0.0,0.0,721
05/13/2019,10.93,10.93,10.93,10.93,0.0,0.0,130
05/10/2019,10.82,10.9,10.82,10.9,0.0,0.0,1429
05/09/2019,11.03,11.03,11.03,11.03,0.0,0.0,00
05/08/2019,11.03,11.03,11.03,11.03,0.0,0.0,00
05/07/2019,11.03,11.03,11.03,11.03,0.0,0.0,00
05/06/2019,11.03,11.03,11.03,11.03,0.0,0.0,00
05/03/2019,11.03,11.03,11.03,11.03,0.0,0.0,00
05/02/2019,11.03,11.03,11.03,11.03,0.0,0.0,00
05/01/2019,11.29,11.03,11.03,11.29,0.0,0.0,337
04/30/2019,11.28,11.28,11.28,11.28,0.0,0.0,118
04/29/2019,14,10.9951,10.42,14,0.0,0.0,9022
04/26/2019,10.61,10.61,10.61,10.61,0.0,0.0,00
04/25/2019,10.61,10.61,10.61,10.61,0.0,0.0,00
04/24/2019,10.61,10.61,10.61,10.61,0.0,0.0,00
04/23/2019,10.61,10.61,10.61,10.61,0.0,0.0,00
04/22/2019,10.61,10.61,10.61,10.61,0.0,0.0,00
04/18/2019,10.61,10.61,10.61,10.61,0.0,0.0,00
04/17/2019,10.61,10.61,10.61,10.61,0.0,0.0,00
04/16/2019,10.61,10.61,10.61,10.61,0.0,0.0,00
