Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,7.14,7.5,7.06,7.67,0.0,0.0,92005
07/15/2019,7.24,7.17,7.03,7.3166,0.0,0.0,43851
07/12/2019,7.24,7.28,7.03,7.61,0.0,0.0,88372
07/11/2019,7.2,7.32,7.05,7.43,0.0,0.0,100930
07/10/2019,7.32,7.18,7.05,7.39,0.0,0.0,68822
07/09/2019,7.36,7.28,7.24,7.47,0.0,0.0,74783
07/08/2019,7.8,7.45,7.37,7.8,0.0,0.0,148248
07/05/2019,7.85,7.82,7.62,7.945,0.0,0.0,64761
07/03/2019,7.96,7.83,7.7,8.08,0.0,0.0,103726
07/02/2019,8.52,7.94,7.77,8.77,0.0,0.0,162195
07/01/2019,8.39,8.46,8.22,8.54,0.0,0.0,138850
06/28/2019,7.85,8.35,7.82,8.55,0.0,0.0,909109
06/27/2019,7.83,7.8,7.76,8.09,0.0,0.0,124561
06/26/2019,7.88,7.8,7.7,8,0.0,0.0,72573
06/25/2019,8.15,7.85,7.7907,8.15,0.0,0.0,97978
06/24/2019,8.47,8.13,8.095,8.51,0.0,0.0,109854
06/21/2019,7.99,8.28,7.36,8.56,0.0,0.0,274440
06/20/2019,8.22,8.03,7.79,8.365,0.0,0.0,89475
06/19/2019,7.68,8.06,7.68,8.12,0.0,0.0,77755
06/18/2019,7.63,7.68,7.54,7.731,0.0,0.0,65413
06/17/2019,7.15,7.51,7.15,7.55,0.0,0.0,94884
06/14/2019,7.25,7.13,7.04,7.33,0.0,0.0,111796
06/13/2019,7.17,7.29,7.02,7.3852,0.0,0.0,80473
06/12/2019,7.08,7.2,6.89,7.21,0.0,0.0,72563
06/11/2019,7.42,7.1,6.98,7.42,0.0,0.0,77698
06/10/2019,7.49,7.34,7.28,7.53,0.0,0.0,72491
06/07/2019,7.61,7.48,7.2199,7.62,0.0,0.0,79503
06/06/2019,7.56,7.54,6.82,7.7843,0.0,0.0,148072
06/05/2019,7.85,7.65,7.61,7.9038,0.0,0.0,93901
06/04/2019,7.94,7.89,7.71,8.03,0.0,0.0,99511
06/03/2019,8.06,7.83,7.42,8.1299,0.0,0.0,99052
05/31/2019,8.27,8.06,7.82,8.4581,0.0,0.0,99358
05/30/2019,8.31,8.42,8.175,8.5799,0.0,0.0,190183
05/29/2019,8.35,8.21,7.98,8.43,0.0,0.0,129104
05/28/2019,8.25,8.38,8.13,8.545,0.0,0.0,138162
05/24/2019,7.84,8.11,7.79,8.4899,0.0,0.0,129342
05/23/2019,7.55,7.79,7.4893,7.85,0.0,0.0,65123
05/22/2019,7.41,7.6,7.41,7.75,0.0,0.0,62989
05/21/2019,7.75,7.49,7.25,7.75,0.0,0.0,91271
05/20/2019,7.43,7.62,7.2944,7.69,0.0,0.0,58569
05/17/2019,7.66,7.47,7.347,7.9,0.0,0.0,104843
05/16/2019,7.74,7.73,7.08,7.845,0.0,0.0,239596
05/15/2019,7.22,7.66,7.0853,7.75,0.0,0.0,73112
05/14/2019,7.18,7.29,7.01,7.4,0.0,0.0,75731
05/13/2019,7.2,6.96,6.69,7.32,0.0,0.0,76760
05/10/2019,7.4,7.46,7.2,7.49,0.0,0.0,42446
05/09/2019,7.15,7.41,7.1,7.48,0.0,0.0,47967
05/08/2019,6.9,7.28,6.7838,7.48,0.0,0.0,75546
05/07/2019,6.88,6.85,6.75,6.96,0.0,0.0,56226
05/06/2019,6.83,6.95,6.76,7.1,0.0,0.0,69160
05/03/2019,6.99,7.11,6.99,7.21,0.0,0.0,134314
05/02/2019,7.21,6.93,6.46,7.21,0.0,0.0,148562
05/01/2019,7.36,7.21,7.02,7.36,0.0,0.0,103985
04/30/2019,7.1,7.35,7.1,7.36,0.0,0.0,226224
04/29/2019,6.84,7.15,6.77,7.38,0.0,0.0,217433
04/26/2019,6.73,6.75,6.68,6.9,0.0,0.0,49814
04/25/2019,6.41,6.67,6.21,6.72,0.0,0.0,150257
04/24/2019,6.48,6.43,6.26,6.5,0.0,0.0,33653
04/23/2019,6.15,6.42,6.15,6.62,0.0,0.0,116226
04/22/2019,6.3,6.15,6.04,6.3,0.0,0.0,28099
04/18/2019,6.06,6.28,5.9,6.28,0.0,0.0,35836
04/17/2019,6.38,6.105,5.83,6.57,0.0,0.0,76103
04/16/2019,6.21,6.35,6.21,6.47,0.0,0.0,22772
