Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,0.1516,0.15,0.1403,0.16,0.0,0.0,6570766
07/15/2019,0.159,0.152,0.15,0.1649,0.0,0.0,4746872
07/12/2019,0.164,0.1575,0.155,0.17,0.0,0.0,4627065
07/11/2019,0.16,0.167,0.152,0.17,0.0,0.0,13446100
07/10/2019,0.1869,0.1518,0.14,0.1869,0.0,0.0,34960550
07/09/2019,0.2213,0.1797,0.172,0.2215,0.0,0.0,11556810
07/08/2019,0.215,0.264,0.1895,0.2793,0.0,0.0,31429960
07/05/2019,0.15,0.152,0.135,0.1551,0.0,0.0,4981233
07/03/2019,0.145,0.158,0.135,0.16,0.0,0.0,3426859
07/02/2019,0.1438,0.1393,0.1301,0.1489,0.0,0.0,1059984
07/01/2019,0.1491,0.1447,0.13,0.159,0.0,0.0,2161496
06/28/2019,0.1574,0.1361,0.13,0.16,0.0,0.0,2378135
06/27/2019,0.2107,0.144,0.128,0.2234,0.0,0.0,6510774
06/26/2019,0.229,0.2122,0.201,0.2375,0.0,0.0,2431837
06/25/2019,0.2416,0.2347,0.229,0.254,0.0,0.0,180757
06/24/2019,0.242,0.2415,0.24,0.26,0.0,0.0,105783
06/21/2019,0.28,0.2615,0.22,0.28,0.0,0.0,590988
06/20/2019,0.2613,0.2651,0.26,0.2805,0.0,0.0,479014
06/19/2019,0.2735,0.2603,0.25,0.274,0.0,0.0,306103
06/18/2019,0.28,0.2696,0.26,0.28,0.0,0.0,227163
06/17/2019,0.2801,0.2799,0.2721,0.3,0.0,0.0,213356
06/14/2019,0.2945,0.28,0.2701,0.3169,0.0,0.0,1242324
06/13/2019,0.29,0.2737,0.27,0.31,0.0,0.0,526680
06/12/2019,0.32,0.306,0.285,0.329,0.0,0.0,480711
06/11/2019,0.33,0.322,0.32,0.395,0.0,0.0,706079
06/10/2019,0.356,0.3338,0.302,0.356,0.0,0.0,533797
06/07/2019,0.3171,0.285,0.28,0.318,0.0,0.0,275396
06/06/2019,0.41,0.2911,0.28,0.43,0.0,0.0,1545155
06/05/2019,0.282,0.3774,0.27,0.5775,0.0,0.0,10316240
06/04/2019,0.2685,0.3,0.2608,0.34,0.0,0.0,904816
06/03/2019,0.2621,0.2712,0.2505,0.2715,0.0,0.0,29074
05/31/2019,0.285,0.2715,0.2655,0.285,0.0,0.0,38868
05/30/2019,0.2602,0.2742,0.2505,0.28,0.0,0.0,280023
05/29/2019,0.27,0.2604,0.255,0.27,0.0,0.0,98258
05/28/2019,0.289,0.2736,0.27,0.289,0.0,0.0,73969
05/24/2019,0.27,0.2694,0.2545,0.33,0.0,0.0,1203935
05/23/2019,0.2645,0.2618,0.25,0.27,0.0,0.0,125749
05/22/2019,0.2608,0.2581,0.2547,0.275,0.0,0.0,98311
05/21/2019,0.241,0.2608,0.241,0.285,0.0,0.0,457715
05/20/2019,0.253,0.253,0.24,0.26,0.0,0.0,67895
05/17/2019,0.274,0.241,0.24,0.275,0.0,0.0,150281
05/16/2019,0.275,0.269,0.26,0.279,0.0,0.0,76831
05/15/2019,0.2555,0.275,0.241,0.28,0.0,0.0,215750
05/14/2019,0.27,0.2554,0.25,0.27,0.0,0.0,269875
05/13/2019,0.26,0.246,0.239,0.2625,0.0,0.0,113404
05/10/2019,0.27,0.255,0.24,0.27,0.0,0.0,201383
05/09/2019,0.2761,0.2674,0.26,0.28,0.0,0.0,57676
05/08/2019,0.285,0.263,0.26,0.285,0.0,0.0,92655
05/07/2019,0.279,0.275,0.265,0.29,0.0,0.0,124694
05/06/2019,0.26,0.2861,0.26,0.2861,0.0,0.0,138776
05/03/2019,0.289,0.2745,0.2681,0.289,0.0,0.0,85169
05/02/2019,0.2816,0.2755,0.265,0.29,0.0,0.0,177398
05/01/2019,0.286,0.2855,0.281,0.315,0.0,0.0,193988
04/30/2019,0.29,0.3069,0.281,0.317,0.0,0.0,944176
04/29/2019,0.2985,0.2882,0.28,0.3,0.0,0.0,55105
04/26/2019,0.31,0.2843,0.28,0.31,0.0,0.0,225299
04/25/2019,0.3181,0.2963,0.2902,0.32,0.0,0.0,182754
04/24/2019,0.3161,0.31,0.301,0.318,0.0,0.0,65210
04/23/2019,0.3024,0.3011,0.3,0.32,0.0,0.0,56673
04/22/2019,0.306,0.3011,0.3,0.309,0.0,0.0,112300
04/18/2019,0.31,0.3108,0.3,0.3229,0.0,0.0,70033
04/17/2019,0.307,0.3198,0.3051,0.33,0.0,0.0,181211
04/16/2019,0.32,0.307,0.305,0.3448,0.0,0.0,546944
