Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,2.4,2.33,2.32,2.41,0.0,0.0,418906
07/15/2019,2.45,2.41,2.39,2.45,0.0,0.0,183232
07/12/2019,2.39,2.42,2.36,2.43,0.0,0.0,314847
07/11/2019,2.42,2.39,2.362,2.44,0.0,0.0,333798
07/10/2019,2.41,2.4,2.33,2.43,0.0,0.0,404158
07/09/2019,2.42,2.39,2.38,2.48,0.0,0.0,407188
07/08/2019,2.44,2.45,2.42,2.49,0.0,0.0,368391
07/05/2019,2.4,2.43,2.35,2.46,0.0,0.0,398073
07/03/2019,2.38,2.4,2.35,2.42,0.0,0.0,335738
07/02/2019,2.43,2.4,2.37,2.4531,0.0,0.0,406706
07/01/2019,2.49,2.42,2.33,2.5,0.0,0.0,680176
06/28/2019,2.24,2.43,2.23,2.44,0.0,0.0,1140498
06/27/2019,2.21,2.22,2.2,2.27,0.0,0.0,580984
06/26/2019,2.1,2.17,2.0805,2.18,0.0,0.0,453743
06/25/2019,2.13,2.11,2.07,2.17,0.0,0.0,677795
06/24/2019,2.22,2.1,2.08,2.26,0.0,0.0,677732
06/21/2019,2.23,2.21,2.17,2.255,0.0,0.0,497963
06/20/2019,2.25,2.21,2.16,2.28,0.0,0.0,528814
06/19/2019,2.15,2.2,2.13,2.47,0.0,0.0,1678186
06/18/2019,2.07,2.1,2.0665,2.14,0.0,0.0,413769
06/17/2019,1.98,2.07,1.98,2.075,0.0,0.0,333186
06/14/2019,2.03,1.99,1.98,2.06,0.0,0.0,255390
06/13/2019,2.01,2.04,1.99,2.06,0.0,0.0,363994
06/12/2019,2.1,2.01,1.98,2.1,0.0,0.0,463318
06/11/2019,1.92,2.1,1.92,2.14,0.0,0.0,1026461
06/10/2019,2.01,1.92,1.72,2.0294,0.0,0.0,1518220
06/07/2019,2.22,2,1.95,2.23,0.0,0.0,2146410
06/06/2019,2.32,2.24,2.22,2.35,0.0,0.0,564025
06/05/2019,2.34,2.35,2.27,2.365,0.0,0.0,304075
06/04/2019,2.3,2.34,2.27,2.36,0.0,0.0,493809
06/03/2019,2.3,2.28,2.24,2.3599,0.0,0.0,347754
05/31/2019,2.3,2.29,2.23,2.32,0.0,0.0,494633
05/30/2019,2.28,2.34,2.23,2.35,0.0,0.0,400936
05/29/2019,2.23,2.29,2.21,2.31,0.0,0.0,280307
05/28/2019,2.36,2.26,2.25,2.36,0.0,0.0,460035
05/24/2019,2.26,2.38,2.24,2.4,0.0,0.0,661769
05/23/2019,2.35,2.23,2.22,2.36,0.0,0.0,734013
05/22/2019,2.45,2.36,2.35,2.4693,0.0,0.0,459419
05/21/2019,2.41,2.45,2.31,2.48,0.0,0.0,708346
05/20/2019,2.51,2.39,2.365,2.64,0.0,0.0,961113
05/17/2019,2.71,2.58,2.57,2.71,0.0,0.0,803375
05/16/2019,2.74,2.71,2.68,2.809,0.0,0.0,582279
05/15/2019,2.68,2.75,2.6,2.8,0.0,0.0,987201
05/14/2019,2.6,2.65,2.56,2.7,0.0,0.0,643845
05/13/2019,2.63,2.61,2.47,2.64,0.0,0.0,990102
05/10/2019,2.41,2.67,2.37,2.69,0.0,0.0,1457844
05/09/2019,2.31,2.43,2.31,2.43,0.0,0.0,822334
05/08/2019,2.18,2.3,2.18,2.44,0.0,0.0,1444024
05/07/2019,2.22,2.18,2.16,2.2836,0.0,0.0,718719
05/06/2019,2.1,2.24,2.06,2.27,0.0,0.0,1194704
05/03/2019,2.18,2.16,2.02,2.19,0.0,0.0,1622258
05/02/2019,2.23,2.15,2.11,2.33,0.0,0.0,2129328
05/01/2019,2.37,2.17,2.115,2.65,0.0,0.0,8636999
04/30/2019,2.9,2.99,2.86,3.07,0.0,0.0,4384136
04/29/2019,2.85,2.85,2.74,2.94,0.0,0.0,3183594
04/26/2019,2.82,2.77,2.64,2.83,0.0,0.0,1819351
04/25/2019,2.87,2.8,2.79,2.87,0.0,0.0,909077
04/24/2019,2.88,2.87,2.77,2.8999,0.0,0.0,922596
04/23/2019,2.93,2.86,2.76,2.9652,0.0,0.0,1475848
04/22/2019,2.76,2.84,2.76,2.96,0.0,0.0,1848842
04/18/2019,2.67,2.72,2.62,2.72,0.0,0.0,642684
04/17/2019,2.73,2.66,2.61,2.7887,0.0,0.0,816066
04/16/2019,2.61,2.7,2.55,2.72,0.0,0.0,713294
