Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,10.45,10.45,10.45,10.45,0.0,0.0,00
07/15/2019,10.45,10.45,10.45,10.45,0.0,0.0,00
07/12/2019,10.45,10.45,10.45,10.45,0.0,0.0,00
07/11/2019,10.45,10.45,10.45,10.45,0.0,0.0,00
07/10/2019,10.45,10.45,10.45,10.45,0.0,0.0,00
07/09/2019,10.45,10.45,10.45,10.45,0.0,0.0,300
07/08/2019,10.35,10.4,10.35,10.4,0.0,0.0,2500
07/05/2019,10.35,10.35,10.35,10.35,0.0,0.0,00
07/03/2019,10.35,10.35,10.35,10.35,0.0,0.0,1000
07/02/2019,10.27,10.27,10.27,10.27,0.0,0.0,1833
07/01/2019,10.27,10.27,10.27,10.27,0.0,0.0,00
06/28/2019,10.27,10.27,10.27,10.27,0.0,0.0,00
06/27/2019,10.27,10.27,10.27,10.27,0.0,0.0,00
06/26/2019,10.27,10.27,10.27,10.27,0.0,0.0,00
06/25/2019,10.27,10.27,10.27,10.27,0.0,0.0,00
06/24/2019,10.27,10.27,10.27,10.27,0.0,0.0,00
06/21/2019,10.27,10.27,10.27,10.27,0.0,0.0,00
06/20/2019,10.27,10.27,10.27,10.27,0.0,0.0,00
06/19/2019,10.3009,10.27,10.27,10.3009,0.0,0.0,1600
06/18/2019,10.31,10.2701,10.2701,10.3492,0.0,0.0,3850
06/17/2019,10.3001,10.3001,10.3001,10.3001,0.0,0.0,00
06/14/2019,10.29,10.3001,10.29,10.3001,0.0,0.0,1700
06/13/2019,10.3,10.3,10.3,10.3,0.0,0.0,1781
06/12/2019,10.27,10.27,10.27,10.27,0.0,0.0,00
06/11/2019,10.27,10.27,10.27,10.27,0.0,0.0,00
06/10/2019,10.27,10.27,10.27,10.27,0.0,0.0,00
06/07/2019,10.27,10.27,10.27,10.27,0.0,0.0,00
06/06/2019,10.27,10.27,10.27,10.27,0.0,0.0,00
06/05/2019,10.27,10.27,10.27,10.27,0.0,0.0,00
06/04/2019,10.27,10.27,10.27,10.27,0.0,0.0,00
06/03/2019,10.27,10.27,10.27,10.27,0.0,0.0,4007
05/31/2019,10.27,10.27,10.27,10.27,0.0,0.0,00
05/30/2019,10.29,10.27,10.27,10.29,0.0,0.0,2714
05/29/2019,10.29,10.29,10.29,10.29,0.0,0.0,100
05/28/2019,10.2988,10.2988,10.2988,10.2988,0.0,0.0,1000
05/24/2019,10.3,10.3,10.3,10.3,0.0,0.0,00
05/23/2019,10.3,10.3,10.3,10.3,0.0,0.0,00
05/22/2019,10.3,10.3,10.3,10.3,0.0,0.0,00
05/21/2019,10.3,10.3,10.3,10.3,0.0,0.0,00
05/20/2019,10.3,10.3,10.3,10.3,0.0,0.0,00
05/17/2019,10.3,10.3,10.3,10.3,0.0,0.0,00
05/16/2019,10.3,10.3,10.3,10.3,0.0,0.0,00
05/15/2019,10.3,10.3,10.3,10.3,0.0,0.0,3700
05/14/2019,10.3,10.3,10.3,10.3,0.0,0.0,00
05/13/2019,10.3,10.3,10.3,10.3,0.0,0.0,00
05/10/2019,10.3,10.3,10.3,10.3,0.0,0.0,2500
05/09/2019,10.2785,10.2785,10.2785,10.2785,0.0,0.0,00
05/08/2019,10.31,10.2785,10.2785,10.31,0.0,0.0,1400
05/07/2019,10.27,10.3,10.22,10.3,0.0,0.0,116450
05/06/2019,10.22,10.22,10.22,10.22,0.0,0.0,14159
05/03/2019,10.22,10.22,10.22,10.22,0.0,0.0,00
05/02/2019,10.22,10.22,10.22,10.22,0.0,0.0,1100
05/01/2019,10.25,10.25,10.25,10.25,0.0,0.0,00
04/30/2019,10.25,10.25,10.25,10.25,0.0,0.0,12500
04/29/2019,10.25,10.25,10.25,10.25,0.0,0.0,1800
04/26/2019,10.25,10.25,10.25,10.25,0.0,0.0,00
04/25/2019,10.25,10.25,10.25,10.25,0.0,0.0,1000
04/24/2019,10.25,10.25,10.25,10.25,0.0,0.0,00
04/23/2019,10.25,10.25,10.25,10.25,0.0,0.0,1200
04/22/2019,10.25,10.25,10.25,10.25,0.0,0.0,2600
04/18/2019,10.25,10.25,10.25,10.25,0.0,0.0,00
04/17/2019,10.25,10.25,10.25,10.25,0.0,0.0,200
04/16/2019,10.25,10.25,10.25,10.25,0.0,0.0,00
