Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,6.47,6.39,6.37,6.5,0.0,0.0,255958
07/15/2019,6.56,6.47,6.4,6.56,0.0,0.0,251297
07/12/2019,6.64,6.52,6.49,6.75,0.0,0.0,369440
07/11/2019,6.74,6.65,6.57,6.75,0.0,0.0,289369
07/10/2019,6.91,6.67,6.41,6.91,0.0,0.0,474215
07/09/2019,6.53,6.86,6.53,6.94,0.0,0.0,506873
07/08/2019,6.76,6.51,6.4,6.76,0.0,0.0,499482
07/05/2019,6.77,6.82,6.7115,7.24,0.0,0.0,905501
07/03/2019,6.25,6.8,6.25,6.87,0.0,0.0,752393
07/02/2019,5.76,6.22,5.6642,6.36,0.0,0.0,767040
07/01/2019,5.67,5.71,5.38,5.77,0.0,0.0,495767
06/28/2019,5.62,5.63,5.49,5.82,0.0,0.0,866814
06/27/2019,5.42,5.46,5.25,5.69,0.0,0.0,434629
06/26/2019,5.6,5.39,5.12,5.705,0.0,0.0,1010497
06/25/2019,5.71,5.57,5.45,5.89,0.0,0.0,2728093
06/24/2019,7.77,5.93,5.61,8.3236,0.0,0.0,27799290
06/21/2019,4.21,4.23,4.07,4.37,0.0,0.0,220732
06/20/2019,4.53,4.2,4.2,4.62,0.0,0.0,174587
06/19/2019,4.36,4.48,4.26,4.555,0.0,0.0,235280
06/18/2019,4.43,4.37,4.34,4.52,0.0,0.0,187190
06/17/2019,4.42,4.38,4.36,4.55,0.0,0.0,211601
06/14/2019,4.55,4.4,4.4,4.6,0.0,0.0,109835
06/13/2019,4.52,4.5,4.45,4.62,0.0,0.0,163438
06/12/2019,4.7,4.5,4.49,4.7,0.0,0.0,150449
06/11/2019,5.02,4.7,4.65,5.14,0.0,0.0,292254
06/10/2019,5.02,4.98,4.93,5.1999,0.0,0.0,86743
06/07/2019,4.95,5,4.89,5.05,0.0,0.0,100358
06/06/2019,4.98,4.93,4.84,5.04,0.0,0.0,113002
06/05/2019,5.2,5,4.8218,5.2,0.0,0.0,138700
06/04/2019,5.39,5.18,5.03,5.41,0.0,0.0,166945
06/03/2019,5.25,5.31,5.11,5.39,0.0,0.0,167216
05/31/2019,5.05,5.21,4.88,5.42,0.0,0.0,313453
05/30/2019,5.21,4.94,4.92,5.42,0.0,0.0,246587
05/29/2019,5.19,5.21,5.1,5.51,0.0,0.0,177049
05/28/2019,5.38,5.16,5.11,5.5244,0.0,0.0,184509
05/24/2019,5.19,5.37,5.12,5.44,0.0,0.0,242371
05/23/2019,5.33,5.15,5.11,5.4,0.0,0.0,187519
05/22/2019,5.8,5.41,5.39,5.8,0.0,0.0,156146
05/21/2019,5.78,5.81,5.67,5.94,0.0,0.0,101360
05/20/2019,5.88,5.73,5.67,6.075,0.0,0.0,80836
05/17/2019,6.19,5.93,5.85,6.25,0.0,0.0,188115
05/16/2019,6.5,6.28,6.17,6.53,0.0,0.0,175241
05/15/2019,6.79,6.48,6.47,6.79,0.0,0.0,151926
05/14/2019,6.89,6.82,6.78,7.59,0.0,0.0,292444
05/13/2019,5.76,6.83,5.51,7.02,0.0,0.0,768528
05/10/2019,6.99,6.91,6.67,7.06,0.0,0.0,95515
05/09/2019,6.85,7.02,6.701,7.06,0.0,0.0,78670
05/08/2019,6.94,6.88,6.86,7.1,0.0,0.0,72223
05/07/2019,7,6.9,6.79,7.3218,0.0,0.0,121265
05/06/2019,6.9,7.19,6.9,7.515,0.0,0.0,102736
05/03/2019,7.29,7.58,7.23,7.63,0.0,0.0,106394
05/02/2019,7.24,7.19,7.03,7.36,0.0,0.0,70278
05/01/2019,7.34,7.23,7.22,7.4,0.0,0.0,77619
04/30/2019,7.485,7.37,7.08,7.55,0.0,0.0,160646
04/29/2019,7.47,7.49,7.4,7.59,0.0,0.0,78726
04/26/2019,7.29,7.56,7.24,7.61,0.0,0.0,86037
04/25/2019,7.21,7.27,7.21,7.39,0.0,0.0,108182
04/24/2019,7.4,7.25,7.13,7.4,0.0,0.0,174346
04/23/2019,7.38,7.36,7.18,7.46,0.0,0.0,84636
04/22/2019,7,7.23,7,7.28,0.0,0.0,70086
04/18/2019,7.11,7.03,6.98,7.27,0.0,0.0,155494
04/17/2019,7.32,7.15,7.04,7.32,0.0,0.0,139599
04/16/2019,7.43,7.31,7.19,7.52,0.0,0.0,143998
