Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,0.65,0.65,0.65,0.65,0.0,0.0,7450
07/15/2019,0.75,0.75,0.75,0.7538,0.0,0.0,12702
07/12/2019,0.8,0.8,0.8,0.8,0.0,0.0,00
07/11/2019,0.8,0.8,0.8,0.8,0.0,0.0,00
07/10/2019,0.85,0.8,0.8,0.85,0.0,0.0,7200
07/09/2019,0.87,0.87,0.87,0.87,0.0,0.0,00
07/08/2019,0.87,0.87,0.87,0.87,0.0,0.0,00
07/05/2019,0.88,0.87,0.87,0.88,0.0,0.0,751
07/03/2019,0.85,0.85,0.85,0.85,0.0,0.0,00
07/02/2019,0.85,0.85,0.85,0.85,0.0,0.0,00
07/01/2019,0.85,0.85,0.85,0.85,0.0,0.0,00
06/28/2019,0.9,0.85,0.8,0.9,0.0,0.0,3800
06/27/2019,0.55,0.789,0.55,0.789,0.0,0.0,1639
06/26/2019,0.9,0.84,0.84,0.9,0.0,0.0,2000
06/25/2019,0.8,0.8,0.8,0.8,0.0,0.0,00
06/24/2019,0.8,0.8,0.8,0.8,0.0,0.0,1000
06/21/2019,0.699,0.7,0.6969,0.7,0.0,0.0,10300
06/20/2019,0.7,0.68,0.68,0.7,0.0,0.0,110000
06/19/2019,0.79,0.79,0.79,0.79,0.0,0.0,00
06/18/2019,0.699,0.79,0.69,0.79,0.0,0.0,2200
06/17/2019,0.79,0.79,0.79,0.79,0.0,0.0,00
06/14/2019,0.75,0.79,0.75,0.79,0.0,0.0,600
06/13/2019,0.85,0.7,0.69,0.85,0.0,0.0,24179
06/12/2019,0.749,0.749,0.749,0.749,0.0,0.0,100
06/11/2019,0.9,0.9,0.9,0.9,0.0,0.0,00
06/10/2019,0.9,0.9,0.9,0.9,0.0,0.0,00
06/07/2019,0.9,0.9,0.9,0.9,0.0,0.0,00
06/06/2019,0.9,0.9,0.9,0.9,0.0,0.0,00
06/05/2019,0.9,0.9,0.9,0.9,0.0,0.0,00
06/04/2019,0.93,0.9,0.9,0.93,0.0,0.0,2000
06/03/2019,0.8,0.8,0.8,0.8,0.0,0.0,100
05/31/2019,0.88,0.88,0.88,0.88,0.0,0.0,00
05/30/2019,0.88,0.88,0.88,0.88,0.0,0.0,00
05/29/2019,0.88,0.88,0.88,0.88,0.0,0.0,00
05/28/2019,0.8,0.88,0.8,1.03,0.0,0.0,30936
05/24/2019,0.83,1.07,0.76,1.07,0.0,0.0,2900
05/23/2019,0.95,0.95,0.95,0.95,0.0,0.0,00
05/22/2019,0.94,0.95,0.85,0.95,0.0,0.0,2061
05/21/2019,0.92,0.87,0.87,0.98,0.0,0.0,12100
05/20/2019,0.95,0.87,0.87,1,0.0,0.0,18501
05/17/2019,0.9,0.9,0.9,0.9,0.0,0.0,00
05/16/2019,0.9,0.9,0.9,0.9,0.0,0.0,100
05/15/2019,0.96,0.96,0.96,0.96,0.0,0.0,00
05/14/2019,0.98,0.96,0.96,0.99,0.0,0.0,500
05/13/2019,0.9,0.9,0.9,0.9,0.0,0.0,100
05/10/2019,0.9299,0.9299,0.9299,0.9299,0.0,0.0,00
05/09/2019,0.9299,0.9299,0.9299,0.93,0.0,0.0,400
05/08/2019,1.2,1.2,1.2,1.2,0.0,0.0,100
05/07/2019,1.2,1.2,1.2,1.2,0.0,0.0,100
05/06/2019,1.2,1.2,1.2,1.206,0.0,0.0,24635
05/03/2019,1.15,1.2,1.15,1.2,0.0,0.0,18106
05/02/2019,1.15,1.1555,1.15,1.2575,0.0,0.0,23750
05/01/2019,1.18,1.18,1.18,1.18,0.0,0.0,00
04/30/2019,1.25,1.18,1.03,1.28,0.0,0.0,39047
04/29/2019,1.27,1.29,1.27,1.29,0.0,0.0,600
04/26/2019,1.2,1.2,1.2,1.2,0.0,0.0,00
04/25/2019,1.2,1.2,1.19,1.2,0.0,0.0,2850
04/24/2019,1.11,1.1462,1.11,1.15,0.0,0.0,36610
04/23/2019,1.05,1,1,1.2418,0.0,0.0,102606
04/22/2019,1.1,1.1,1.1,1.1,0.0,0.0,00
04/18/2019,0.92,1.1,0.91,1.1,0.0,0.0,2100
04/17/2019,0.95,0.85,0.85,0.95,0.0,0.0,70587
04/16/2019,0.85,0.85,0.84,0.9,0.0,0.0,134536
