Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,17.032,17.1,17.01,17.14,0.0,0.0,6492
07/15/2019,17.19,17.03,16.98,17.21,0.0,0.0,4101
07/12/2019,17.99,17.34,17.34,17.99,0.0,0.0,42820
07/11/2019,17.99,17.99,17.76,18,0.0,0.0,5135
07/10/2019,17.75,18.19,17.7,18.2,0.0,0.0,4370
07/09/2019,17.915,17.915,17.915,17.915,0.0,0.0,717
07/08/2019,17.5816,17.72,17.5816,18.2,0.0,0.0,4104
07/05/2019,18.08,17.93,17.81,18.205,0.0,0.0,7405
07/03/2019,18.08,17.89,17.82,18.11,0.0,0.0,3653
07/02/2019,17.42,18,17.42,18.105,0.0,0.0,2182
07/01/2019,17.98,17.67,17.5,17.98,0.0,0.0,7424
06/28/2019,18.17,17.61,17.61,18.35,0.0,0.0,62406
06/27/2019,17.868,18.31,17.46,18.31,0.0,0.0,16751
06/26/2019,18.05,17.79,17.63,18.05,0.0,0.0,4520
06/25/2019,18,18.19,18,18.25,0.0,0.0,4713
06/24/2019,17.42,17.86,17.2101,17.87,0.0,0.0,7669
06/21/2019,17.56,17.73,17.25,18.42,0.0,0.0,40154
06/20/2019,18.01,17.73,17.605,18.185,0.0,0.0,13126
06/19/2019,18.22,18,17.8659,18.64,0.0,0.0,8471
06/18/2019,18.77,18.54,18.4,18.77,0.0,0.0,3494
06/17/2019,19.64,18.74,18.35,19.64,0.0,0.0,8317
06/14/2019,18.33,18.7,18.16,18.7,0.0,0.0,8249
06/13/2019,18.874,18.49,18.23,18.874,0.0,0.0,15812
06/12/2019,17.75,18.55,17.75,18.7,0.0,0.0,12534
06/11/2019,18.08,18.14,17.9,18.23,0.0,0.0,10853
06/10/2019,17.79,18,17.72,18.35,0.0,0.0,10601
06/07/2019,17.6,17.6,17.25,17.68,0.0,0.0,115706
06/06/2019,17.16,17.39,17.11,17.39,0.0,0.0,3251
06/05/2019,17.32,17.41,17.32,17.69,0.0,0.0,14077
06/04/2019,17.07,17.29,17.07,17.39,0.0,0.0,8603
06/03/2019,16.94,17.05,16.77,17.05,0.0,0.0,7826
05/31/2019,17.16,16.94,16.93,17.16,0.0,0.0,10848
05/30/2019,17.1,17.2,17.05,17.2,0.0,0.0,4640
05/29/2019,17.05,17.09,16.895,17.26,0.0,0.0,5793
05/28/2019,17.16,16.86,16.86,17.31,0.0,0.0,6451
05/24/2019,17.08,17.17,17.03,17.48,0.0,0.0,4649
05/23/2019,17.561,16.91,16.76,17.59,0.0,0.0,44141
05/22/2019,17.3758,17.69,17.3758,17.8388,0.0,0.0,6233
05/21/2019,18.05,17.42,17.24,18.05,0.0,0.0,7750
05/20/2019,17.6,18,17.21,18.1899,0.0,0.0,3061
05/17/2019,17.9,17.57,17.3,17.9,0.0,0.0,5707
05/16/2019,18.28,17.95,17.52,18.28,0.0,0.0,8432
05/15/2019,17.35,17.92,17.35,17.98,0.0,0.0,3224
05/14/2019,17.07,17.46,17.07,18.24,0.0,0.0,11384
05/13/2019,17.08,17.33,17.06,18.12,0.0,0.0,16691
05/10/2019,16.98,17.16,16.7936,17.18,0.0,0.0,25444
05/09/2019,16.12,16.99,16.12,16.99,0.0,0.0,17568
05/08/2019,16.135,16.06,16.06,16.2,0.0,0.0,23886
05/07/2019,16.272,16.01,16.01,16.39,0.0,0.0,4861
05/06/2019,16.25,16.28,16.11,16.4,0.0,0.0,8171
05/03/2019,16.16,16.23,16.12,16.41,0.0,0.0,5535
05/02/2019,16.21,16.08,16.01,16.3,0.0,0.0,41692
05/01/2019,16.0777,16.05,16.035,16.1581,0.0,0.0,3622
04/30/2019,16.01,16.03,16.01,16.1599,0.0,0.0,9323
04/29/2019,16.11,16.19,16.01,16.23,0.0,0.0,4620
04/26/2019,16.1,16.18,16.1,16.18,0.0,0.0,1712
04/25/2019,16,16.02,16,16.1682,0.0,0.0,3374
04/24/2019,16.13,16.01,16.01,16.17,0.0,0.0,2971
04/23/2019,16.003,16.18,16,16.18,0.0,0.0,2571
04/22/2019,16.09,16.02,16.02,16.1,0.0,0.0,1349
04/18/2019,16.02,16.07,16.01,16.07,0.0,0.0,4004
04/17/2019,16,16.04,16,16.22,0.0,0.0,4697
04/16/2019,16.25,16.06,16.06,16.25,0.0,0.0,3242
